,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.500000,,,5.000000,5.000000,5.000000,5.000000,,,,,5.000000,,,,,,,,,,,,,,,,,,,0.500000,0.500000
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,0.500000,5.000000,5.000000,5.000000,,0.500000,0.500000,0.500000,5.000000,1.001302,,,,,,,,,,,,,,5.000000,0.966249,,,,0.500000,3.221417
L1,0.500000,0.523755,0.500000,0.500000,0.500000,1.514374,0.500000,4.214875,2.103609,0.500000,,3.250084,0.500000,0.500000,,,,,,,,,,3.159298,0.500000,,,5.000000,,,0.500000,0.670252
L2,0.500000,,0.500000,1.808099,2.361393,1.923580,4.998589,0.500000,0.500000,0.500000,3.154161,0.500000,5.000000,1.045645,,,,,,,,,,1.432488,1.555283,5.000000,,0.500000,5.000000,,5.000000,2.711126
L3,,0.500000,0.500000,0.500000,3.127900,,,,5.000000,1.437127,4.815478,0.500000,,,,,,,,,,,,0.500000,5.000000,5.000000,1.016114,,5.000000,5.000000,0.500000,4.636549
L4,1.535956,,,2.057790,0.569718,0.500000,5.000000,0.500000,5.000000,,0.500000,,5.000000,,,,,,,,,,,4.919849,0.500000,,,,5.000000,0.500000,,0.500000
L5,,,,0.500000,0.500000,,,0.617449,3.560373,5.000000,0.500000,0.967103,5.000000,0.500000,,,,,,,,,,0.500000,0.500000,0.500000,0.500000,5.000000,0.500000,,5.000000,0.508631
Mi1,,3.781682,5.000000,0.500000,1.326951,,,0.500000,3.898956,5.000000,0.500000,0.500000,5.000000,0.500000,0.500000,0.500000,3.599650,5.000000,0.710855,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,0.500000,,0.500000,0.500000
Mi4,,,,,0.500000,5.000000,,5.000000,0.500000,0.500000,1.976088,5.000000,,0.500000,,0.747854,5.000000,5.000000,1.021198,,,,,1.661254,0.500000,5.000000,,0.500000,0.500000,5.000000,5.000000,4.889235
