,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,0.500000,,,5.000000,5.000000,5.000000,5.000000,,,,,5.000000,,,,,,,,,,,,,,,,,,,3.902741,0.500000
R7,,,0.500000,5.000000,,5.000000,,,0.500000,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.500000
R8,,0.500000,0.925867,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,0.500000,,,,,,,,,,,,,,5.000000,1.131524,,,,0.998974,0.500000
L1,0.500000,1.961929,0.500000,0.500000,0.500000,0.759025,0.500000,5.000000,1.451771,0.500000,,5.000000,0.500000,1.003735,,,,,,,,,,0.500000,3.065955,,,5.000000,,,5.000000,0.500000
L2,0.641432,,1.408020,2.631624,1.268383,1.043674,4.868921,0.500000,0.500000,0.500000,1.186597,0.500000,5.000000,0.999792,,,,,,,,,,0.994772,1.334899,5.000000,,0.500000,5.000000,,0.876254,0.500000
L3,,0.500000,0.500000,5.000000,5.000000,,,,0.500000,0.500000,5.000000,0.500000,,,,,,,,,,,,0.500000,5.000000,5.000000,0.985887,,5.000000,5.000000,0.993959,0.500000
L4,0.500000,,,0.663768,0.500000,0.500000,0.500000,0.500000,3.492218,,1.957119,,5.000000,,,,,,,,,,,0.500000,3.748799,,,,5.000000,5.000000,,0.500000
L5,,,,0.500000,0.500000,,,5.000000,5.000000,3.443416,0.500000,5.000000,5.000000,1.021104,,,,,,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,0.500000,,0.500000,5.000000
Mi1,,5.000000,5.000000,0.500000,1.842586,,,5.000000,5.000000,5.000000,0.500000,5.000000,2.992070,0.500000,0.500000,0.500000,5.000000,5.000000,5.000000,,,,,0.500000,0.500000,0.500000,5.000000,5.000000,0.937858,,0.500000,0.721416
Mi4,,,,,0.941853,0.821608,,5.000000,0.500000,1.405063,2.402216,5.000000,,1.021179,,2.766637,5.000000,0.500000,0.500000,,,,,5.000000,0.500000,5.000000,,0.500000,0.500000,5.000000,1.023555,0.500000
Mi9,,,,,,0.500000,4.314176,,0.500000,5.000000,,,5.000000,1.015844,0.500000,2.755357,0.500000,0.500000,5.000000,,,,,0.500000,5.000000,5.000000,5.000000,5.000000,3.616372,0.500000,0.971983,
T1,0.887334,5.000000,0.500000,,0.500000,2.589882,,0.500000,,,5.000000,,,,,,,,,,,,,5.000000,0.500000,5.000000,,,0.500000,,,
T2,,,,,,,,5.000000,5.000000,,0.500000,,5.000000,0.970964,0.500000,,,,,,,,,1.956583,0.500000,,0.500000,1.778336,0.500000,,,
T2a,,,,,,,,,0.500000,,,,1.003768,1.022187,1.034824,,,,,,,,,1.033360,,0.500000,0.969934,0.500000,0.988189,,0.982046,
T3,,,,,,,,,,,,,0.500000,1.042032,0.958128,,,,0.950378,,,,,5.000000,,,0.500000,5.000000,,,,0.500000
T4a,,,,,,,,,,,2.239265,,,,,1.004609,1.009181,1.009790,1.049287,0.996866,,,,,,,,,,,,0.500000
T4b,,,,,,,,,1.032333,0.990856,5.000000,,,,,1.024643,5.000000,,1.031328,,5.000000,,,,,,,,,,,
T4c,,,,,,,,,,,5.000000,,1.001165,,,,,5.000000,,,,1.016935,0.981754,,,,,,,,,
T4d,,,,,,,,,5.000000,,,,,,,,,1.028360,5.000000,,,,0.961031,,,,,,,,,
T5a,,,,,,,,,,,,,0.500000,,,0.975484,,,,3.552119,1.049159,,,,5.000000,,,,,,,
T5b,,,,,,,,,,,,,5.000000,,,,3.263125,,,0.984969,0.500000,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.500000,,,,,3.361510,,,1.016563,2.966226,1.004325,,,,,,,,,
