idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,1.011531,10.000000,10000.000000,-0.444875,1.000000
1,R7,1.000000,5.000000,0.968060,10.000000,10000.000000,0.108685,1.000000
2,R8,1.000000,5.000000,1.019765,10.000000,10000.000000,3.226862,1.000000
3,L1,1.000000,5.000000,0.996582,21.100633,281.330341,7.922029,5.000000
4,L2,1.000000,5.000000,0.960255,10.000000,276.664844,11.741413,4.654567
5,L3,1.000000,5.000000,1.031643,27.799025,10000.000000,10.203758,1.000000
6,L4,1.000000,1.092989,0.974849,12.094586,256.369825,20.000000,4.588069
7,L5,1.000000,1.498220,0.984427,10.000000,212.258062,-0.466702,0.918838
8,Mi1,1.000000,5.000000,1.040375,10.000000,10000.000000,7.062310,1.000000
9,Mi4,1.000000,5.000000,1.033503,10.000000,10000.000000,6.174017,1.000000
10,Mi9,1.000000,5.000000,0.995282,22.599366,10000.000000,7.319975,1.000000
11,T1,1.000000,2.612787,1.027862,95.232402,10000.000000,4.364191,1.000000
12,T2,1.000000,5.000000,0.973108,10.000000,9946.331321,-0.107724,1.000000
13,T2a,1.000000,5.000000,1.036723,10.000000,9921.939713,6.904470,1.000000
14,T3,1.000000,5.000000,1.023039,10.000000,9898.321999,20.000000,1.000000
15,T4a,1.000000,5.000000,0.962826,10.000000,9882.564628,0.575007,1.000000
16,T4b,1.000000,5.000000,1.040068,10.000000,10000.000000,7.023017,1.000000
17,T4c,1.000000,5.000000,1.038324,11.336692,9963.571282,0.400907,1.000000
18,T4d,1.000000,5.000000,0.984030,24.502458,9999.987961,-0.612094,1.000000
19,T5a,1.000000,0.804159,0.985611,50.747969,9999.999990,-1.883922,1.000000
20,T5b,1.000000,2.118804,0.984663,100.000000,9989.390548,10.297225,1.000000
21,T5c,1.000000,0.504799,0.997507,63.208805,9999.932657,-1.563494,1.000000
22,T5d,1.000000,0.769834,1.041844,49.085620,9997.158955,-2.362203,1.000000
23,Tm1,1.000000,0.500000,0.952636,18.208801,10000.000000,17.413530,1.000000
24,Tm2,1.000000,5.000000,0.958294,10.000000,9902.504827,-17.130697,1.000000
25,Tm20,1.000000,0.500000,0.967295,50.461903,9990.351540,-3.376924,1.000000
26,Tm21,1.000000,5.000000,0.972051,10.000000,9991.403863,1.347419,1.000000
27,Tm3,1.000000,1.130048,1.043882,10.000000,10000.000000,-8.459163,1.000000
28,Tm4,1.000000,2.166511,0.980161,10.000000,10000.000000,6.649611,1.000000
29,Tm9,1.000000,5.000000,1.021284,30.022500,9895.134949,-7.270706,1.000000
30,C2,1.000000,5.000000,1.034057,100.000000,10000.000000,-0.842924,1.000000
31,C3,1.000000,3.257005,0.969085,10.000000,10000.000000,7.733425,1.000000
