,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3
R1-6,5.000000,,,5.000000,4.975110,5.000000,5.000000,,,,,2.968596,,,,,,,,,,,,,,,,,,,0.500000,2.430757
R7,,,0.500000,5.000000,,5.000000,,,3.586544,0.500000,5.000000,,,,,,,,,,,,,,,5.000000,,,,,,0.987332
R8,,0.500000,1.013060,5.000000,0.500000,5.000000,,0.500000,0.500000,0.500000,5.000000,1.507458,,,,,,,,,,,,,,5.000000,0.997656,,,,0.500000,5.000000
L1,0.500000,2.297887,0.500000,0.500000,1.067993,0.853150,0.500000,2.063214,0.796289,1.223844,,5.000000,5.000000,2.810016,,,,,,,,,,0.500000,0.500000,,,2.869569,,,0.500000,5.000000
L2,2.583794,,0.500000,0.500000,1.188279,0.500000,4.755866,0.500000,0.500000,0.500000,2.664515,1.204528,2.401915,1.008738,,,,,,,,,,0.899064,1.192342,0.500000,,0.500000,5.000000,,0.785744,1.587675
L3,,0.500000,0.500000,4.469032,4.551311,,,,0.500000,2.147150,5.000000,5.000000,,,,,,,,,,,,0.500000,5.000000,2.815623,0.973446,,5.000000,5.000000,0.973437,0.500000
L4,5.000000,,,3.263855,1.448171,0.500000,4.429395,0.500000,0.500000,,0.500000,,0.500000,,,,,,,,,,,0.500000,0.681631,,,,0.740561,0.500000,,0.500000
L5,,,,0.500000,0.635447,,,1.505517,2.550842,5.000000,0.500000,5.000000,5.000000,2.818919,,,,,,,,,,0.500000,0.500000,5.000000,0.500000,5.000000,0.500000,,0.500000,0.787332
Mi1,,5.000000,5.000000,4.125182,3.955199,,,0.500000,5.000000,1.431489,1.073034,0.905072,0.500000,0.500000,1.702601,5.000000,1.464172,5.000000,1.828259,,,,,0.500000,0.500000,5.000000,0.500000,0.500000,0.500000,,0.500000,4.951669
Mi4,,,,,1.802147,0.500000,,3.717623,0.500000,0.500000,0.679736,5.000000,,0.500000,,0.500000,0.500000,0.500000,0.500000,,,,,4.950678,1.538973,0.500000,,2.625941,0.500000,5.000000,0.982726,1.015038
Mi9,,,,,,0.500000,1.680097,,0.500000,5.000000,,,0.500000,3.002911,0.500000,2.998860,5.000000,3.410215,0.500000,,,,,0.500000,5.000000,4.968849,0.629533,0.500000,1.634410,2.109578,0.687559,
T1,2.182439,3.507239,3.435638,,0.500000,0.500000,,5.000000,,,5.000000,,,,,,,,,,,,,5.000000,0.500000,5.000000,,,5.000000,,,
T2,,,,,,,,0.500000,2.551838,,0.500000,,3.650281,1.027335,5.000000,,,,,,,,,1.377782,0.810026,,0.960224,0.500000,0.500000,,,
T2a,,,,,,,,,0.500000,,,,0.500000,2.788193,0.500000,,,,,,,,,0.500000,,5.000000,1.017615,5.000000,4.924052,,1.471849,
T3,,,,,,,,,,,,,0.500000,1.032324,0.995764,,,,0.986504,,,,,0.500000,,,0.500000,5.000000,,,,1.643365
T4a,,,,,,,,,,,5.000000,,,,,5.000000,0.970596,0.971560,1.025127,1.048266,,,,,,,,,,,,0.500000
T4b,,,,,,,,,0.500000,4.392114,4.370914,,,,,0.500000,0.500000,,1.023236,,3.832511,,,,,,,,,,,
T4c,,,,,,,,,,,5.000000,,0.977876,,,,,5.000000,,,,1.008629,0.961783,,,,,,,,,
T4d,,,,,,,,,4.993234,,,,,,,,,1.049003,4.998710,,,,0.990602,,,,,,,,,
T5a,,,,,,,,,,,,,0.500000,,,0.500000,,,,0.500000,1.049499,,,,4.366202,,,,,,,
T5b,,,,,,,,,,,,,4.991223,,,,0.500000,,,1.038703,2.864242,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.500000,,,,,2.909317,,,0.980040,0.689967,0.964479,,,,,,,,,
T5d,,,,,,,,,,,,,5.000000,,,,,0.500000,1.019573,,,,0.500000,,,,,,,,,
Tm1,,,,,0.500000,,,2.632462,0.500000,0.500000,1.726633,0.500000,5.000000,4.991966,5.000000,,,1.018203,,4.150857,5.000000,0.515912,5.000000,4.998339,0.500000,0.500000,2.041372,0.500000,0.500000,4.238157,1.597568,0.500000
Tm2,,,,0.500000,0.500000,,,3.923547,5.000000,0.500000,2.175935,0.500000,2.152780,0.500000,5.000000,1.047560,,0.500000,,5.000000,4.983053,0.542321,5.000000,0.500000,,,0.535784,5.000000,0.500000,0.500000,,0.500000
Tm20,,,,,,,,,,0.500000,0.811683,5.000000,5.000000,0.500000,,,,,,,,,,0.500000,5.000000,0.755069,1.002096,,,5.000000,,0.500000
Tm21,,,,,,,,,0.664211,,,,1.314232,0.961624,,,,,,,,,,5.000000,,,0.500000,,,,,
Tm3,,,,0.500000,0.500000,,,,0.500000,0.500000,0.500000,,0.500000,0.500000,0.500000,5.000000,1.301137,1.319863,5.000000,,1.022466,,0.952310,,,,,5.000000,0.500000,,0.975625,0.500000
Tm4,,,,,0.793104,,,,2.958245,0.500000,,5.000000,0.500000,4.996407,3.534684,,,,,2.036470,4.982524,1.707504,5.000000,5.000000,3.691695,,0.517478,0.500000,3.075608,,0.833445,1.032395
Tm9,,,,,,0.500000,,,,3.844641,0.500000,,5.000000,0.500000,,,,,,4.064754,5.000000,4.245666,3.328190,4.255094,1.056088,1.837836,1.032775,,0.500000,5.000000,,
C2,0.812796,0.999196,1.762571,0.500000,1.340446,0.833401,2.460459,0.982039,0.500000,1.872230,,0.500000,0.950133,1.030915,0.761693,,,,,,,,,0.825161,,,,,,0.500000,0.832909,0.958792
C3,0.500000,,,0.500000,0.500000,0.500000,0.537221,5.000000,5.000000,1.456155,0.500000,5.000000,5.000000,0.988763,1.000361,0.500000,0.500000,0.500000,1.004345,,,,,0.500000,0.500000,0.500000,1.022458,1.016466,0.500000,0.500000,1.018145,
