idx,ctype,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,5.000000,0.964289,22.575930,10000.000000,-0.486171,1.000000
1,R7,1.000000,5.000000,0.996924,10.000000,10000.000000,1.993351,1.000000
2,R8,1.000000,5.000000,0.966440,41.588557,10000.000000,0.591156,1.000000
3,L1,1.000000,4.998771,3.163939,19.642053,230.755276,5.644883,4.925616
4,L2,1.000000,3.858350,2.762212,10.000000,226.315190,4.287100,3.368610
5,L3,1.000000,5.000000,5.000000,23.288875,10000.000000,5.711075,1.000000
6,L4,1.000000,5.000000,4.427276,13.772961,154.302881,-4.381890,5.000000
7,L5,1.000000,3.473150,2.032965,10.000000,189.963674,-4.022108,1.634125
8,Mi1,1.000000,3.649131,2.179978,21.437735,9998.668623,6.157517,1.000000
9,Mi4,1.000000,5.000000,3.793631,10.000000,10000.000000,1.424097,1.000000
10,Mi9,1.000000,4.961025,3.562547,35.240818,10000.000000,-2.334823,1.000000
11,T1,1.000000,0.500000,1.024480,54.075988,9992.267682,-2.812088,1.000000
12,T2,1.000000,3.972005,0.995442,65.782182,10000.000000,0.445249,1.000000
13,T2a,1.000000,4.831341,1.013744,24.718135,10000.000000,10.674682,1.000000
14,T3,1.000000,5.000000,0.982617,100.000000,9929.676875,6.924297,1.000000
15,T4a,1.000000,2.924672,1.025700,47.354575,9969.644740,4.524677,1.000000
16,T4b,1.000000,5.000000,1.025476,44.482578,9954.822308,12.810237,1.000000
17,T4c,1.000000,5.000000,0.953284,15.466468,9989.936076,-2.400410,1.000000
18,T4d,1.000000,0.500000,1.034685,52.486729,9998.675580,-0.923738,1.000000
19,T5a,1.000000,5.000000,1.006828,100.000000,10000.000000,20.000000,1.000000
20,T5b,1.000000,5.000000,1.024647,10.000000,9994.910274,-1.217317,1.000000
21,T5c,1.000000,5.000000,0.991331,100.000000,10000.000000,-1.962381,1.000000
22,T5d,1.000000,5.000000,0.956764,20.927345,9994.554850,15.924444,1.000000
23,Tm1,1.000000,1.135589,2.185690,22.587354,10000.000000,-7.415932,1.000000
24,Tm2,1.000000,4.292926,5.000000,10.000000,9970.142372,9.872588,1.000000
25,Tm20,1.000000,5.000000,1.005810,75.947101,10000.000000,11.078661,1.000000
26,Tm21,1.000000,5.000000,1.039293,100.000000,10000.000000,4.774195,1.000000
27,Tm3,1.000000,4.998216,4.621354,10.000000,10000.000000,0.823974,1.000000
28,Tm4,1.000000,5.000000,5.000000,10.000000,10000.000000,7.985311,1.000000
29,Tm9,1.000000,4.881273,5.000000,32.181413,9964.453057,20.000000,1.000000
30,C2,1.000000,0.500000,0.979539,48.449893,9996.833661,-1.237531,1.000000
31,C3,1.000000,5.000000,1.014466,27.193800,10000.000000,-2.723923,1.000000
32,Lawf1,1.000000,3.916017,0.982531,10.000000,9961.620496,3.786305,1.000000
33,Lawf2,1.000000,5.000000,1.043726,83.997897,10000.000000,3.852355,1.000000
