idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.181340,1.028848,37.575825,10000.000000,-6.624158,1.000000
1,R7,1.000000,4.544798,0.963542,10.000000,10000.000000,0.060891,1.000000
2,R8,1.000000,5.000000,0.950790,10.000000,9938.359829,1.158100,1.000000
3,L1,1.000000,5.000000,1.005757,43.981620,201.118880,0.947800,5.000000
4,L2,1.000000,0.500000,1.009818,51.676748,192.235597,-1.410099,0.500000
5,L3,1.000000,5.000000,3.916642,32.921543,10000.000000,0.101577,1.000000
6,L4,1.000000,5.000000,0.972027,10.000000,210.704946,-0.039865,5.000000
7,L5,1.000000,0.941919,0.983041,49.987374,207.910437,-0.531530,0.921770
8,Mi1,1.000000,3.686945,0.962316,46.192654,9999.977837,-2.233315,1.000000
9,Mi4,1.000000,0.990793,1.047784,50.896206,9996.694046,-0.194948,1.000000
10,Mi9,1.000000,5.000000,1.032215,100.000000,10000.000000,15.201294,1.000000
11,T1,1.000000,5.000000,0.994216,46.543071,9985.289833,-2.059910,1.000000
12,T2,1.000000,0.556559,0.984999,49.737514,9991.824103,-1.384461,1.000000
13,T2a,1.000000,0.952135,1.032465,47.528049,9999.999998,-0.837314,1.000000
14,T3,1.000000,3.094330,1.033788,48.420765,10000.000000,17.928686,1.000000
15,T4a,1.000000,0.500000,0.991797,56.222550,9984.803232,4.687804,1.000000
16,T4b,1.000000,0.500000,0.960096,38.225348,9998.848485,-0.022954,1.000000
17,T4c,1.000000,3.190252,0.979445,36.451960,10000.000000,19.878232,1.000000
18,T4d,1.000000,0.997505,1.001902,48.414364,10000.000000,-0.339744,1.000000
19,T5a,1.000000,0.963615,0.993220,48.850372,10000.000000,0.387590,1.000000
20,T5b,1.000000,4.843956,0.974874,36.671359,9999.832400,8.860787,1.000000
21,T5c,1.000000,0.518844,0.971752,50.043779,9993.845935,-1.155643,1.000000
22,T5d,1.000000,0.930712,1.011291,48.943473,9990.943354,-0.461776,1.000000
23,Tm1,1.000000,0.965457,0.978864,51.662970,9998.696698,-0.484499,1.000000
24,Tm2,1.000000,0.941703,0.979029,49.472586,10000.000000,-0.640829,1.000000
25,Tm20,1.000000,5.000000,0.966225,57.815743,9926.927614,11.455882,1.000000
26,Tm21,1.000000,1.049701,1.043971,49.091963,10000.000000,0.001172,1.000000
27,Tm3,1.000000,0.500000,1.020107,50.712340,9996.747195,-0.979319,1.000000
28,Tm4,1.000000,1.521865,1.027867,52.368603,9993.559121,-0.921441,1.000000
29,Tm9,1.000000,5.000000,0.959138,42.765350,10000.000000,0.099603,1.000000
30,C2,1.000000,0.723699,0.996239,50.124548,9999.999846,-1.363894,1.000000
31,C3,1.000000,0.637411,0.950922,52.444152,10000.000000,-1.131106,1.000000
32,Lawf1,1.000000,5.000000,0.951627,100.000000,10000.000000,17.754812,1.000000
33,Lawf2,1.000000,1.347578,0.962958,79.452866,9999.708758,-0.391724,1.000000
