idx,cell,in_gain,out_gain,out_scale,tau_lp,tau_hp,v_rest,hp_gain,in_gain
0,R1-6,1.717499,1.897572,0.983682,35.923783,9994.969090,-19.023215,1.000000,1.717499
1,R7,1.717499,4.153285,1.030437,17.108785,10000.000000,-10.258689,1.000000,1.717499
2,R8,1.717499,3.297413,1.040330,10.000000,9941.245577,-10.209210,1.000000,1.717499
3,L1,1.717499,1.253006,1.022173,59.245790,197.844071,2.483331,1.830601,1.717499
4,L2,1.717499,0.282553,0.977031,48.845451,198.056703,-1.701135,0.115273,1.717499
5,L3,1.717499,0.100000,1.619992,21.141494,10000.000000,-4.805446,1.000000,1.717499
6,L4,1.717499,1.020623,1.020233,50.485053,201.498357,-0.419851,1.011340,1.717499
7,L5,1.717499,1.556074,1.015311,45.192969,185.578814,1.295678,2.147668,1.717499
8,Mi1,1.717499,3.181714,0.972745,43.863726,9991.789261,-2.500560,1.000000,1.717499
9,Mi4,1.717499,10.000000,1.020706,49.136933,9966.425693,7.305372,1.000000,1.717499
10,Mi9,1.717499,0.611187,1.034355,49.907439,9996.030557,-1.028271,1.000000,1.717499
11,T1,1.717499,10.000000,0.992690,10.000000,9998.954586,-3.368959,1.000000,1.717499
12,T2,1.717499,0.223404,0.970470,46.263667,9999.117946,-2.350333,1.000000,1.717499
13,T2a,1.717499,0.520726,1.017954,46.159712,9999.979337,-2.079349,1.000000,1.717499
14,T3,1.717499,0.100000,1.030073,50.926361,9999.999943,-2.324925,1.000000,1.717499
15,T4a,1.717499,0.152172,0.999993,42.691161,9993.645677,-0.514615,1.000000,1.717499
16,T4b,1.717499,1.004498,1.015642,51.217938,9998.244690,-0.461915,1.000000,1.717499
17,T4c,1.717499,0.998586,0.952060,49.685032,9991.151138,0.228175,1.000000,1.717499
18,T4d,1.717499,0.305446,0.954970,50.268305,9999.688324,-1.288734,1.000000,1.717499
19,T5a,1.717499,5.103884,1.040329,47.578533,9999.999815,4.878804,1.000000,1.717499
20,T5b,1.717499,0.304798,1.046443,50.245859,9993.175410,-0.441323,1.000000,1.717499
21,T5c,1.717499,1.430006,1.039366,48.824700,9990.534122,0.630194,1.000000,1.717499
22,T5d,1.717499,0.842432,1.042382,52.049352,9991.971493,-0.277576,1.000000,1.717499
23,Tm1,1.717499,4.610622,0.956842,50.337097,9999.867168,5.100203,1.000000,1.717499
24,Tm2,1.717499,0.610585,1.020483,50.063892,9996.609394,-1.254597,1.000000,1.717499
25,Tm20,1.717499,0.100000,1.024242,50.513256,9991.958824,-1.343775,1.000000,1.717499
26,Tm21,1.717499,0.100000,0.962012,52.260170,9999.999915,-1.238687,1.000000,1.717499
27,Tm3,1.717499,0.100000,1.031651,46.309248,9999.133267,-1.897510,1.000000,1.717499
28,Tm4,1.717499,8.023374,1.013375,58.474797,9985.482456,-3.276159,1.000000,1.717499
29,Tm9,1.717499,0.979319,1.018786,51.667330,10000.000000,-0.406453,1.000000,1.717499
30,C2,1.717499,4.278770,0.981609,40.199504,9964.899325,2.010450,1.000000,1.717499
31,C3,1.717499,2.600921,1.044593,50.559312,9997.049049,-1.620803,1.000000,1.717499
32,Lawf1,1.717499,0.395923,0.998866,47.703993,9996.507759,-0.745352,1.000000,1.717499
33,Lawf2,1.717499,5.456609,1.007752,47.038634,9963.109203,3.101449,1.000000,1.717499
