,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,5.359557,0.100000,0.795256,1.010927,,,,,5.151107,,,,,,,,,,,,,,,,,,,10.000000,8.352553,,
R7,,,6.251690,2.397496,,3.712202,,,1.279977,2.285459,0.969178,,,,,,,,,,,,,,,1.024425,,,,,,1.011460,1.037601,
R8,,4.570945,0.100000,0.100000,0.100000,1.372234,,0.164438,5.718001,6.601703,1.009914,0.100000,,,,,,,,,,,,,,2.166493,1.039041,,,,0.100000,1.666765,1.029961,10.000000
L1,2.255577,9.207445,0.112031,10.000000,2.383999,2.170404,0.969102,3.151411,1.571170,4.397130,,0.947237,0.369540,0.886468,,,,,,,,,,0.100000,0.969635,,,0.468568,,,3.853257,3.507005,,0.100000
L2,2.434387,,0.928923,0.231315,0.995339,0.135176,0.976120,0.100000,1.019761,0.997327,0.968207,0.100000,1.005119,0.996666,,,,,,,,,,0.100000,0.996475,1.000779,,0.951503,1.460109,,1.875513,1.832912,,
L3,,1.011006,0.996140,0.992030,1.014295,,,,2.386423,0.985184,0.991533,0.100000,,,,,,,,,,,,1.044748,1.011426,0.977806,0.970504,,1.027656,1.008020,0.961065,1.532003,0.965093,
L4,1.021266,,,0.984563,1.035561,1.038744,1.002165,1.025585,0.976314,,1.024318,,1.005586,,,,,,,,,,,0.969653,0.987118,,,,0.981698,0.992762,,0.988777,0.983865,0.974854
L5,,,,0.100000,5.966319,,,2.082511,0.568967,5.953528,1.000038,0.100000,0.100000,0.957602,,,,,,,,,,0.100000,0.842622,0.100000,0.100000,0.345857,5.982231,,3.348661,2.739986,1.041646,0.100000
Mi1,,0.100000,10.000000,0.206051,0.962682,,,4.968862,4.189554,1.765368,1.283900,1.004387,0.678224,2.025798,0.100000,2.406442,0.973405,1.027085,0.342299,,,,,1.704633,1.038742,0.850303,0.763489,0.100000,0.971855,,3.286443,6.382898,0.976587,0.321989
Mi4,,,,,1.003745,10.000000,,6.236444,0.123587,0.100000,0.807630,8.766902,,0.889018,,0.532336,1.022425,1.021687,1.049429,,,,,5.064330,0.992314,1.961907,,0.100000,0.100000,0.962250,3.401933,2.720330,0.955549,3.906896
Mi9,,,,,,0.951184,1.029141,,0.969768,0.957109,,,1.025870,1.032950,0.956941,0.957439,1.041427,1.046892,0.979407,,,,,0.618102,0.973599,0.972750,1.034821,0.972184,0.993809,1.037170,1.043821,,0.987444,0.951955
T1,0.100000,0.766608,8.359695,,0.103790,10.000000,,1.342274,,,0.955932,,,,,,,,,,,,,0.976440,1.018590,0.731078,,,0.996011,,,,,
T2,,,,,,,,3.202172,0.100000,,0.990090,,0.309723,0.972266,0.964968,,,,,,,,,0.100000,1.046315,,1.050810,1.044811,1.003379,,,,,2.188369
T2a,,,,,,,,,0.558322,,,,1.018662,0.973356,1.039746,,,,,,,,,0.680499,,0.962001,1.011413,2.275475,1.026552,,1.022270,,,0.100000
T3,,,,,,,,,,,,,1.008159,1.041344,0.990625,,,,0.974457,,,,,1.000348,,,1.009158,0.100000,,,,0.973673,,0.179236
T4a,,,,,,,,,,,0.972182,,,,,7.713425,0.967179,1.030060,0.976571,0.981729,,,,,,,,,,,,0.108176,,
T4b,,,,,,,,,1.028062,1.043698,0.963896,,,,,1.002399,1.048405,,0.993298,,0.996648,,,,,,,,,,,,,
T4c,,,,,,,,,,,0.993896,,1.020043,,,,,0.994773,,,,0.950808,0.965406,,,,,,,,,,,
T4d,,,,,,,,,0.303450,,,,,,,,,1.009265,0.997670,,,,1.025305,,,,,,,,,,,
T5a,,,,,,,,,,,,,5.153134,,,1.058366,,,,3.287024,1.035062,,,,0.977239,,,,,,,,,
T5b,,,,,,,,,,,,,0.261425,,,,1.025439,,,1.048001,0.100000,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.475014,,,,,1.016500,,,0.970512,0.587501,1.026175,,,,,,,,,,,
T5d,,,,,,,,,,,,,0.864499,,,,,1.011530,0.996347,,,,0.981924,,,,,,,,,,,
Tm1,,,,,0.100000,,,2.050308,0.100000,8.491913,0.294957,10.000000,0.100000,0.100000,0.100000,,,0.977131,,0.856593,0.375367,1.528910,0.782357,0.100000,0.105771,0.100000,0.100000,1.007789,6.915766,0.970667,0.100000,3.518345,,6.460589
Tm2,,,,1.009862,1.043922,,,0.994048,1.001890,1.009758,0.987929,1.040556,0.954006,1.012972,1.015372,0.982178,,1.048102,,0.955313,1.047439,0.957725,0.953388,0.599264,,,0.988360,0.982057,0.996121,0.950937,,0.958686,0.955176,1.028735
Tm20,,,,,,,,,,1.012531,1.027357,0.979366,1.009545,1.033104,,,,,,,,,,0.100000,1.009680,0.998276,1.006348,,,0.980985,,0.969814,,
Tm21,,,,,,,,,1.002353,,,,0.100000,1.033479,,,,,,,,,,0.962843,,,0.727958,,,,,,,
Tm3,,,,1.158443,1.037072,,,,0.100000,0.980068,0.976391,,0.100000,0.564669,0.630822,0.100000,1.015948,1.023739,0.970322,,1.045614,,0.962604,,,,,0.100000,0.968426,,5.509420,1.451581,0.972048,4.011123
Tm4,,,,,1.003763,,,,1.004800,0.100000,,1.029263,1.047000,1.034093,1.002026,,,,,0.972082,0.998427,0.958097,0.985936,0.100000,1.005112,,0.983376,0.998672,0.100000,,0.100000,0.100000,,9.548752
Tm9,,,,,,0.950050,,,,1.009595,0.989124,,0.952481,1.031383,,,,,,1.033720,1.025867,1.025397,0.952462,0.994180,0.996306,1.029830,0.967002,,1.017167,1.022942,,,,
C2,2.140244,0.100000,2.198764,7.360564,1.268258,7.382374,0.962815,0.100000,2.545344,1.428746,,0.100000,0.640850,0.973100,0.969313,,,,,,,,,0.100000,,,,,,1.020335,0.100000,0.100000,,
C3,2.566568,,,10.000000,0.847097,8.198285,1.023860,2.099747,2.671527,1.003579,0.972330,0.101579,0.742580,1.048175,0.965968,2.440678,0.962875,0.951537,0.989900,,,,,1.871750,1.004552,0.964700,0.967068,1.018118,0.100000,1.017849,3.190780,,,
