,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,1.646088,0.100000,2.714900,0.962690,,,,,6.510713,,,,,,,,,,,,,,,,,,,10.000000,0.100000,,
R7,,,1.303127,10.000000,,7.127638,,,5.039027,6.121339,3.624350,,,,,,,,,,,,,,,3.130618,,,,,,0.100000,0.969483,
R8,,5.114102,8.199043,5.456478,0.100000,3.246051,,10.000000,0.389029,0.907762,10.000000,0.100000,,,,,,,,,,,,,,10.000000,0.100000,,,,0.100000,0.590964,0.478714,10.000000
L1,0.100000,0.100000,10.000000,1.008376,2.250337,8.654098,0.954081,0.477641,1.626281,0.100000,,0.993341,0.100000,9.986167,,,,,,,,,,0.100000,0.100000,,,2.224820,,,0.100000,8.887782,,3.695257
L2,2.135534,,0.907896,2.120387,0.990362,0.100000,1.045014,1.034322,1.041198,1.004140,0.990143,0.393236,1.043795,1.031127,,,,,,,,,,0.183316,0.254631,0.959940,,0.962620,1.024220,,1.621123,1.789789,,
L3,,0.138696,6.741437,0.100000,0.995013,,,,0.100000,8.401977,7.233858,2.701962,,,,,,,,,,,,0.100000,4.280075,10.000000,1.028800,,1.004298,6.840233,0.361527,1.303523,1.059385,
L4,2.412429,,,1.041299,0.970057,0.100000,0.962657,0.991000,0.978582,,1.114045,,0.703436,,,,,,,,,,,1.001540,1.976497,,,,1.021929,0.971464,,1.032361,0.962741,1.027891
L5,,,,0.100000,0.975530,,,9.460944,0.100000,3.372734,3.922194,1.005920,4.792473,0.100000,,,,,,,,,,10.000000,9.944159,0.100000,4.056391,0.100000,0.100000,,10.000000,0.685357,0.970368,0.116298
Mi1,,10.000000,3.777716,0.100000,1.048760,,,10.000000,9.825536,7.365044,0.100000,1.008468,6.501813,0.100000,2.665968,2.175469,1.018157,1.696985,0.990915,,,,,1.738473,9.754615,5.250328,7.072646,0.100005,0.100000,,1.737430,1.647410,0.999082,0.100000
Mi4,,,,,1.209800,0.100000,,2.515569,4.532633,0.888662,0.552865,1.022401,,1.063416,,8.878886,1.024184,4.444271,1.028223,,,,,7.340531,1.390662,2.789276,,0.694936,1.026716,1.691216,2.605556,3.547806,0.957004,0.100000
Mi9,,,,,,10.000000,1.049519,,3.834197,3.025513,,,1.159585,3.620845,6.483429,0.100000,1.014554,3.217722,1.013649,,,,,2.598916,10.000000,7.365974,3.939670,0.295746,0.100000,0.100000,4.142986,,2.854720,6.498701
T1,0.998156,1.014764,1.371798,,0.647224,6.152540,,1.004830,,,0.971336,,,,,,,,,,,,,0.802387,1.052068,3.045670,,,1.040315,,,,,
T2,,,,,,,,10.000000,0.100000,,0.100000,,3.933129,0.975406,1.525785,,,,,,,,,7.115846,5.153842,,6.499971,1.041246,1.508122,,,,,9.807326
T2a,,,,,,,,,1.595966,,,,9.635810,0.100000,1.002035,,,,,,,,,6.289080,,0.794658,0.954946,4.485060,2.129884,,0.595970,,,0.100000
T3,,,,,,,,,,,,,4.951395,1.049051,0.971066,,,,0.953456,,,,,10.000000,,,3.642004,0.100000,,,,7.015285,,0.304611
T4a,,,,,,,,,,,2.781458,,,,,0.868032,1.039672,0.986619,0.969902,0.976702,,,,,,,,,,,,3.222024,,
T4b,,,,,,,,,1.028950,1.036947,1.001355,,,,,1.014274,0.961590,,0.954604,,1.024205,,,,,,,,,,,,,
T4c,,,,,,,,,,,0.636018,,0.957261,,,,,0.100000,,,,1.032480,0.998159,,,,,,,,,,,
T4d,,,,,,,,,1.049374,,,,,,,,,0.964621,1.009816,,,,0.982764,,,,,,,,,,,
T5a,,,,,,,,,,,,,0.100000,,,5.608488,,,,0.100000,1.041590,,,,9.881036,,,,,,,,,
T5b,,,,,,,,,,,,,10.000000,,,,1.042649,,,0.979438,4.773641,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,0.100000,,,,,1.026673,,,1.038307,1.018676,0.958395,,,,,,,,,,,
T5d,,,,,,,,,,,,,4.219886,,,,,0.100000,0.981726,,,,1.022569,,,,,,,,,,,
Tm1,,,,,0.184030,,,1.931041,0.100000,3.126775,0.100000,0.100000,7.146842,0.106508,6.081848,,,1.015519,,8.996138,10.000000,0.100000,0.101344,7.216604,5.607828,5.845708,10.000000,0.962208,6.877509,1.159007,0.100000,0.100000,,7.420980
Tm2,,,,0.971108,0.254389,,,2.293917,9.983989,5.510241,6.198981,0.100000,9.638107,0.100000,8.301187,1.034868,,2.879126,,10.000000,7.443716,0.144092,1.899867,5.272809,,,0.668474,1.005653,4.969411,8.796486,,2.383524,0.125067,0.100000
Tm20,,,,,,,,,,0.100000,10.000000,0.100000,1.346437,1.696195,,,,,,,,,,0.100000,6.858691,7.884409,0.988126,,,2.422237,,0.728816,,
Tm21,,,,,,,,,10.000000,,,,10.000000,0.998542,,,,,,,,,,0.100702,,,6.176022,,,,,,,
Tm3,,,,0.359403,0.986927,,,,0.100000,1.011125,0.944691,,0.100000,2.737404,0.100000,1.168762,1.004489,3.138248,1.001462,,1.037013,,1.042828,,,,,1.010162,1.036786,,1.043298,0.100000,1.008413,0.100000
Tm4,,,,,1.042871,,,,3.496374,5.340060,,0.969687,0.100000,7.032587,2.164972,,,,,10.000000,10.000000,0.840625,0.999169,10.000000,0.100000,,5.216159,0.988670,0.305138,,5.437192,0.100000,,6.898259
Tm9,,,,,,8.796486,,,,0.965919,6.741862,,0.480319,1.029195,,,,,,1.034884,0.100000,1.051109,0.991975,0.100000,3.013759,6.035965,0.100000,,0.100000,0.974052,,,,
C2,0.100000,0.100000,0.100000,0.591315,0.427380,10.000000,0.266658,0.100000,8.399240,2.715521,,5.227719,4.644041,0.100000,0.100000,,,,,,,,,0.100000,,,,,,0.100000,0.809787,3.732023,,
C3,9.818348,,,7.522328,0.100000,0.100000,0.980486,3.110423,9.972268,0.100000,1.700643,0.777360,9.356354,0.100000,0.100000,0.100000,0.970292,9.998329,1.026540,,,,,2.463968,3.676779,0.100000,3.676053,1.032724,1.563747,1.303514,3.894822,,,
Lawf1,2.552565,,,0.977676,1.015335,0.100000,,1.005185,,,1.015227,0.968815,,,,,,,,,,,,,,,,0.975721,,,,,0.978644,
Lawf2,10.000000,,,0.953931,1.030988,0.100000,,5.648476,,,,6.015075,,,,,,,,,,,,0.100000,8.354686,,,,,1.012265,3.203909,1.444074,0.615441,
