,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,2.766694,0.100000,1.556633,1.001152,,,,,4.100003,,,,,,,,,,,,,,,,,,,0.100000,10.000000,,
R7,,,1.147948,2.593174,,3.202198,,,9.703802,1.009256,7.248927,,,,,,,,,,,,,,,10.000000,,,,,,10.000000,9.842542,
R8,,2.600220,0.100000,4.087495,0.100000,1.064348,,0.100000,0.889040,2.759889,7.018283,0.167683,,,,,,,,,,,,,,8.412091,0.970590,,,,0.100000,0.100000,8.009672,10.000000
L1,0.100000,0.100000,10.000000,5.369251,7.273967,0.625454,0.973641,0.829431,1.129999,0.959517,,4.916409,2.555924,10.000000,,,,,,,,,,8.589479,2.754372,,,1.907455,,,6.778957,0.100000,,10.000000
L2,0.254901,,10.000000,9.402137,0.100000,1.006758,2.338295,0.101758,0.100000,0.377669,0.100000,0.178853,0.180247,1.049308,,,,,,,,,,2.675835,1.224683,8.665262,,0.920470,4.773936,,1.578531,0.100000,,
L3,,10.000000,10.000000,0.100000,5.637174,,,,7.327380,1.029259,0.100000,8.739308,,,,,,,,,,,,10.000000,2.101827,1.207936,1.025347,,0.963781,0.100000,0.100000,5.264148,10.000000,
L4,1.017501,,,0.969720,0.100000,0.955007,0.974220,0.964086,1.031068,,2.151540,,1.044519,,,,,,,,,,,0.957195,0.100000,,,,0.992507,1.004172,,0.982832,1.038594,1.017097
L5,,,,0.445268,10.000000,,,9.972213,4.213024,0.181617,0.100000,5.475485,0.259373,6.862836,,,,,,,,,,1.094447,10.000000,0.100000,0.100000,0.100296,10.000000,,1.793653,6.116282,0.100000,2.223043
Mi1,,0.100000,4.047037,3.572705,10.000000,,,2.430726,0.100000,0.857041,0.100000,1.793129,3.425099,7.258488,0.100000,0.100000,0.100000,0.159546,0.100000,,,,,0.559268,9.587809,10.000000,0.987415,0.133448,0.100000,,1.220947,1.394048,0.100000,2.395650
Mi4,,,,,0.954928,0.976458,,0.966450,1.034976,1.026504,0.483407,1.037821,,0.967383,,0.212921,1.041349,0.986779,1.024880,,,,,0.971663,0.776836,1.030848,,0.976496,1.007590,1.028050,1.033279,1.009610,1.037144,1.034411
Mi9,,,,,,0.534205,0.965077,,1.725315,1.708776,,,1.000125,0.100000,1.179910,0.583022,3.830824,2.456332,2.153811,,,,,8.563977,9.269766,0.100000,3.269581,1.341325,0.100000,1.031672,4.539364,,7.852985,0.110217
T1,0.100000,10.000000,0.100000,,3.971845,2.730727,,9.846183,,,5.057400,,,,,,,,,,,,,0.100668,1.380546,0.445924,,,2.730451,,,,,
T2,,,,,,,,9.898345,6.793938,,1.036984,,0.100000,0.954907,1.038215,,,,,,,,,0.100000,6.187056,,0.951033,0.972468,0.991778,,,,,10.000000
T2a,,,,,,,,,6.417341,,,,1.007390,5.792074,0.100000,,,,,,,,,7.976999,,6.521474,1.029433,0.100000,10.000000,,10.000000,,,8.883238
T3,,,,,,,,,,,,,0.155841,0.960426,0.979120,,,,1.040803,,,,,0.100000,,,0.994293,0.283760,,,,8.233765,,7.135708
T4a,,,,,,,,,,,0.100000,,,,,6.209132,1.019662,0.974888,0.961470,0.996648,,,,,,,,,,,,9.392131,,
T4b,,,,,,,,,0.871569,1.046328,0.100000,,,,,0.100000,0.100000,,0.986786,,1.045601,,,,,,,,,,,,,
T4c,,,,,,,,,,,1.180018,,1.018221,,,,,1.418729,,,,1.012140,0.996972,,,,,,,,,,,
T4d,,,,,,,,,0.898596,,,,,,,,,0.996555,1.032102,,,,1.020674,,,,,,,,,,,
T5a,,,,,,,,,,,,,0.100000,,,0.100000,,,,0.100000,0.990465,,,,9.545292,,,,,,,,,
T5b,,,,,,,,,,,,,0.100000,,,,0.671255,,,0.997528,0.100000,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.026656,,,,,0.748749,,,0.996555,0.966890,0.987289,,,,,,,,,,,
T5d,,,,,,,,,,,,,1.043143,,,,,0.475104,1.008029,,,,0.968036,,,,,,,,,,,
Tm1,,,,,0.516986,,,0.100000,3.453026,0.157205,0.194338,1.885265,10.000000,3.634270,0.100000,,,0.987360,,8.935799,0.100000,0.268807,0.100000,0.132200,6.223150,6.945098,0.100000,1.038667,0.100000,1.006400,9.289871,7.922330,,0.100000
Tm2,,,,0.100000,2.246742,,,0.100000,0.100000,0.155797,5.475431,0.100000,0.100000,0.100000,7.927499,1.007545,,1.481793,,9.390362,0.100000,0.143844,0.100000,2.725009,,,0.100000,1.065573,0.100000,1.027464,,3.972523,0.100000,8.435948
Tm20,,,,,,,,,,1.025443,10.000000,0.100000,1.003277,10.000000,,,,,,,,,,10.000000,2.088130,10.000000,1.027229,,,0.243326,,10.000000,,
Tm21,,,,,,,,,0.981041,,,,0.961727,0.966385,,,,,,,,,,0.100000,,,0.970529,,,,,,,
Tm3,,,,0.959095,0.963782,,,,0.541635,1.049270,1.042583,,1.014030,1.040152,0.305354,2.012102,1.004999,2.066634,0.980448,,0.971555,,0.977479,,,,,0.253962,0.729628,,1.022876,1.040296,0.100000,0.619680
Tm4,,,,,10.000000,,,,5.612654,0.100000,,0.100000,1.020943,0.100000,6.452897,,,,,10.000000,9.414227,0.214520,0.100000,0.104906,0.100000,,1.031860,1.240635,0.100000,,5.593825,9.777738,,10.000000
Tm9,,,,,,1.031149,,,,1.010765,0.401183,,1.032307,1.040232,,,,,,0.969934,0.976096,0.998830,1.037520,0.964366,0.967685,0.994839,0.971158,,0.963008,0.979879,,,,
C2,0.100000,0.100000,10.000000,9.993810,0.100000,0.971340,0.100000,0.846608,0.100000,0.990367,,3.782984,1.249252,1.819131,0.986536,,,,,,,,,0.100000,,,,,,1.016235,10.000000,9.811195,,
C3,0.100000,,,0.333015,0.160295,0.100000,1.049974,1.507230,3.334911,1.031076,0.100000,0.444850,5.729719,0.100000,4.994183,3.556148,1.738278,0.595113,1.029894,,,,,0.100453,0.100000,4.967813,0.965637,0.995007,10.000000,1.011835,0.100000,,,
Lawf1,0.100000,,,6.710196,0.100000,10.000000,,10.000000,,,10.000000,2.499371,,,,,,,,,,,,,,,,0.100000,,,,,7.138556,
Lawf2,0.100000,,,0.100000,4.151371,4.739249,,6.429380,,,,10.000000,,,,,,,,,,,,2.426702,10.000000,,,,,1.024418,0.100000,6.026349,9.584774,
