idx,cell,in_gain,out_gain,bias,out_scale,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.832898,-10.126423,1.028481,37.984540,10000.000000,0.000000,1.000000
1,R7,1.000000,5.396091,-9.235081,1.049945,10.000000,10000.000000,0.000000,1.000000
2,R8,1.000000,4.089804,-9.416643,0.983167,10.000000,9934.265497,0.000000,1.000000
3,L1,1.000000,4.777026,-1.756817,0.978067,37.125600,266.483457,0.000000,4.718903
4,L2,1.000000,0.100000,-1.410448,0.971315,52.950815,193.941527,0.000000,0.100000
5,L3,1.000000,1.010973,-0.241777,1.649482,27.516489,10000.000000,0.000000,1.000000
6,L4,1.000000,1.007261,-0.459865,0.993209,51.922204,203.618174,0.000000,0.973993
7,L5,1.000000,1.006412,-0.415246,1.020307,51.797134,202.259376,0.000000,0.959563
8,Mi1,1.000000,0.812315,-0.369948,0.995741,51.502618,10000.000000,0.000000,1.000000
9,Mi4,1.000000,0.999344,-0.138102,1.004063,49.809916,10000.000000,0.000000,1.000000
10,Mi9,1.000000,1.031240,-0.246804,1.038522,51.029836,9997.226591,0.000000,1.000000
11,T1,1.000000,1.047924,-0.245718,1.016509,49.551345,10000.000000,0.000000,1.000000
12,T2,1.000000,0.970326,-0.054667,0.985668,50.526593,9999.724787,0.000000,1.000000
13,T2a,1.000000,0.966472,-0.016795,0.982229,51.388700,9992.701693,0.000000,1.000000
14,T3,1.000000,0.991029,-0.024272,1.019815,51.185258,10000.000000,0.000000,1.000000
15,T4a,1.000000,1.040402,0.317641,1.042940,48.454934,10000.000000,0.000000,1.000000
16,T4b,1.000000,1.038155,0.097901,0.992601,51.644384,9998.070158,0.000000,1.000000
17,T4c,1.000000,0.969832,0.270944,1.034456,51.869022,9991.351329,0.000000,1.000000
18,T4d,1.000000,0.959474,-0.431525,0.953723,52.201261,9995.259607,0.000000,1.000000
19,T5a,1.000000,0.997641,-0.014050,1.021449,50.759889,9997.514982,0.000000,1.000000
20,T5b,1.000000,0.988162,-0.019452,0.968372,51.034741,9998.485720,0.000000,1.000000
21,T5c,1.000000,0.975370,0.419839,1.046178,47.946630,9995.239280,0.000000,1.000000
22,T5d,1.000000,0.975818,-0.449523,0.990821,51.806846,9999.223461,0.000000,1.000000
23,Tm1,1.000000,1.040241,-0.482359,1.015779,48.995291,9997.245655,0.000000,1.000000
24,Tm2,1.000000,0.447100,-0.648427,0.968732,49.306544,9990.893937,0.000000,1.000000
25,Tm20,1.000000,1.044770,0.325094,0.984681,51.145950,10000.000000,0.000000,1.000000
26,Tm21,1.000000,0.983573,-0.040120,0.978195,48.300580,10000.000000,0.000000,1.000000
27,Tm3,1.000000,1.407789,-0.651916,1.014930,50.611634,10000.000000,0.000000,1.000000
28,Tm4,1.000000,1.016627,0.448297,0.982685,51.137558,9997.335921,0.000000,1.000000
29,Tm9,1.000000,1.011589,-0.208117,1.046926,48.140612,10000.000000,0.000000,1.000000
30,C2,1.000000,0.100000,-1.040320,0.966084,51.045654,9999.999873,0.000000,1.000000
31,C3,1.000000,1.038254,-0.169079,0.968851,49.510057,9999.423745,0.000000,1.000000
32,Lawf1,1.000000,0.661373,-0.598153,0.989891,48.913351,10000.000000,0.000000,1.000000
33,Lawf2,1.000000,0.972187,-0.275119,0.992266,51.832404,9998.551280,0.000000,1.000000
