,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,1.989525,0.100000,1.214854,1.035012,,,,,1.032734,,,,,,,,,,,,,,,,,,,1.031405,1.032217,,
R7,,,8.272757,0.279868,,5.652729,,,1.015086,1.019124,1.009169,,,,,,,,,,,,,,,1.021027,,,,,,1.033193,1.010750,
R8,,6.018255,0.100000,8.335905,0.100000,2.212538,,0.966374,1.082036,1.103978,1.028096,1.028201,,,,,,,,,,,,,,0.993073,1.049791,,,,1.022426,0.969883,1.043987,0.958489
L1,0.100000,0.100000,10.000000,0.984349,2.333262,1.753086,1.000592,0.894877,0.946537,0.937798,,1.037213,1.011501,1.019844,,,,,,,,,,0.953480,0.972503,,,1.499536,,,0.465122,0.985973,,0.998639
L2,2.170862,,0.939301,2.218696,0.979591,0.100000,0.992962,1.037152,0.984542,0.995774,1.047472,0.974633,0.965478,1.033064,,,,,,,,,,0.976798,0.419145,1.010397,,0.956896,1.013643,,0.430881,0.978917,,
L3,,0.950247,0.974624,1.042848,0.991300,,,,0.986737,1.048541,0.996321,1.006472,,,,,,,,,,,,1.006770,0.980428,0.976217,0.975903,,1.002242,0.956453,0.951135,0.985999,1.028359,
L4,1.026082,,,1.007650,1.025842,1.036473,1.005372,1.047862,1.008470,,1.013838,,1.019195,,,,,,,,,,,0.955782,0.954676,,,,0.972396,0.985112,,1.035487,0.980295,0.983313
L5,,,,0.966858,0.977042,,,0.994341,0.978147,1.021022,0.999104,0.993417,1.026738,0.981589,,,,,,,,,,1.018585,1.039207,1.010524,0.984074,0.962434,0.968099,,0.960506,0.969915,0.989595,0.987272
Mi1,,1.030551,1.042503,0.872649,1.035236,,,1.047303,0.956605,0.975513,0.983312,0.985517,1.021284,0.996561,1.017537,0.996370,0.971807,0.984877,0.986790,,,,,0.980960,1.022524,0.953396,1.000615,0.959569,1.036133,,0.882649,0.954020,1.036750,1.011082
Mi4,,,,,1.022273,0.922719,,0.976341,0.993410,1.018274,0.980648,1.014512,,1.000535,,1.035711,1.003803,0.986684,1.027718,,,,,1.047343,1.020852,1.020703,,1.045005,1.009627,0.958614,0.962866,1.000039,1.008044,0.950377
Mi9,,,,,,1.035207,1.003935,,1.007324,0.977374,,,1.041965,0.977029,0.997584,0.954047,1.044757,0.972326,0.989471,,,,,0.995603,0.996346,1.027056,0.965133,1.004538,1.022835,0.961540,0.981980,,0.979298,0.975130
T1,0.979164,1.016611,1.003972,,0.984776,0.953089,,0.980636,,,0.984458,,,,,,,,,,,,,1.026963,1.010135,0.999716,,,1.022244,,,,,
T2,,,,,,,,1.030080,0.961245,,1.046333,,0.996579,0.973031,1.006790,,,,,,,,,1.032712,1.006743,,0.999570,0.994405,0.999120,,,,,1.026819
T2a,,,,,,,,,1.001336,,,,1.018397,0.965487,0.983315,,,,,,,,,0.988431,,1.017368,0.986434,1.007389,0.967657,,1.015904,,,0.989088
T3,,,,,,,,,,,,,1.025305,1.004900,0.950801,,,,1.023094,,,,,0.978370,,,0.999571,1.006982,,,,0.998433,,1.043361
T4a,,,,,,,,,,,1.014787,,,,,1.002777,1.044305,0.973539,1.047638,1.045183,,,,,,,,,,,,0.991009,,
T4b,,,,,,,,,1.049101,0.966102,0.976585,,,,,1.010643,1.002522,,1.027487,,1.011260,,,,,,,,,,,,,
T4c,,,,,,,,,,,0.960977,,0.984696,,,,,0.984950,,,,0.996810,1.012815,,,,,,,,,,,
T4d,,,,,,,,,1.031276,,,,,,,,,0.951745,1.033565,,,,0.968330,,,,,,,,,,,
T5a,,,,,,,,,,,,,1.004623,,,1.043767,,,,0.980943,1.017531,,,,1.024495,,,,,,,,,
T5b,,,,,,,,,,,,,1.014825,,,,0.969796,,,1.034772,1.043468,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.041690,,,,,0.969423,,,0.968781,1.006896,1.006227,,,,,,,,,,,
T5d,,,,,,,,,,,,,0.957606,,,,,1.002606,0.998905,,,,0.959445,,,,,,,,,,,
Tm1,,,,,0.968345,,,0.963591,1.005587,0.971816,1.036292,1.031063,0.990876,1.020742,0.985248,,,1.012913,,1.038780,0.959715,1.009119,0.991085,0.961684,1.006462,0.994166,1.007030,0.974313,0.981309,1.029207,0.992955,1.009414,,0.978466
Tm2,,,,0.994384,0.502612,,,0.986801,1.000613,0.975520,0.957116,1.031319,1.027513,0.973794,0.982807,0.985699,,0.958528,,1.028223,1.027163,1.022390,0.991580,1.037525,,,1.038357,0.996485,0.981209,1.048176,,1.011407,0.549871,0.964181
Tm20,,,,,,,,,,1.027498,0.956162,0.982824,1.015843,0.958435,,,,,,,,,,1.032540,1.004918,1.021277,0.998917,,,0.980358,,0.953540,,
Tm21,,,,,,,,,1.016120,,,,1.028514,0.958634,,,,,,,,,,0.998967,,,0.992253,,,,,,,
Tm3,,,,0.542727,1.044665,,,,0.998272,1.042585,0.965616,,0.971664,0.986654,0.955588,1.030408,0.985307,0.983768,1.037614,,1.019150,,0.954474,,,,,0.945354,0.959577,,0.951345,1.044997,1.478765,0.990738
Tm4,,,,,1.036819,,,,1.016625,0.969665,,1.035702,0.988548,0.975315,1.018906,,,,,0.973415,1.047888,0.972774,0.963153,0.972910,1.010721,,1.022327,0.975041,1.013650,,0.977994,1.025022,,1.012889
Tm9,,,,,,0.998192,,,,0.982790,0.959520,,0.951431,0.958753,,,,,,0.995097,1.048866,1.036344,1.035951,0.988357,0.967859,1.008837,1.002997,,0.959866,1.015051,,,,
C2,0.999067,1.006913,1.018060,1.042942,1.034194,0.100000,0.991771,0.985829,0.962780,1.012012,,1.023549,0.994697,1.018357,1.011864,,,,,,,,,0.990231,,,,,,0.975355,1.009126,0.952279,,
C3,0.957498,,,0.969921,0.966053,0.951066,1.032432,1.031400,1.033594,1.015438,0.951058,1.015906,0.956314,0.982315,0.990381,0.956419,1.016110,1.029964,1.028848,,,,,1.007777,1.036710,1.038170,0.969228,1.000504,1.015045,1.030653,0.953621,,,
Lawf1,1.029487,,,1.031820,0.987328,0.586123,,0.989015,,,0.979161,1.039883,,,,,,,,,,,,,,,,1.039952,,,,,0.983363,
Lawf2,1.004830,,,1.034512,0.992460,1.001144,,1.005877,,,,0.951186,,,,,,,,,,,,0.961034,0.974877,,,,,1.026286,1.026877,0.970908,1.030383,
