idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,0.383850,-1.386748,0.977086,-0.239627,45.795498,9991.117046,0.000000,1.000000
1,R7,1.000000,0.714111,-2.483304,0.996800,-0.398718,45.919879,9998.180034,0.000000,1.000000
2,R8,1.000000,0.976975,-2.368479,1.036792,0.490951,45.022211,9998.285776,0.000000,1.000000
3,L1,1.000000,0.866082,-1.382878,0.975664,0.147633,48.401670,197.830726,0.000000,0.343091
4,L2,1.000000,3.922949,1.864930,0.959709,0.411727,34.454612,216.095907,0.000000,6.215332
5,L3,1.000000,5.011056,7.057518,0.100000,-0.258959,49.356468,9996.201070,0.000000,1.000000
6,L4,1.000000,0.250453,-0.044908,0.991100,0.492922,45.502025,195.531611,0.000000,0.832214
7,L5,1.000000,10.000000,20.000000,1.036654,0.411011,56.321619,200.677995,0.000000,0.522975
8,Mi1,1.000000,3.365667,1.110720,0.979828,-0.196160,37.065830,9993.754684,0.000000,1.000000
9,Mi4,1.000000,9.433624,0.368291,1.043767,-0.024455,37.319948,9999.959794,0.000000,1.000000
10,Mi9,1.000000,0.245648,-0.726696,1.026717,-0.144043,49.791081,9995.861683,0.000000,1.000000
11,T1,1.000000,0.102937,-1.350384,0.973572,-0.309808,50.524779,9999.711535,0.000000,1.000000
12,T2,1.000000,3.170886,3.804478,1.025610,-0.089941,34.646976,9993.048101,0.000000,1.000000
13,T2a,1.000000,6.006320,-6.716029,0.996035,-0.130688,39.471004,9992.573731,0.000000,1.000000
14,T3,1.000000,8.278986,-3.023744,0.962746,0.079932,49.174242,9999.622187,0.000000,1.000000
15,T4a,1.000000,0.100000,0.203304,1.025998,0.021598,50.630327,9996.821303,0.000000,1.000000
16,T4b,1.000000,0.100000,-0.464275,1.026081,0.461963,51.939046,9994.078703,0.000000,1.000000
17,T4c,1.000000,0.854875,0.379457,0.952544,-0.022541,48.169538,10000.000000,0.000000,1.000000
18,T4d,1.000000,0.100000,-0.212248,1.003647,0.362670,50.428791,10000.000000,0.000000,1.000000
19,T5a,1.000000,5.776076,3.582717,0.951260,0.279945,51.167844,10000.000000,0.000000,1.000000
20,T5b,1.000000,10.000000,-3.782802,0.986041,0.250301,49.475776,9990.349450,0.000000,1.000000
21,T5c,1.000000,0.100000,-0.582338,1.008002,0.427012,51.643878,9992.608918,0.000000,1.000000
22,T5d,1.000000,5.963203,-1.637501,1.046880,0.078473,51.186604,9999.999866,0.000000,1.000000
23,Tm1,1.000000,2.518216,-3.478390,1.039755,-0.467200,44.113902,9990.001825,0.000000,1.000000
24,Tm2,1.000000,0.300616,4.767494,0.990642,0.080889,58.149289,9992.873380,0.000000,1.000000
25,Tm20,1.000000,7.617242,1.337243,1.015932,0.486288,49.882440,9994.070124,0.000000,1.000000
26,Tm21,1.000000,9.855573,8.249204,0.960122,0.443909,55.681947,9998.909977,0.000000,1.000000
27,Tm3,1.000000,2.550476,2.407900,0.998181,-0.262846,40.276788,9996.721988,0.000000,1.000000
28,Tm4,1.000000,4.739263,5.974325,0.980132,-0.284986,40.479743,10000.000000,0.000000,1.000000
29,Tm9,1.000000,0.769406,-1.199932,1.041806,-0.415876,50.864617,9999.999997,0.000000,1.000000
30,C2,1.000000,2.686077,-2.014809,1.045772,-0.455078,42.359960,9996.666147,0.000000,1.000000
31,C3,1.000000,3.527616,-1.144772,0.979401,0.396717,33.218786,9996.256540,0.000000,1.000000
32,Lawf1,1.000000,0.100000,-1.555937,1.047488,0.363415,49.397913,9996.000380,0.000000,1.000000
33,Lawf2,1.000000,4.238145,-0.338151,1.030157,-0.044343,42.004569,9990.497622,0.000000,1.000000
