idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.243866,12.945227,0.995104,0.151214,29.994990,9998.643052,0.000000,1.000000
1,R7,1.000000,9.162343,-18.421949,1.007461,-0.340362,24.571360,9981.140567,0.000000,1.000000
2,R8,1.000000,3.127166,7.109518,0.988693,0.281278,33.583072,9993.544548,0.000000,1.000000
3,L1,1.000000,3.365932,1.615820,1.010748,0.197699,33.223076,202.069733,0.000000,2.485506
4,L2,1.000000,1.660691,0.456046,0.751856,0.438220,30.414872,223.953796,0.000000,1.979164
5,L3,1.000000,4.138907,-1.655879,0.966444,-1.268576,29.897612,9984.716215,0.000000,1.000000
6,L4,1.000000,3.603311,-0.055133,0.379736,0.499154,68.367777,223.881614,0.000000,5.095361
7,L5,1.000000,4.533595,1.792921,2.580819,-3.747951,29.657377,203.122578,0.000000,3.543546
8,Mi1,1.000000,7.672422,2.207179,2.126023,-2.981131,28.365770,9995.586533,0.000000,1.000000
9,Mi4,1.000000,7.263762,-0.242285,0.699184,0.483023,26.391357,9992.831981,0.000000,1.000000
10,Mi9,1.000000,10.000000,-0.021121,2.769738,-0.673060,35.456622,9977.491780,0.000000,1.000000
11,T1,1.000000,1.040893,-1.304227,1.039214,0.351919,52.084055,9991.095631,0.000000,1.000000
12,T2,1.000000,3.596341,0.010709,0.965804,-0.306462,48.158839,9981.438643,0.000000,1.000000
13,T2a,1.000000,0.127319,-1.801294,1.007539,-0.068522,48.644230,9999.999480,0.000000,1.000000
14,T3,1.000000,0.100000,-0.944743,1.039532,-0.286211,57.690365,9990.562270,0.000000,1.000000
15,T4a,1.000000,3.129376,-0.726963,1.023363,0.314343,46.189363,9986.680907,0.000000,1.000000
16,T4b,1.000000,0.694093,-1.046252,1.030171,-0.347659,50.521046,9999.999941,0.000000,1.000000
17,T4c,1.000000,2.907583,-0.702861,0.979948,-0.243589,46.384560,9991.213523,0.000000,1.000000
18,T4d,1.000000,4.619885,-1.963393,1.039701,-0.079099,54.319143,9989.603390,0.000000,1.000000
19,T5a,1.000000,4.009118,0.039285,0.975905,0.202765,35.354695,9999.740738,0.000000,1.000000
20,T5b,1.000000,1.044746,-0.439510,1.039132,-0.465228,50.626880,9991.480148,0.000000,1.000000
21,T5c,1.000000,0.952996,-0.374899,0.964810,-0.414941,51.580401,10000.000000,0.000000,1.000000
22,T5d,1.000000,0.952338,-0.525301,0.986686,0.173921,52.418128,9990.827042,0.000000,1.000000
23,Tm1,1.000000,3.730169,0.931598,0.522177,0.284507,27.241096,9982.404824,0.000000,1.000000
24,Tm2,1.000000,10.000000,-0.750814,0.342387,0.146747,18.895100,9976.496526,0.000000,1.000000
25,Tm20,1.000000,0.956257,-0.741621,0.991115,-0.183223,49.284755,9990.553688,0.000000,1.000000
26,Tm21,1.000000,0.100000,-1.071694,1.037321,-0.458398,49.316477,9997.186280,0.000000,1.000000
27,Tm3,1.000000,1.442361,-0.642549,0.305357,-0.254566,23.711245,9991.422027,0.000000,1.000000
28,Tm4,1.000000,9.788605,-0.089299,0.148743,0.600643,21.184916,9979.870419,0.000000,1.000000
29,Tm9,1.000000,0.100000,-1.706269,1.299358,1.087121,26.008544,10000.000000,0.000000,1.000000
30,C2,1.000000,0.408566,-0.559553,0.973663,0.269055,49.039186,9999.998017,0.000000,1.000000
31,C3,1.000000,8.078274,-0.157756,0.984297,-0.482422,32.329537,10000.000000,0.000000,1.000000
32,Lawf1,1.000000,5.535238,0.801685,1.027079,0.394767,61.021168,9981.962592,0.000000,1.000000
33,Lawf2,1.000000,0.413934,-0.683908,1.046325,0.476075,47.863172,9994.118443,0.000000,1.000000
