,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,9.165864,,,2.908377,1.582672,0.101686,3.769536,,,,,1.870572,,,,,,,,,,,,,,,,,,,0.100000,1.771982,,
R7,,,6.457957,2.615231,,9.987518,,,0.250196,0.100000,2.068267,,,,,,,,,,,,,,,0.347502,,,,,,1.470465,0.521167,
R8,,5.910861,0.343181,9.398424,10.000000,2.369225,,0.100000,0.530976,0.100000,0.484419,0.100000,,,,,,,,,,,,,,1.215576,1.038384,,,,0.100000,1.735489,7.816626,1.014995
L1,0.100000,0.100000,4.367005,0.276124,2.633140,0.896782,0.100000,4.622884,1.483735,0.100000,,10.000000,9.874373,6.400472,,,,,,,,,,0.100000,0.413647,,,0.585502,,,9.454534,1.784013,,1.008834
L2,10.000000,,10.000000,0.100000,1.159144,6.235661,1.844062,3.234115,0.287164,0.100000,1.044934,0.100000,10.000000,0.975400,,,,,,,,,,1.447943,1.131157,10.000000,,0.100000,1.763045,,2.161533,0.200668,,
L3,,0.103632,0.206156,5.740663,0.100000,,,,3.561029,0.100000,1.342409,10.000000,,,,,,,,,,,,0.100000,10.000000,0.100000,0.978811,,10.000000,5.684172,10.000000,1.043296,0.100000,
L4,10.000000,,,0.100000,0.100000,0.154440,1.523998,0.100000,0.385150,,0.302550,,1.841820,,,,,,,,,,,0.100000,0.100000,,,,1.639068,8.569034,,0.100000,0.100000,1.016884
L5,,,,0.173274,0.100000,,,5.399568,8.523872,0.100000,7.112285,10.000000,9.958331,10.000000,,,,,,,,,,0.100000,0.100000,7.667937,0.606730,6.021461,0.100000,,3.247093,0.100000,0.100000,0.999652
Mi1,,5.995779,10.000000,0.100000,0.100000,,,0.646567,1.971314,0.100000,10.000000,0.100000,0.100000,4.913567,0.100000,1.312835,5.242090,7.422946,0.263989,,,,,0.637060,0.100000,0.100000,1.013552,6.742789,0.100000,,0.854220,0.100000,10.000000,0.991919
Mi4,,,,,3.481440,1.373181,,0.781461,0.249696,0.541220,0.246736,2.887996,,1.045640,,0.992411,1.206778,0.245748,1.048880,,,,,2.524458,3.682395,0.106161,,1.686616,1.005391,1.615100,0.942929,0.936059,1.175764,0.954628
Mi9,,,,,,10.000000,10.000000,,10.000000,10.000000,,,0.840623,10.000000,0.901013,6.449556,4.883278,6.765572,1.647900,,,,,5.251938,8.946636,10.000000,1.161057,0.100000,9.871753,4.504848,0.100000,,0.100000,0.991102
T1,1.878853,0.258074,9.867148,,0.114093,1.132403,,0.737089,,,5.721532,,,,,,,,,,,,,5.194818,2.325359,3.464789,,,10.000000,,,,,
T2,,,,,,,,3.555869,4.220689,,10.000000,,9.380189,1.038597,3.673473,,,,,,,,,0.100000,0.100000,,1.032302,10.000000,0.100000,,,,,1.013224
T2a,,,,,,,,,4.671328,,,,10.000000,1.236083,0.100000,,,,,,,,,0.100000,,0.100000,0.975785,0.100000,4.982997,,0.100000,,,0.991071
T3,,,,,,,,,,,,,0.100000,0.954531,0.998691,,,,1.019191,,,,,0.100000,,,1.001048,4.780522,,,,1.029764,,0.986069
T4a,,,,,,,,,,,2.620280,,,,,0.909492,0.970206,0.973749,1.040294,1.020368,,,,,,,,,,,,0.244329,,
T4b,,,,,,,,,1.131740,1.025310,6.838692,,,,,0.100000,0.100000,,0.994689,,1.522294,,,,,,,,,,,,,
