,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,5.656643,,,3.394790,0.483761,0.100000,2.743214,,,,,1.782489,,,,,,,,,,,,,,,,,,,0.956517,1.006350,,
R7,,,10.000000,0.753469,,10.000000,,,0.228687,0.100000,0.100000,,,,,,,,,,,,,,,2.126513,,,,,,0.997148,0.767677,
R8,,3.061293,7.588443,10.000000,0.100000,0.998203,,0.100000,0.315385,0.222249,0.100000,0.562271,,,,,,,,,,,,,,0.417718,1.013936,,,,0.985381,1.030931,10.000000,0.980526
L1,0.100000,0.100000,0.383038,0.100000,0.203988,1.449509,0.100000,0.312347,6.301826,0.100000,,2.189314,1.190839,10.000000,,,,,,,,,,2.394296,0.300855,,,0.100000,,,0.286420,0.246079,,0.960009
L2,10.000000,,10.000000,0.180998,10.000000,0.100000,5.697949,0.100000,0.103357,10.000000,0.100000,0.145507,10.000000,0.972955,,,,,,,,,,0.923719,1.132180,8.373678,,0.100000,1.780146,,0.963797,1.020084,,
L3,,0.969008,1.062558,1.167540,1.170454,,,,1.987722,0.984418,0.100000,1.040408,,,,,,,,,,,,0.984789,1.038855,0.617790,0.998816,,1.016604,0.174683,1.000455,0.972257,0.987916,
L4,0.100000,,,1.897901,3.951905,0.100000,1.198371,10.000000,3.984690,,0.100000,,0.115116,,,,,,,,,,,0.100000,0.100000,,,,0.100000,6.942790,,1.033718,0.100000,0.958161
L5,,,,0.580468,10.000000,,,0.100000,0.100000,1.969820,7.693204,0.207783,2.970143,0.100000,,,,,,,,,,0.100000,0.100000,10.000000,0.100000,8.996264,4.600896,,0.784683,0.994161,2.484411,0.997172
Mi1,,7.667482,10.000000,0.100000,0.100000,,,10.000000,0.825104,0.100000,10.000000,1.110336,0.100000,5.906045,4.621404,8.454235,8.358572,0.411259,0.519353,,,,,0.100000,0.100000,0.100000,9.584004,5.730569,0.100000,,0.491029,0.287582,0.100000,1.191533
Mi4,,,,,0.100000,9.462951,,0.100000,10.000000,0.100000,2.968923,0.100000,,1.119753,,0.839280,8.652550,0.977197,1.011529,,,,,6.187206,10.000000,0.100000,,0.100000,0.100000,0.100000,0.996322,0.980399,0.100000,0.982879
Mi9,,,,,,10.000000,0.100000,,10.000000,10.000000,,,4.441611,10.000000,6.417820,1.613994,4.093116,1.018853,1.190817,,,,,9.962515,10.000000,0.100000,0.100000,0.100000,10.000000,10.000000,0.997444,,2.208015,0.997503
T1,0.100000,1.206618,1.794470,,0.138604,3.754616,,0.228222,,,0.899324,,,,,,,,,,,,,1.437509,2.790909,0.623057,,,3.415091,,,,,
T2,,,,,,,,0.100000,3.504464,,0.100000,,0.100000,1.007201,6.533671,,,,,,,,,10.000000,7.216318,,0.100000,0.100000,2.224614,,,,,0.992000
T2a,,,,,,,,,3.893265,,,,6.058232,10.000000,0.100000,,,,,,,,,0.100000,,0.100000,1.007217,1.239935,2.479864,,1.025824,,,1.037639
T3,,,,,,,,,,,,,1.182172,1.042669,0.994331,,,,0.993033,,,,,0.100000,,,3.466765,4.501502,,,,0.971182,,1.028570
T4a,,,,,,,,,,,5.682229,,,,,0.100000,0.973732,0.969767,0.958120,1.041001,,,,,,,,,,,,0.225825,,
T4b,,,,,,,,,0.100000,0.100000,6.682155,,,,,1.138042,0.100000,,0.983956,,2.593998,,,,,,,,,,,,,
