idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.954515,-2.769688,1.020900,-0.297450,19.702518,986.777405,0.000000,1.000000
1,R7,1.000000,7.626459,-5.649784,1.023628,-0.498690,10.000000,992.420044,0.000000,1.000000
2,R8,1.000000,3.318353,-4.117296,1.022213,-0.333649,16.113241,991.368958,0.000000,1.000000
3,L1,1.000000,3.183249,0.331536,3.164935,2.169856,21.405041,182.210785,0.000000,2.023341
4,L2,1.000000,2.644041,3.974766,0.425667,0.446741,10.000000,187.392731,0.000000,0.497472
5,L3,1.000000,2.017323,2.687436,0.553254,0.997250,58.220150,1048.818604,0.000000,1.000000
6,L4,1.000000,3.168242,2.760724,0.667661,0.300349,10.000000,227.539093,0.000000,4.517050
7,L5,1.000000,3.830968,-0.287411,2.087889,-0.264403,43.321716,201.115982,0.000000,2.518595
8,Mi1,1.000000,6.365216,0.186283,2.734709,-0.198466,22.512928,976.444641,0.000000,1.000000
9,Mi4,1.000000,9.923556,-1.009498,1.328628,-0.620190,10.000000,974.698364,0.000000,1.000000
10,Mi9,1.000000,8.535762,3.496601,3.277126,0.287468,10.000000,973.207642,0.000000,1.000000
11,T1,1.000000,3.129636,4.580975,1.016351,-0.159296,54.514172,986.887634,0.000000,1.000000
12,T2,1.000000,10.000000,0.237049,1.026427,0.074488,18.436075,973.629211,0.000000,1.000000
13,T2a,1.000000,8.390665,1.331358,1.000525,0.198689,10.000000,969.416626,0.000000,1.000000
14,T3,1.000000,0.100000,-1.277567,1.021214,-0.199846,50.282013,999.572937,0.000000,1.000000
15,T4a,1.000000,7.237454,-1.999906,1.018263,0.157588,38.114841,995.195007,0.000000,1.000000
16,T4b,1.000000,0.227039,-1.706229,1.040058,0.284174,49.218033,1002.385010,0.000000,1.000000
17,T4c,1.000000,0.101442,-1.146425,0.974147,-0.247267,49.603233,1000.845459,0.000000,1.000000
18,T4d,1.000000,10.000000,4.607871,1.006660,0.351438,30.520527,1003.621948,0.000000,1.000000
19,T5a,1.000000,9.455889,2.414845,1.015750,0.230604,71.655594,1023.237732,0.000000,1.000000
20,T5b,1.000000,0.301154,-2.717970,1.008600,0.003523,49.874355,1001.862549,0.000000,1.000000
21,T5c,1.000000,10.000000,17.590635,1.045009,-0.473121,11.225354,1045.067627,0.000000,1.000000
22,T5d,1.000000,10.000000,-6.647185,1.006328,-0.130275,65.939857,1017.587769,0.000000,1.000000
23,Tm1,1.000000,2.734876,-3.296310,0.837740,1.704792,18.424976,977.778870,0.000000,1.000000
24,Tm2,1.000000,0.635517,4.282701,0.444685,0.911264,10.000000,937.013184,0.000000,1.000000
25,Tm20,1.000000,5.475795,5.371110,1.048813,-0.496087,10.000000,984.697083,0.000000,1.000000
26,Tm21,1.000000,10.000000,6.718242,0.962519,-0.381994,10.000000,978.426331,0.000000,1.000000
27,Tm3,1.000000,1.747268,1.065048,0.608574,0.429359,10.000000,971.526733,0.000000,1.000000
28,Tm4,1.000000,10.000000,1.465309,0.387197,1.822047,10.000000,917.392029,0.000000,1.000000
29,Tm9,1.000000,0.112312,-4.223696,1.270594,0.670942,62.691814,1048.340332,0.000000,1.000000
30,C2,1.000000,5.164344,0.423552,0.961965,0.007030,21.238102,987.927612,0.000000,1.000000
31,C3,1.000000,7.775426,-2.587824,0.959501,-0.281884,51.602501,996.068359,0.000000,1.000000
32,Lawf1,1.000000,10.000000,0.008775,1.033330,-0.382414,10.000000,1005.865967,0.000000,1.000000
33,Lawf2,1.000000,0.100000,-0.931007,0.997521,-0.464857,50.645790,992.324097,0.000000,1.000000
