idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,1.783425,-0.597888,1.044102,0.077724,10.000000,976.236978,0.000000,1.000000
1,R7,1.000000,6.200168,-1.731071,0.965062,-0.123766,10.000000,1033.754871,0.000000,1.000000
2,R8,1.000000,2.448686,-0.581202,0.964484,0.463971,17.025874,963.117751,0.000000,1.000000
3,L1,1.000000,2.962933,-0.144123,2.573623,-0.058832,27.540329,200.060693,0.000000,2.493400
4,L2,1.000000,3.502132,6.204611,0.604300,0.664315,27.201721,219.937684,0.000000,1.591584
5,L3,1.000000,5.151765,4.576290,0.696052,0.364659,81.128958,997.913278,0.000000,1.000000
6,L4,1.000000,4.344368,0.584494,0.670733,0.471512,84.700282,227.526301,0.000000,4.107954
7,L5,1.000000,3.691857,0.398559,1.858682,-0.556621,50.441977,211.794629,0.000000,2.403212
8,Mi1,1.000000,5.228057,0.027747,2.220251,0.375027,74.981622,988.670881,0.000000,1.000000
9,Mi4,1.000000,10.000000,10.055855,6.581326,4.048913,74.082057,1042.283389,0.000000,1.000000
10,Mi9,1.000000,9.852948,-2.606381,1.735361,-0.085968,18.584695,956.050703,0.000000,1.000000
11,T1,1.000000,2.481996,-0.189264,1.037425,0.364308,77.531086,1012.965472,0.000000,1.000000
12,T2,1.000000,10.000000,-1.174274,0.953060,0.145447,30.666679,1009.121356,0.000000,1.000000
13,T2a,1.000000,2.094117,-2.914803,0.992794,0.107428,50.498032,991.870032,0.000000,1.000000
14,T3,1.000000,10.000000,-10.046037,0.968775,0.317638,10.282939,982.983515,0.000000,1.000000
15,T4a,1.000000,1.697087,-2.058420,0.996819,-0.072617,47.294524,1003.981600,0.000000,1.000000
16,T4b,1.000000,10.000000,-10.079167,0.991959,-0.492791,10.000000,953.302318,0.000000,1.000000
17,T4c,1.000000,10.000000,-7.593937,1.012906,0.309862,35.935947,986.424184,0.000000,1.000000
18,T4d,1.000000,9.853231,15.597305,0.995029,0.363802,93.092103,1067.642539,0.000000,1.000000
19,T5a,1.000000,9.966576,-0.968504,1.049198,0.228762,23.192846,1010.842627,0.000000,1.000000
20,T5b,1.000000,10.000000,-3.284649,0.950770,-0.122956,36.412411,1020.725962,0.000000,1.000000
21,T5c,1.000000,9.660105,7.174552,1.003158,-0.043768,37.172251,1004.515727,0.000000,1.000000
22,T5d,1.000000,0.100000,-0.865249,1.030480,-0.161794,49.934386,1008.372445,0.000000,1.000000
23,Tm1,1.000000,5.481542,-1.473870,0.591470,0.589820,15.954760,957.472845,0.000000,1.000000
24,Tm2,1.000000,2.206694,-2.243371,1.157809,0.952108,10.000000,928.380363,0.000000,1.000000
25,Tm20,1.000000,8.892742,4.241715,1.042246,-0.094374,66.580462,979.893894,0.000000,1.000000
26,Tm21,1.000000,8.664752,6.735158,0.991001,-0.154021,63.476425,1022.728968,0.000000,1.000000
27,Tm3,1.000000,4.896324,0.903345,0.373150,-1.269215,22.407461,1042.695910,0.000000,1.000000
28,Tm4,1.000000,7.852041,3.609952,0.336788,0.774768,10.000000,949.688046,0.000000,1.000000
29,Tm9,1.000000,0.738870,3.029578,0.711957,0.358880,33.941235,946.712097,0.000000,1.000000
30,C2,1.000000,0.657714,0.660703,1.034349,-0.283048,21.906120,964.868826,0.000000,1.000000
31,C3,1.000000,5.172070,-0.094503,1.049271,-0.233549,62.059900,1031.182389,0.000000,1.000000
32,Lawf1,1.000000,0.100000,-0.819971,1.012345,-0.413585,48.202305,999.763612,0.000000,1.000000
33,Lawf2,1.000000,10.000000,0.067938,1.023794,0.165946,79.256580,1034.463445,0.000000,1.000000
