idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,10.000000,-0.283342,0.968263,-0.412143,10.000000,498.733992,0.000000,1.000000
1,R7,1.000000,10.000000,-0.000004,0.981933,0.460265,10.000000,200.873303,0.000000,1.000000
2,R8,1.000000,9.508374,-0.000003,0.953650,-0.404584,100.000000,1100.000000,0.000000,0.993803
3,L1,1.000000,10.000000,18.278318,1.862356,0.409116,10.000000,1100.000000,0.000000,0.757507
4,L2,1.000000,10.000000,20.000000,2.118891,0.634914,10.000000,1100.000000,0.000000,0.946459
5,L3,1.000000,10.000000,3.202384,0.824596,-1.461136,100.000000,1100.000000,0.000000,1.000000
6,L4,1.000000,4.795220,5.038185,0.856020,0.345225,10.000000,1010.837189,0.000000,0.471873
7,L5,1.000000,2.046259,20.000000,1.109062,-0.131482,12.577851,146.775909,0.000000,0.101589
8,Mi1,1.000000,3.958465,-3.147391,2.086421,-0.340977,13.966776,1100.000000,0.000000,0.980846
9,Mi4,1.000000,7.253906,-2.230044,1.364516,1.509828,10.000000,1100.000000,0.000000,0.924186
10,Mi9,1.000000,10.000000,3.368152,1.777372,-0.563870,25.960643,1100.000000,0.000000,1.000000
11,T1,1.000000,0.100000,-0.826513,0.950393,-0.039444,50.785009,1008.701817,0.000000,0.010000
12,T2,1.000000,1.001756,-0.545354,0.974155,-0.040411,49.958478,997.247714,0.000000,0.080637
13,T2a,1.000000,10.000000,0.494081,0.950412,-0.177472,10.000000,177.305378,0.000000,1.000000
14,T3,1.000000,9.259405,3.892919,1.001930,-0.451334,100.000000,1100.000000,0.000000,0.837297
15,T4a,1.000000,8.457081,0.583413,0.977267,-0.447509,10.000000,229.946012,0.000000,0.985892
16,T4b,1.000000,10.000000,0.282295,1.009331,0.233163,10.000000,290.928799,0.000000,1.000000
17,T4c,1.000000,10.000000,0.335311,1.042226,0.098106,10.000000,343.501827,0.000000,1.000000
18,T4d,1.000000,0.888292,-0.822127,0.988651,-0.151834,50.721234,1003.047873,0.000000,0.010000
19,T5a,1.000000,10.000000,6.696651,1.010935,-0.101574,10.000000,747.156200,0.000000,1.000000
20,T5b,1.000000,0.100000,0.029781,1.007302,-0.329967,51.794774,998.743529,0.000000,0.010000
21,T5c,1.000000,9.718277,14.668510,0.987741,0.297413,13.390556,374.922593,0.000000,0.781797
22,T5d,1.000000,6.910690,12.412401,1.021567,-0.368322,10.000000,1100.000000,0.000000,0.835055
23,Tm1,1.000000,2.555020,2.465912,1.398613,0.581315,20.463184,1100.000000,0.000000,1.000000
24,Tm2,1.000000,3.392330,2.090132,0.666523,0.183769,10.000000,112.069806,0.000000,0.983017
25,Tm20,1.000000,0.920447,-0.865825,0.994652,-0.377985,47.890232,993.225662,0.000000,0.010000
26,Tm21,1.000000,0.770459,-0.924106,1.016849,-0.121035,50.279464,992.361837,0.000000,0.010000
27,Tm3,1.000000,4.596880,0.450891,0.246210,-0.362259,10.000000,241.408955,0.000000,0.996075
28,Tm4,1.000000,7.834503,20.000000,0.864968,0.790134,10.000000,334.330518,0.000000,0.577903
29,Tm9,1.000000,0.100000,-4.923128,0.756393,0.425224,34.348649,1100.000000,0.000000,0.989981
30,C2,1.000000,0.440260,-0.818413,1.041125,-0.460045,49.962693,1005.329406,0.000000,0.010000
31,C3,1.000000,0.388039,-0.595366,0.964206,-0.486477,48.490647,1004.316708,0.000000,0.010000
32,Lawf1,1.000000,0.737381,-0.842855,1.030782,0.423729,48.816899,1009.637435,0.000000,0.010000
33,Lawf2,1.000000,0.831635,-0.837269,0.964028,0.113468,51.860612,1001.805370,0.000000,0.010000
