,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,1.428303,0.818405,0.715981,0.100000,,,,,0.100000,,,,,,,,,,,,,,,,,,,1.167192,0.971356,,
R7,,,5.577687,10.000000,,5.694334,,,0.100000,0.100000,10.000000,,,,,,,,,,,,,,,10.000000,,,,,,1.011417,0.992062,
R8,,1.040891,0.100000,10.000000,0.100000,2.404274,,2.716617,0.100000,0.100000,4.613834,0.264618,,,,,,,,,,,,,,10.000000,0.984047,,,,0.100000,1.033448,0.100000,0.100000
L1,0.100000,0.100000,0.100000,0.100000,2.899320,5.161532,0.100000,5.133722,5.637272,0.100000,,1.751581,0.984038,10.000000,,,,,,,,,,0.100000,7.181592,,,9.265917,,,0.819131,0.496601,,9.196908
L2,10.000000,,10.000000,8.911027,2.757071,0.100000,5.826705,0.100000,0.100000,0.342511,0.100000,0.100000,1.033187,0.978481,,,,,,,,,,0.876772,0.696188,0.100000,,0.100000,2.825743,,1.380709,0.995448,,
L3,,9.949790,10.000000,0.100000,0.100000,,,,10.000000,0.100000,1.469642,0.102480,,,,,,,,,,,,0.100000,10.000000,0.100000,1.018842,,10.000000,0.100000,1.030401,1.026147,0.100000,
L4,9.035865,,,2.900599,5.422800,0.100000,0.100000,0.992705,0.100000,,0.100000,,0.986118,,,,,,,,,,,0.100000,4.190667,,,,0.100000,10.000000,,0.951817,0.100000,0.100000
L5,,,,10.000000,2.910040,,,10.000000,0.100000,0.100000,0.107792,0.986255,0.458874,0.100000,,,,,,,,,,0.100000,0.100000,1.054342,0.697122,0.100000,0.100000,,0.100000,1.012728,1.016873,0.100000
Mi1,,0.100000,10.000000,1.929543,0.100000,,,0.100000,2.123596,10.000000,0.100000,1.019450,0.265288,5.377029,1.165278,0.435386,1.230959,0.353361,0.440261,,,,,0.100000,1.327407,10.000000,0.510613,0.100000,0.100000,,0.100000,0.737878,10.000000,4.478597
Mi4,,,,,0.100000,6.002972,,0.100000,0.100000,10.000000,0.712771,0.953485,,10.000000,,1.022397,0.100000,0.870795,10.000000,,,,,1.234583,0.100000,4.680125,,2.438554,10.000000,6.302747,1.021444,1.035997,0.100000,0.100000
Mi9,,,,,,4.365308,0.100000,,0.100000,3.765298,,,0.957588,10.000000,0.100000,1.045561,3.165795,1.402711,0.100000,,,,,0.874381,2.911378,10.000000,0.953986,3.789882,3.104150,5.639136,0.989795,,3.963765,6.757702
T1,0.966971,0.959500,0.951249,,0.100000,0.100000,,0.100000,,,0.100000,,,,,,,,,,,,,2.144497,2.126671,0.100000,,,2.268386,,,,,
T2,,,,,,,,0.958691,0.915134,,0.973912,,0.964165,0.989671,0.970873,,,,,,,,,0.997909,0.964563,,0.953706,0.951157,1.011515,,,,,0.982708
T2a,,,,,,,,,2.662507,,,,1.007121,10.000000,10.000000,,,,,,,,,0.100000,,1.704252,1.019985,0.100000,7.745273,,1.033264,,,10.000000
T3,,,,,,,,,,,,,1.047849,0.963378,0.955722,,,,0.954506,,,,,0.100000,,,0.960892,0.851510,,,,0.982531,,9.847674
T4a,,,,,,,,,,,0.577628,,,,,1.039478,0.992819,0.952753,1.019301,0.988079,,,,,,,,,,,,0.973111,,
T4b,,,,,,,,,8.786155,1.299884,4.723976,,,,,1.036186,1.943022,,1.009576,,1.009354,,,,,,,,,,,,,
T4c,,,,,,,,,,,6.399090,,0.961814,,,,,6.512878,,,,1.046409,0.955054,,,,,,,,,,,
T4d,,,,,,,,,4.332870,,,,,,,,,1.019984,9.642789,,,,1.005291,,,,,,,,,,,
T5a,,,,,,,,,,,,,1.039184,,,0.975575,,,,1.033114,1.006968,,,,10.000000,,,,,,,,,
T5b,,,,,,,,,,,,,0.964194,,,,0.100000,,,0.985304,1.015846,,,,,,,,,,,,,
T5c,,,,,,,,,,,,,1.011224,,,,,0.100000,,,1.007919,8.634229,0.957715,,,,,,,,,,,
