idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,10.000000,-0.294885,0.997855,0.256230,10.000000,559.957278,0.000000,1.000000
1,R7,1.000000,10.000000,-0.000033,0.978516,-0.164004,100.000000,1100.000000,0.000000,1.000000
2,R8,1.000000,10.000000,-0.220660,1.004159,-0.366786,10.000000,1100.000000,0.000000,1.000000
3,L1,1.000000,4.223148,15.647828,0.786951,0.177529,27.319093,944.378846,0.000000,0.394632
4,L2,1.000000,10.000000,20.000000,1.916282,0.599713,10.000000,1100.000000,0.000000,0.878200
5,L3,1.000000,1.660480,20.000000,0.667663,-0.829205,60.406746,1100.000000,0.000000,0.933019
6,L4,1.000000,5.534105,5.523045,0.945868,0.392697,10.000000,1100.000000,0.000000,0.486380
7,L5,1.000000,10.000000,-20.000000,1.630728,-0.157164,10.000000,183.770423,0.000000,0.951714
8,Mi1,1.000000,3.345922,-3.795432,2.818640,-0.430826,10.000000,1100.000000,0.000000,1.000000
9,Mi4,1.000000,10.000000,-1.904958,1.953541,2.087647,10.000000,1100.000000,0.000000,1.000000
10,Mi9,1.000000,7.585414,5.132212,1.002436,-0.311702,22.860478,1100.000000,0.000000,0.774042
11,T1,1.000000,0.100000,-1.152165,1.012230,-0.225769,48.757228,1009.137453,0.000000,0.010000
12,T2,1.000000,0.927087,-1.171526,1.027936,-0.219884,50.032045,995.835949,0.000000,0.010000
13,T2a,1.000000,10.000000,3.057322,0.982925,0.102146,10.000000,218.729866,0.000000,1.000000
14,T3,1.000000,8.329171,0.626463,1.040982,0.158285,10.000000,100.000000,0.000000,0.852223
15,T4a,1.000000,0.537518,-0.877982,0.979060,-0.357693,49.926566,1004.358707,0.000000,0.010000
16,T4b,1.000000,3.811481,0.952852,0.958713,0.011335,10.000000,326.299474,0.000000,0.974984
17,T4c,1.000000,7.711670,0.262238,0.988681,0.167995,10.000000,162.709480,0.000000,0.999913
18,T4d,1.000000,10.000000,9.879813,1.011130,0.042308,10.000000,100.000000,0.000000,1.000000
19,T5a,1.000000,10.000000,8.952258,1.014142,0.330204,10.000000,1100.000000,0.000000,1.000000
20,T5b,1.000000,0.100000,0.357699,1.029067,-0.460558,47.891658,999.812967,0.000000,0.010000
21,T5c,1.000000,0.100000,0.972826,1.036968,-0.294229,11.871906,967.354163,0.000000,0.010000
22,T5d,1.000000,9.960879,15.753758,0.960378,-0.339860,100.000000,1100.000000,0.000000,0.963048
23,Tm1,1.000000,2.831790,-1.703168,1.892385,0.799515,20.968228,1100.000000,0.000000,0.996617
24,Tm2,1.000000,2.499167,3.448423,1.150357,0.303028,10.000000,118.335278,0.000000,0.999954
25,Tm20,1.000000,5.807013,7.806538,0.990437,0.424979,100.000000,1100.000000,0.000000,0.559634
26,Tm21,1.000000,0.979483,-1.008991,1.020201,0.184532,47.900291,992.241369,0.000000,0.010000
27,Tm3,1.000000,4.801233,1.286821,0.971714,-1.235088,10.000000,236.533229,0.000000,0.994637
28,Tm4,1.000000,5.825322,20.000000,1.070336,0.946719,10.000000,384.624383,0.000000,0.691302
29,Tm9,1.000000,7.257936,9.738819,1.704417,0.975418,58.377037,1100.000000,0.000000,1.000000
30,C2,1.000000,0.833453,-0.919427,1.033263,-0.471647,51.896401,1003.819557,0.000000,0.166893
31,C3,1.000000,0.727628,-0.615376,0.996866,-0.076087,51.768355,1004.855171,0.000000,0.010000
32,Lawf1,1.000000,10.000000,0.814533,1.001789,0.307160,10.000000,100.000000,0.000000,1.000000
33,Lawf2,1.000000,10.000000,0.966190,0.961095,0.332954,10.000000,180.502013,0.000000,1.000000
