idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,3.747681,-0.017113,1.018217,-0.233036,11.452714,983.135914,0.000000,1.000000
1,R7,1.000000,8.461341,-0.021256,0.962237,0.397942,59.549368,1038.710605,0.000000,0.978354
2,R8,1.000000,7.994551,-0.102919,1.032691,-0.269582,23.975626,985.532572,0.000000,0.814234
3,L1,1.000000,6.678535,6.901363,0.366464,0.086215,30.389524,232.748125,0.000000,0.453298
4,L2,1.000000,10.000000,16.667043,1.366383,0.494838,10.000000,210.347502,0.000000,0.991376
5,L3,1.000000,4.921325,6.332389,0.252106,-0.256734,35.441068,1056.561557,0.000000,0.503302
6,L4,1.000000,10.000000,-4.081709,0.486354,0.250506,10.000000,220.805898,0.000000,0.493679
7,L5,1.000000,10.000000,-9.047996,0.850333,-0.066036,10.000000,175.575795,0.000000,0.860747
8,Mi1,1.000000,5.595312,-1.194831,1.121144,-0.168898,10.000000,1036.173965,0.000000,0.554923
9,Mi4,1.000000,8.461894,0.011461,0.981548,1.135889,15.037032,1072.953591,0.000000,0.993265
10,Mi9,1.000000,5.518874,6.686525,0.521540,-0.172578,14.103002,1065.462142,0.000000,0.388240
11,T1,1.000000,0.277796,-1.178921,1.028436,0.069335,50.422444,992.107563,0.000000,0.010000
12,T2,1.000000,6.941735,2.275171,1.045378,-0.090964,10.000000,952.581107,0.000000,0.952463
13,T2a,1.000000,0.665927,-0.919640,0.997701,-0.084649,49.647737,991.074933,0.000000,0.010000
14,T3,1.000000,10.000000,14.744436,0.955549,0.196153,81.147850,1032.702829,0.000000,1.000000
15,T4a,1.000000,1.008223,-0.645895,1.005784,-0.240911,48.773150,992.741899,0.000000,0.021371
16,T4b,1.000000,0.952472,-0.743432,0.960940,-0.049678,49.699376,999.363696,0.000000,0.047332
17,T4c,1.000000,0.894072,-0.648089,0.963956,0.107580,51.268546,992.173420,0.000000,0.010000
18,T4d,1.000000,10.000000,7.630327,1.042539,0.396908,10.000000,961.295874,0.000000,1.000000
19,T5a,1.000000,7.338204,3.690128,1.032868,0.365841,10.000000,965.395103,0.000000,0.585835
20,T5b,1.000000,0.100000,0.238299,0.953978,0.256599,47.741562,993.404001,0.000000,0.010000
21,T5c,1.000000,0.999963,-0.783753,1.036419,0.476049,49.547844,991.831474,0.000000,0.144797
22,T5d,1.000000,1.003721,-0.746724,1.017353,0.352178,51.354970,999.510116,0.000000,0.120007
23,Tm1,1.000000,5.470770,-0.022966,1.449048,0.557089,16.813635,1019.174845,0.000000,0.828453
24,Tm2,1.000000,6.584102,-0.160552,0.919170,0.132660,10.000000,956.609942,0.000000,0.984085
25,Tm20,1.000000,0.971124,-0.561628,1.019404,-0.160766,50.871833,995.298747,0.000000,0.159405
26,Tm21,1.000000,0.984927,-0.731908,1.006440,-0.252147,49.566451,993.284608,0.000000,0.224200
27,Tm3,1.000000,5.026853,1.894690,0.294956,-0.294668,10.000000,945.159427,0.000000,0.645179
28,Tm4,1.000000,10.000000,9.911794,0.487255,0.404952,10.000000,969.952331,0.000000,0.486020
29,Tm9,1.000000,0.100000,-4.617391,1.524770,0.846198,34.550255,1069.181814,0.000000,0.985139
30,C2,1.000000,0.881994,-0.929664,0.976270,0.157313,48.513276,999.632675,0.000000,0.010000
31,C3,1.000000,0.484333,-0.778122,1.013998,-0.240220,50.817873,1009.519158,0.000000,0.010000
32,Lawf1,1.000000,10.000000,0.498030,1.027409,-0.481306,10.000000,943.984320,0.000000,1.000000
33,Lawf2,1.000000,10.000000,0.562783,1.031461,0.056076,10.000000,941.250539,0.000000,1.000000
