,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,2.650518,2.219849,1.183308,0.100000,,,,,1.181632,,,,,,,,,,,,,,,,,,,1.018453,1.011771,,
R7,,,1.644764,8.426278,,2.515895,,,0.100000,0.100000,10.000000,,,,,,,,,,,,,,,1.012802,,,,,,0.966200,0.100000,
R8,,0.233407,0.100000,10.000000,0.100000,1.751710,,0.100000,0.100000,0.100000,9.225993,0.642938,,,,,,,,,,,,,,0.939498,0.965079,,,,1.005597,0.950205,0.100000,1.013789
L1,0.100000,0.100000,0.100000,0.100000,9.710188,5.545951,0.100000,5.332225,7.271677,0.100000,,2.370752,1.001796,10.000000,,,,,,,,,,0.100000,3.809801,,,7.006086,,,0.445771,0.420491,,0.987777
L2,10.000000,,0.100000,1.299225,4.275997,0.100000,7.906752,0.474969,0.100000,0.100000,0.100000,0.319332,0.995290,0.989578,,,,,,,,,,1.461122,0.320084,0.733868,,0.100000,2.502386,,1.032979,1.518567,,
L3,,10.000000,9.817752,0.100000,0.100000,,,,10.000000,0.100000,1.176526,0.243585,,,,,,,,,,,,0.100000,10.000000,0.976905,0.996800,,10.000000,0.100000,1.030797,1.014125,0.100000,
L4,10.000000,,,10.000000,4.756078,0.100000,7.941540,9.928443,0.100000,,0.100000,,0.992281,,,,,,,,,,,6.304003,4.037924,,,,0.100000,8.726588,,0.995336,0.100000,0.960048
L5,,,,7.761334,4.859562,,,0.100000,0.100000,0.403659,1.382999,2.314103,1.033123,0.100000,,,,,,,,,,0.100000,0.100000,0.988125,10.000000,0.100000,0.100000,,1.001785,0.495262,10.000000,1.034833
Mi1,,0.100000,10.000000,2.582286,0.100000,,,0.100000,1.804617,10.000000,0.100000,2.740127,1.077359,1.799853,0.100000,0.483642,0.672408,0.547618,0.630701,,,,,0.100000,2.671414,0.967935,6.021647,0.100000,0.100000,,0.774191,0.499922,3.982946,1.327300
Mi4,,,,,0.100000,7.748103,,0.100000,0.100000,10.000000,1.452069,0.975577,,1.018410,,0.966404,0.100000,2.763100,0.950610,,,,,9.874470,0.100000,0.997018,,3.315272,10.000000,7.196503,1.005774,0.973549,0.100000,0.978602
Mi9,,,,,,10.000000,7.710568,,2.724239,0.775889,,,1.024253,4.328382,0.733913,0.946012,0.746027,2.058340,0.995604,,,,,2.889842,10.000000,0.989635,0.100000,0.100000,8.947032,0.100000,1.038598,,2.564565,0.973876
