idx,cell,in_gain,out_gain,bias,gt_scale,gt_bias,tau_lp,tau_hp,v_rest,hp_gain
0,R1-6,1.000000,2.002648,-0.068249,1.012985,-0.208896,19.495517,1007.104556,0.000000,1.000000
1,R7,1.000000,7.789855,0.001380,1.047740,0.122965,10.000000,1045.488279,0.000000,1.000000
2,R8,1.000000,6.903523,1.659334,0.971316,-0.454437,21.887903,940.761657,0.000000,0.972152
3,L1,1.000000,9.668142,0.337603,1.004472,0.096748,10.000000,153.140838,0.000000,1.000000
4,L2,1.000000,0.371844,-0.814584,1.003163,-0.396140,49.964158,202.635151,0.000000,0.010000
5,L3,1.000000,0.100000,7.700131,0.263561,-0.391919,46.140020,1051.743098,0.000000,1.000000
6,L4,1.000000,1.018409,-0.293128,1.022127,-0.019197,51.480677,199.176857,0.000000,0.496092
7,L5,1.000000,0.542308,-0.698029,0.964107,-0.421493,47.614376,194.649527,0.000000,0.010000
8,Mi1,1.000000,0.545433,-0.960966,1.013116,-0.023566,49.196488,1002.668933,0.000000,0.010000
9,Mi4,1.000000,10.000000,20.000000,0.970060,-0.205728,10.000000,943.227708,0.000000,1.000000
10,Mi9,1.000000,10.000000,6.860419,1.027062,0.132366,10.000000,967.113075,0.000000,1.000000
11,T1,1.000000,0.407827,-0.600712,1.008921,-0.293671,52.789894,999.408137,0.000000,0.010000
12,T2,1.000000,10.000000,-0.010156,0.953360,0.069417,93.215972,1074.384715,0.000000,1.000000
13,T2a,1.000000,0.936650,-0.878846,1.017251,-0.386451,51.504735,1009.821577,0.000000,0.010000
14,T3,1.000000,0.970433,-0.797077,0.951172,-0.388098,50.880065,1000.945554,0.000000,0.010000
15,T4a,1.000000,10.000000,-4.759187,0.971531,0.476623,63.467656,1025.763904,0.000000,1.000000
16,T4b,1.000000,0.100000,0.107589,1.040062,-0.010883,51.814095,1007.775143,0.000000,0.010000
17,T4c,1.000000,0.100000,0.094389,0.990330,0.146344,52.533982,990.960029,0.000000,0.010000
18,T4d,1.000000,0.998057,0.392733,1.046672,0.212155,50.846854,990.314564,0.000000,0.513771
19,T5a,1.000000,0.965257,-0.481841,0.999517,0.312179,50.243438,1004.666280,0.000000,0.523849
20,T5b,1.000000,10.000000,0.557246,1.019739,0.227624,96.282238,1039.901685,0.000000,1.000000
21,T5c,1.000000,0.978434,-0.306519,1.001804,0.149107,49.551933,991.711661,0.000000,0.480532
22,T5d,1.000000,0.942430,0.187887,0.970421,-0.249776,48.150810,997.855333,0.000000,0.345499
23,Tm1,1.000000,10.000000,1.764128,0.996500,0.494177,24.900877,1056.586802,0.000000,1.000000
24,Tm2,1.000000,10.000000,0.905542,0.988645,-0.114187,32.357240,1045.351112,0.000000,1.000000
25,Tm20,1.000000,0.946683,-0.996378,0.962810,0.254562,51.589469,1005.940758,0.000000,0.010000
26,Tm21,1.000000,0.100000,0.406490,0.957791,0.346013,49.658121,1005.220783,0.000000,0.010000
27,Tm3,1.000000,9.101038,4.770574,0.989922,-0.367818,10.000000,986.446805,0.000000,0.923529
28,Tm4,1.000000,10.000000,2.062269,1.003890,-0.203377,10.000000,1039.960305,0.000000,1.000000
29,Tm9,1.000000,0.717325,-1.543632,1.040340,0.011352,49.116075,995.158618,0.000000,0.010000
30,C2,1.000000,0.271520,-1.177970,1.006083,0.071114,51.433576,993.060659,0.000000,0.010000
31,C3,1.000000,0.350246,-1.103583,1.009550,0.072630,52.888245,1001.612648,0.000000,0.010000
32,Lawf1,1.000000,10.000000,0.292016,1.009081,-0.068419,10.000000,951.105501,0.000000,1.000000
33,Lawf2,1.000000,1.019938,-1.135617,0.984805,-0.298850,51.853976,996.308779,0.000000,0.010000
