,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Mi4,Mi9,T1,T2,T2a,T3,T4a,T4b,T4c,T4d,T5a,T5b,T5c,T5d,Tm1,Tm2,Tm20,Tm21,Tm3,Tm4,Tm9,C2,C3,Lawf1,Lawf2
R1-6,10.000000,,,10.000000,0.332480,0.921798,0.950360,,,,,0.375774,,,,,,,,,,,,,,,,,,,1.724080,1.171898,,
R7,,,2.075799,10.000000,,3.357963,,,0.963377,10.000000,10.000000,,,,,,,,,,,,,,,1.016369,,,,,,1.011994,0.978742,
R8,,6.472440,0.100000,10.000000,0.742000,0.898942,,0.967363,1.338478,1.113911,8.489693,1.021686,,,,,,,,,,,,,,0.981455,0.989705,,,,1.692602,1.445791,0.100000,1.008307
L1,0.100000,0.100000,10.000000,0.100000,1.387970,0.199512,0.950515,0.428483,0.431241,0.100000,,1.022764,1.002846,0.982973,,,,,,,,,,10.000000,0.100000,,,10.000000,,,0.309837,0.272092,,1.037283
L2,0.969738,,0.965823,1.150785,0.988215,0.338902,0.973059,1.041626,0.997381,1.019232,0.990505,0.425045,0.999100,0.988026,,,,,,,,,,0.970549,0.920360,1.026070,,0.971525,1.044803,,1.016217,1.036003,,
L3,,10.000000,0.100000,10.000000,0.907803,,,,1.507426,10.000000,0.100000,0.774408,,,,,,,,,,,,0.100000,1.019708,0.499027,1.040224,,0.970358,1.675059,1.033608,1.716848,0.100000,
L4,1.015796,,,1.015749,1.005387,1.019045,1.010595,1.043287,0.975399,,1.000865,,0.982676,,,,,,,,,,,0.999902,0.992738,,,,1.047703,0.955682,,1.026406,0.996779,0.978216
L5,,,,0.619492,1.019336,,,0.984569,1.018457,0.999689,0.950558,0.997993,0.975410,1.003165,,,,,,,,,,0.989903,0.983480,1.032011,0.954628,1.026940,0.954094,,1.021872,1.038060,1.041849,0.962134
Mi1,,0.991967,0.950601,0.754512,0.952011,,,1.042619,0.959282,0.960223,1.296809,0.956606,0.965827,1.047661,1.005812,0.958654,0.950273,1.003957,1.040062,,,,,1.017031,1.000709,0.981196,0.990119,0.549271,1.049661,,1.018439,1.027916,0.981703,0.965152
Mi4,,,,,1.012333,0.100000,,0.966127,1.045877,0.100000,0.100000,1.018105,,0.980039,,0.937732,0.100000,0.100000,1.045074,,,,,0.100000,10.000000,1.034399,,0.100000,0.100000,0.100000,0.994472,1.027149,10.000000,0.965601
Mi9,,,,,,0.100000,0.989922,,1.042450,0.100000,,,0.953075,0.824267,0.956287,9.240547,0.100000,0.100000,0.992091,,,,,10.000000,10.000000,1.001994,0.100000,0.100000,10.000000,1.012662,0.945843,,8.934334,1.037869
T1,0.971455,1.033899,0.964837,,0.759562,0.425983,,0.972651,,,1.005654,,,,,,,,,,,,,0.985378,0.995517,0.966522,,,1.038050,,,,,
T2,,,,,,,,1.002476,0.977471,,10.000000,,1.001979,0.982442,0.953704,,,,,,,,,10.000000,10.000000,,0.862713,0.100000,10.000000,,,,,1.017744
