,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,1.938145,1.940276,1.583180,0.100000,,,,,,,,,,,,,,,,,,0.100000,,,,1.652630,0.100000,,,,1.255052,,,,,,,,,,,,,,,,,,,,,,
R7,,,6.825531,8.747665,,3.743830,,,0.100000,,0.100000,7.061893,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,9.612775,1.024812,,,0.855122,0.100000,,10.000000,,0.100000,1.099935,1.248531,0.100000,1.046648,,,,,,,,,
R8,,2.826120,0.424667,9.359630,0.100000,2.941089,,0.100000,0.100000,,0.100000,7.262605,,,,,,,,,,,,,0.918655,,,,1.688734,0.100000,0.100000,0.963966,,,1.030973,,1.023160,2.185693,0.100000,,10.000000,10.000000,,,1.182352,0.100000,,1.869981,,0.100000,,,,,0.975194,
L1,0.100000,0.208768,0.100000,0.100000,1.574616,0.646349,10.000000,4.727499,7.674563,3.691527,0.135791,,,,,,0.100000,0.100000,,,,,,,3.655398,10.000000,10.000000,,0.175414,0.100000,,6.762096,,0.100000,,,,0.950948,9.843955,,,,4.594829,,,,,,,,,8.411323,,,,
L2,10.000000,,0.100000,1.813146,10.000000,0.155596,6.286408,0.100000,0.100000,0.100000,0.100000,0.100000,,,,,1.485943,1.151658,3.871481,,,,,,0.100000,3.322056,10.000000,,0.100000,2.863503,,,,9.982497,,1.451720,0.512326,,0.100000,,0.100000,,,,0.953692,,,,,,,9.099996,,,,
L3,,0.100000,10.000000,0.100000,0.100000,,,,3.659117,,0.100000,0.885604,,,,,0.100000,10.000000,10.000000,0.100000,,,,,4.837011,,,,1.564646,3.017767,0.100000,,0.100000,,1.016536,0.100000,,1.019600,9.661438,1.024389,0.100000,0.955475,0.410139,0.999689,1.015964,10.000000,1.024231,1.768283,,,,,1.026389,,1.108520,1.002794
L4,5.521551,,,0.829435,8.524169,0.100000,0.100000,0.281899,0.100000,,,0.100000,,,,,0.100000,0.100000,0.100000,4.180399,,,,,,9.054579,,,,0.100000,0.100000,0.984370,,,,0.100000,0.979759,,,,,,10.000000,,,,,,,,,3.285147,,,,
L5,,,,7.336437,8.091690,,,7.433752,0.100000,0.100000,0.100000,0.183934,,,,,0.100000,0.100000,0.100000,,,,,,10.000000,4.811579,0.100000,,0.100000,0.100000,1.043657,0.836896,,10.000000,1.041189,0.100000,0.993723,0.976300,8.707835,,0.100000,10.000000,0.100000,,0.961878,,,,0.961863,2.554236,7.546134,10.000000,,10.000000,,
Mi1,,2.552741,10.000000,0.904707,0.100000,,,0.100000,1.798887,0.100000,10.000000,0.100000,0.100000,0.965104,0.100000,4.084575,0.100000,0.100000,0.100000,,,,,,0.100000,0.100000,1.702270,0.100000,0.100000,0.100000,2.267164,10.000000,0.100000,,0.980422,2.805434,0.952976,0.100000,10.000000,,2.799997,10.000000,10.000000,,,10.000000,,0.695986,1.021483,0.100000,2.767416,0.100000,0.100000,0.100000,0.100000,0.608085
Tm3,,,,0.100000,0.100000,,,,3.599994,5.001884,0.100000,3.500727,0.355747,9.267917,0.568869,4.329710,,,0.100000,,,0.994185,,1.021566,,7.825770,10.000000,0.100000,0.976141,10.000000,9.510263,7.347788,,,1.009481,0.100000,0.254758,,,1.024529,,,0.100000,,,,1.006237,,0.994459,10.000000,10.000000,1.825249,,2.573896,,
