idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow
0,R1-6,1.000000,3.112297,-6.113298,1.026339,-0.069627,26.385869,209.142761,0.000000,0.696879
1,R7,1.000000,7.303577,-10.623801,0.981926,0.242508,71.767426,222.517737,0.000000,0.984495
2,R8,1.000000,3.144177,-3.611695,1.024855,0.415225,10.000000,243.223163,0.000000,0.782537
3,L1,1.000000,4.477409,2.180519,0.581698,0.324517,27.574384,218.243260,0.000000,0.484838
4,L2,1.000000,4.926127,2.776302,2.264916,-2.507082,57.908944,230.292961,0.000000,0.256419
5,L3,1.000000,10.000000,0.995430,1.811284,-5.251852,97.809535,207.488423,0.000000,0.000000
6,L4,1.000000,3.334430,0.594002,0.229541,0.267051,54.858505,247.816926,0.000000,0.865955
7,L5,1.000000,8.261672,1.871061,1.317771,-4.795052,10.000000,195.993311,0.000000,0.403077
8,Mi1,1.000000,4.832297,0.521813,0.539051,-0.175131,77.859064,217.222737,0.000000,0.972464
9,Tm3,1.000000,4.944024,0.869502,0.223801,-0.856103,44.073387,229.829039,0.000000,0.857908
10,Mi4,1.000000,10.000000,-1.738028,0.631759,1.062321,79.927160,202.992990,0.000000,0.000000
11,Mi9,1.000000,3.418053,3.929430,0.471940,-0.203262,99.763067,255.928496,0.000000,1.000000
12,T4a,1.000000,4.171565,3.327378,1.049798,0.403534,59.891630,210.668901,0.000000,0.063320
13,T4b,1.000000,2.835182,0.707018,0.958898,0.232150,57.615063,208.939665,0.000000,0.000000
14,T4c,1.000000,0.890162,-1.777008,1.011419,0.271436,50.086042,190.754437,0.000000,0.898637
15,T4d,1.000000,9.709693,0.272415,0.965827,-0.428964,31.408110,196.193731,0.000000,0.850000
16,Tm1,1.000000,2.803939,0.268054,0.791981,0.875962,62.319892,218.050645,0.000000,0.713083
17,Tm2,1.000000,2.130074,-1.887250,0.800552,0.294538,20.949616,192.441660,0.000000,0.989962
18,Tm4,1.000000,9.670033,-2.941516,0.367537,0.690042,46.548094,217.504264,0.000000,0.884809
19,Tm9,1.000000,10.000000,1.171781,0.955994,1.053228,74.049018,217.295563,0.000000,0.042862
20,T5a,1.000000,0.100000,-0.830145,1.044571,-0.424476,49.391278,198.128449,0.000000,1.000000
21,T5b,1.000000,6.225196,5.692124,0.961379,-0.027088,52.440856,170.700255,0.000000,0.000000
22,T5c,1.000000,9.634053,12.913444,1.018821,0.194934,22.274602,221.556483,0.000000,0.104791
23,T5d,1.000000,8.205398,9.344219,0.995223,0.303939,13.642580,168.103181,0.000000,0.000000
24,T1,1.000000,4.236262,1.868038,0.955757,0.157647,69.941442,210.408823,0.000000,0.000000
25,T2,1.000000,5.658351,2.364775,0.958833,0.268665,57.327373,202.418736,0.000000,0.000000
26,T2a,1.000000,0.641265,-1.572719,1.013597,0.053622,50.980145,197.640141,0.000000,1.000000
27,T3,1.000000,4.825050,4.969958,0.978918,0.240864,86.688217,194.454986,0.000000,0.000000
28,C2,1.000000,3.404301,0.647594,1.023339,-0.327367,61.648308,209.771906,0.000000,0.241330
29,C3,1.000000,7.342108,0.151729,0.980256,-0.213066,65.277306,216.177151,0.000000,1.000000
30,Lawf1,1.000000,2.921780,-1.422098,1.033288,-0.161555,61.062587,218.756387,0.000000,0.342903
31,Lawf2,1.000000,9.273420,0.617617,0.987819,-0.371785,41.172663,213.116377,0.000000,0.636904
32,Dm3v,1.000000,9.995925,-0.850947,1.003697,-0.169709,85.199289,200.837443,0.000000,0.000000
33,Lai,1.000000,3.247203,-0.703029,1.005972,0.242118,43.372720,200.986844,0.000000,0.000000
34,Mi10,1.000000,7.034873,1.470386,1.034640,-0.349023,57.004113,212.852670,0.000000,0.443913
35,Mi13,1.000000,9.130610,1.076072,0.969931,0.277616,32.018739,191.381365,0.000000,0.410720
36,Mi14,1.000000,10.000000,-0.421756,1.005609,-0.476896,37.285946,218.213999,0.000000,0.191688
37,Mi15,1.000000,0.100000,-0.492341,1.013398,0.202276,50.896042,193.085197,0.000000,0.000230
38,Mi2,1.000000,10.000000,0.101944,0.955336,-0.201474,42.627792,204.454162,0.000000,0.000000
39,Tm16,1.000000,3.975390,0.221608,1.046283,-0.323320,10.000000,146.606647,0.000000,1.000000
40,Tm20,1.000000,6.895180,2.850433,0.963688,-0.229704,100.000000,199.621614,0.000000,0.000000
41,Tm21,1.000000,10.000000,13.129218,0.999825,0.007900,57.161608,207.634463,0.000000,1.000000
42,Tm27,1.000000,4.381330,1.835964,0.951580,-0.129073,73.671362,218.902355,0.000000,0.028253
43,Tm5a,1.000000,9.897813,2.490538,1.030556,-0.467847,73.966318,198.417079,0.000000,0.000000
44,Tm5b,1.000000,0.100000,-1.725521,0.993182,0.221763,48.229766,196.649793,0.000000,1.000000
45,Tm5c,1.000000,0.894802,-1.251040,0.977975,0.428222,47.987214,193.085249,0.000000,0.744950
46,Tm5f,1.000000,9.825086,5.845690,1.002476,-0.208496,60.708011,220.249037,0.000000,1.000000
47,TmY10,1.000000,9.849595,0.434988,1.013954,-0.141212,56.414442,244.448136,0.000000,1.000000
48,TmY11,1.000000,0.393748,-0.516273,0.966358,0.034108,49.501820,209.739351,0.000000,0.000000
49,TmY14,1.000000,10.000000,1.076852,1.033747,-0.148922,54.216122,210.776795,0.000000,0.151751
50,TmY15,1.000000,10.000000,-0.606759,0.958485,-0.470840,35.404701,221.100136,0.000000,0.702676
