,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,1.436389,0.451487,5.874748,0.741615,,,,,,,,,,,,,,,,,,10.000000,,,,0.100000,0.100000,,,,1.072632,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.655761,7.790162,,10.000000,,,0.100000,,0.100000,1.667118,,,,,,,,,,,,,,,,,,0.100000,1.906091,,,0.100000,4.638481,,,1.762002,2.272612,,6.270523,,10.000000,3.754776,0.962711,1.013948,10.000000,,,,,,,,,
R8,,9.167745,0.100000,7.062412,0.100000,0.116424,,0.100000,0.100000,,0.100000,1.564089,,,,,,,,,,,,,10.000000,,,,5.751957,0.100000,5.295912,0.100000,,,0.100000,,10.000000,1.731788,0.100000,,1.295744,10.000000,,,0.981200,1.011311,,10.000000,,7.038952,,,,,0.981408,
L1,0.455992,9.663001,10.000000,0.100000,5.757468,0.502172,0.100000,5.592051,1.419606,5.176264,0.100000,,,,,,0.100000,0.100000,,,,,,,10.000000,9.861496,0.984633,,0.100000,5.820004,,10.000000,,10.000000,,,,1.010223,8.873057,,,,0.100000,,,,,,,,,10.000000,,,,
L2,0.206874,,0.100000,10.000000,0.100000,0.100000,5.848930,0.100000,0.100000,0.100000,6.264399,0.100000,,,,,1.614926,2.127113,4.019283,,,,,,0.100000,0.100000,1.012734,,10.000000,0.100000,,,,7.694886,,10.000000,0.100000,,0.100000,,0.100000,,,,1.042680,,,,,,,3.961892,,,,
L3,,0.100000,0.100000,4.197151,6.844338,,,,0.100000,,0.100000,10.000000,,,,,0.100000,10.000000,10.000000,0.696341,,,,,0.100000,,,,0.100000,10.000000,0.100000,,0.100000,,1.173348,0.100000,,0.978859,1.077960,0.100000,10.000000,1.023557,10.000000,0.100000,0.962417,0.212362,3.991911,10.000000,,,,,1.045994,,0.953900,10.000000
L4,0.167285,,,3.088114,3.270476,0.100000,0.100000,6.215794,0.100000,,,0.100000,,,,,0.100000,0.617110,0.100000,10.000000,,,,,,0.100000,,,,5.581341,0.408554,5.094669,,,,9.999553,8.691984,,,,,,10.000000,,,,,,,,,3.160295,,,,
L5,,,,0.765990,2.459551,,,0.450135,9.993907,1.938247,6.626469,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,10.000000,8.618072,0.960453,,1.244380,4.743259,0.100000,0.100000,,0.100000,0.100000,5.885408,10.000000,0.100000,10.000000,,0.399721,10.000000,2.039713,,1.014093,,,,1.572000,4.880929,0.488457,2.454824,,10.000000,,
Mi1,,0.100000,10.000000,0.100000,0.100000,,,0.100000,2.421686,1.595169,10.000000,3.898867,6.704694,8.232633,0.100000,10.000000,0.100000,0.100000,0.762935,,,,,,0.100000,0.100000,0.158724,0.622996,1.815177,8.721110,10.000000,9.204614,10.000000,,0.100000,3.510996,10.000000,0.100000,5.812811,,0.100000,0.100000,3.811702,,,0.988986,,0.100000,0.956844,9.592693,0.100000,0.100000,10.000000,2.578955,1.023767,1.307159
Tm3,,,,0.100000,0.100000,,,,3.436126,6.515151,10.000000,3.343545,8.267880,7.560150,0.100000,9.863042,,,0.100000,,,1.029467,,1.033368,,7.151383,0.177126,9.873486,10.000000,10.000000,9.463067,10.000000,,,0.100000,0.100000,0.275744,,,0.100000,,,0.100000,,,,0.100000,,0.594214,0.122053,10.000000,3.457914,,10.000000,,
Mi4,,,,,0.100000,10.000000,,0.100000,0.100000,0.840442,10.000000,0.714969,0.100000,1.041007,1.057660,0.100000,10.000000,10.000000,0.100000,7.040155,,,,,10.000000,,1.047625,,5.989180,5.058791,0.100000,0.100000,10.000000,,2.028338,,10.000000,,0.100000,0.100000,6.198746,,0.351519,9.988562,0.943360,1.023432,6.607565,2.404711,1.014329,,4.650172,9.998727,1.045953,4.739496,,
Mi9,,,,,,0.100000,1.086082,,0.100000,4.084049,5.612022,,8.287511,5.851410,1.274063,1.696897,0.100000,0.100000,0.100000,0.100000,,,,,,5.149392,1.036616,0.100000,0.100000,,0.100000,0.180944,5.769579,,2.459890,,0.100000,2.096664,,10.000000,10.000000,10.000000,1.083211,0.100000,1.016307,,1.022743,,1.594826,0.966442,,0.100000,0.100000,7.013056,0.962605,
T4a,,,,,,,,,,,,0.779479,0.951870,1.013648,0.956748,0.985343,,,,,0.999365,,,,,,,,,5.551365,,,,,,1.141662,,,,,,,0.100000,,,,,,,0.100000,,,,,0.948057,6.553984
T4b,,,,,,,,,8.689992,,0.100000,2.940339,0.100000,3.467576,,0.994950,,,,,,9.124550,,,,,,,,,,,,,,3.463432,,,,,,,0.100000,,,,,,0.426825,0.100000,4.508145,,,,,
T4c,,,,,,,,,,,,1.013137,,,1.043203,,,,,,,,0.975186,0.976941,,0.951381,,,,,,,,,,,,,,,,,,,,,,,,0.969854,0.863691,,1.012955,0.972622,,
T4d,,,,,,,,,0.100000,,,,,,0.976174,0.100000,,,,,,,,2.895396,,,,,,,,,,,,,,,,,,,,,,,,,,9.780533,8.185490,,4.412403,0.129920,,
Tm1,,,,,0.100000,,,0.100000,0.100000,0.100000,10.000000,0.100000,,,0.976012,,0.100000,0.100000,0.100000,10.000000,0.435355,1.506633,2.347323,0.444760,7.566222,0.857806,0.265096,0.100000,0.100000,9.514479,,0.336809,9.725597,,0.100000,0.100000,,1.026959,0.100000,0.100000,0.100000,4.864751,0.100000,10.000000,,,7.525652,10.000000,,10.000000,,10.000000,4.975763,0.100000,0.100000,7.497040
Tm2,,,,1.588829,0.100000,,,0.100000,10.000000,10.000000,10.000000,0.100000,2.724179,,1.049441,,0.692393,,0.100000,10.000000,0.100000,0.100000,1.850787,5.247432,0.100000,2.080517,1.014141,10.000000,,6.445150,0.100000,10.000000,0.100000,,,0.100000,,,0.100000,,,1.118204,0.100000,,,,,,0.982772,2.694322,3.143526,0.100000,10.000000,0.100000,0.967401,1.377015
Tm4,,,,,9.391450,,,,0.100172,4.088621,3.943794,,,,,,0.764756,0.100000,0.100000,,0.586767,0.100000,0.100000,0.187022,0.100000,5.894117,0.916667,0.100000,0.355560,1.602337,,5.957492,,,0.100000,10.000000,10.000000,,0.100000,,,0.330370,0.100000,,,,,,0.389183,0.100000,0.100000,0.100000,,0.100000,,0.100000
Tm9,,,,,,0.100000,,,,,4.561046,0.100000,,,,,0.100000,10.000000,10.000000,2.525717,0.127966,0.112921,0.100000,0.100000,,8.879086,0.989133,,,,,,7.959026,,,,,,,,0.302526,10.000000,,,,0.955828,10.000000,,,0.100000,0.100000,,10.000000,,0.100000,0.100000
