,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,1.550551,1.172266,1.115097,0.100000,,,,,,,,,,,,,,,,,,1.456837,,,,1.556347,0.989258,,,,1.678512,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.100000,5.585877,,1.889618,,,0.100000,,0.100000,9.925180,,,,,,,,,,,,,,,,,,0.960210,1.046574,,,1.025240,0.997579,,,0.995532,3.306403,,3.503775,,1.690699,1.276103,1.624576,0.970797,1.434714,,,,,,,,,
R8,,5.233977,10.000000,2.248571,0.100000,2.389644,,0.100000,0.100000,,0.100000,5.855665,,,,,,,,,,,,,0.946588,,,,1.589073,0.971646,1.033173,5.682692,,,1.003622,,0.734540,0.963011,0.100000,,5.852399,3.783203,,,0.989724,0.956087,,1.024182,,0.959254,,,,,1.014922,
L1,1.066488,1.011517,1.029888,0.100000,1.749101,1.023955,1.011211,0.234162,0.221616,0.100525,1.014420,,,,,,1.042907,0.922659,,,,,,,1.012971,1.030239,0.958874,,0.146073,1.042739,,0.953409,,1.010149,,,,1.034071,1.011926,,,,0.988232,,,,,,,,,1.044981,,,,
L2,0.215465,,0.971555,2.036662,1.591801,0.984649,0.329512,1.914473,1.059301,0.972766,0.100000,1.039473,,,,,0.100000,0.114716,0.100000,,,,,,1.748775,0.977188,0.964489,,1.023854,0.981754,,,,1.037771,,1.033015,0.963832,,1.001263,,1.205559,,,,0.983005,,,,,,,0.332313,,,,
L3,,0.989451,0.979070,0.965319,1.004926,,,,1.031205,,0.995931,1.028640,,,,,1.013346,0.958562,1.020154,1.023197,,,,,0.967991,,,,0.952458,0.965005,1.038211,,1.044845,,0.985149,1.040338,,1.030426,1.029172,1.017214,0.956756,1.037803,1.027272,0.966431,1.044022,0.956241,1.039154,1.039493,,,,,0.976419,,0.987744,1.047612
L4,0.391608,,,1.410808,0.634260,1.848099,0.122041,1.086922,1.800881,,,1.844188,,,,,0.165725,0.172909,0.106604,0.143954,,,,,,1.792588,,,,0.954733,1.019141,1.854256,,,,0.495200,1.671835,,,,,,0.660206,,,,,,,,,1.830463,,,,
L5,,,,0.946727,5.084274,,,1.372378,0.100000,1.451394,5.805315,0.100000,,,,,0.100000,3.456348,0.100000,,,,,,1.866722,0.511510,0.321665,,0.143634,0.485649,0.975231,9.689433,,1.916185,1.029904,6.200269,0.100000,1.040607,4.791486,,1.899737,3.556752,0.100000,,0.999828,,,,0.975474,0.515875,0.100000,0.177595,,9.976065,,
Mi1,,0.100000,10.000000,2.048201,9.919594,,,1.301883,1.065418,1.001716,4.412216,1.457512,3.567139,9.843047,0.951979,0.207340,0.100000,0.100000,0.100000,,,,,,1.034878,0.783335,0.100000,1.343520,0.962594,0.421458,0.954453,10.000000,1.036948,,0.968079,0.100000,0.100000,0.955072,0.100000,,10.000000,2.019466,0.936643,,,1.016207,,1.041916,1.049769,0.997664,3.726439,0.100000,0.985351,0.333580,7.817168,1.019061
Tm3,,,,0.100000,9.522452,,,,0.211444,0.976230,3.306412,9.682680,6.829731,9.489284,1.042245,0.424838,,,0.100000,,,0.950788,,1.037232,,0.233186,0.100000,1.149625,0.216234,1.659866,0.970801,0.100000,,,0.989965,1.291111,0.788775,,,1.003307,,,0.100000,,,,0.919873,,0.993422,0.194351,0.100000,0.183531,,2.749368,,
Mi4,,,,,0.100000,2.125027,,0.100000,0.100000,9.333758,2.823530,2.090311,0.100000,0.100000,1.000591,1.046883,10.000000,3.900850,0.970991,7.158906,,,,,1.033481,,1.077107,,1.037601,0.961045,1.044148,10.000000,0.999413,,0.982265,,8.790461,,10.000000,0.985710,0.100000,,0.960764,0.976990,0.950466,0.958720,0.827532,0.957053,0.974293,,7.891953,1.012848,0.960509,9.100408,,
Mi9,,,,,,0.100000,1.531491,,1.931131,0.100000,10.000000,,6.593585,6.999945,0.955768,1.011333,0.100000,0.100000,0.100453,0.100000,,,,,,0.100000,0.717793,7.918399,1.010496,,1.013814,0.286391,1.018843,,0.998846,,9.893620,0.984064,,0.956172,4.238169,10.000000,1.005779,1.043818,0.973878,,0.971857,,0.963021,1.016947,,1.045636,0.951287,0.100000,2.911061,
T4a,,,,,,,,,,,,0.440048,9.699245,0.981379,0.981655,1.012554,,,,,0.968904,,,,,,,,,0.509193,,,,,,0.100000,,,,,,,0.446083,,,,,,,0.186941,,,,,1.411692,0.163105
T4b,,,,,,,,,0.100000,,1.016612,3.586401,0.100000,5.675169,,0.975190,,,,,,5.127540,,,,,,,,,,,,,,9.979973,,,,,,,0.204990,,,,,,0.251097,0.334730,0.100000,,,,,
T4c,,,,,,,,,,,,1.038301,,,0.959027,,,,,,,,1.010816,1.042772,,0.955507,,,,,,,,,,,,,,,,,,,,,,,,0.952209,1.008613,,0.964390,0.981367,,
T4d,,,,,,,,,0.281461,,,,,,1.015859,0.260528,,,,,,,,0.981339,,,,,,,,,,,,,,,,,,,,,,,,,,0.817598,2.317245,,0.238663,2.027483,,
Tm1,,,,,1.635578,,,0.504178,0.631541,0.992343,0.512869,1.804641,,,0.976713,,1.047965,1.381904,1.634060,0.658369,0.962049,1.166816,0.986771,0.952251,1.028261,1.024410,0.809480,0.616286,1.030679,1.019583,,0.615450,1.001219,,1.013080,0.855058,,1.000691,1.386932,1.031844,0.711206,1.680346,1.047164,1.019863,,,0.979546,1.002846,,1.018801,,0.985441,1.019775,0.995468,0.962256,1.025249
Tm2,,,,7.721845,4.088011,,,1.629809,0.100000,0.100000,0.100000,1.546489,0.984084,,1.031372,,0.536269,,0.200988,4.210914,0.593415,10.000000,0.978266,1.019608,0.591469,0.162652,1.107827,1.885123,,0.556133,0.952944,0.318255,0.994310,,,0.100000,,,0.100000,,,2.919675,0.100000,,,,,,1.015611,0.295916,5.650361,0.222633,1.029957,3.969484,3.399186,0.197468
Tm4,,,,,0.967930,,,,1.044709,0.995550,1.002568,,,,,,0.994667,0.973275,0.990213,,1.041377,0.968641,0.970841,1.028407,1.014124,0.982057,0.964089,0.957865,0.994539,1.000665,,0.993156,,,1.004418,0.975531,1.023396,,1.012775,,,0.954903,1.020945,,,,,,0.992591,0.969334,1.009870,1.019102,,0.981408,,1.003456
Tm9,,,,,,1.797084,,,,,0.543022,0.250635,,,,,0.314968,1.501666,0.562651,1.584113,0.986222,1.528681,0.975295,0.975440,,0.970888,1.042030,,,,,,1.027340,,,,,,,,1.757762,0.965058,,,,1.009466,1.002942,,,0.997154,0.605112,,1.036136,,1.009532,1.039580
T5a,,,,,,,,,,,,,0.952018,,,,,0.986403,,,1.011174,0.987892,,,,0.982781,,,,,,,,,,,,,,,,,1.036338,,,,,,,0.972605,,,,1.016568,1.007214,1.004103
T5b,,,,,,,,,,,,,,7.625406,,,,,,,0.973213,8.876440,,,,4.006887,,,,,,,,,,,,,,,,,,,,,,,0.153137,0.312563,0.100000,,,0.100000,,
T5c,,,,,,,,,,,,,,,0.960322,,,,,,,1.039508,1.027196,0.973171,,1.347343,,,,,,,,,,,,,,,,,,,,,,,,0.617704,1.011363,,0.653334,1.330892,,
T5d,,,,,,,,,,,,,,,0.996874,0.989399,,,,,,,,1.048073,,0.980032,,,,,,,,,,,,,,,,,,,,,,,,0.998528,0.994353,,0.974248,1.014339,,
T1,0.998416,1.060147,0.487959,,0.133166,1.683430,,1.677476,,,,1.728990,,,,,0.274325,0.293458,0.338552,,,,,,,,,,,,,,,1.035442,,,,,,,1.699094,,,,,,,,,,,,1.042916,,,
T2,,,,,,,,4.159797,0.709341,0.684713,,0.100000,,,,,0.100000,2.857880,1.408136,,,,,,,0.328292,1.003968,2.387124,,,,2.877887,,,,,0.100000,,,,,2.185371,0.500421,,0.500702,0.973411,,,0.954821,0.720415,3.600067,0.593534,,1.320118,0.958987,0.315180
T2a,,,,,,,,,0.835571,1.642987,,,,,,,2.934246,,0.988685,,,,,,,3.690459,0.295347,1.150941,0.358503,,,0.100000,0.990219,,0.970961,4.114874,,,,,0.100000,1.587678,,3.624958,0.979890,,10.000000,,,0.447200,1.014240,,0.185231,2.109883,0.100000,0.100000
T3,,,,,,,,,,1.093571,,,,,,1.015620,0.100000,,,,,,,,,0.100000,1.043386,1.026325,,1.022686,,5.942023,,,,,,,0.100000,,,1.223121,,,,,1.009508,,,,,,,10.000000,,0.986793
C2,1.454542,1.140301,1.719629,0.809580,0.773463,0.283400,1.762433,0.250051,0.270157,,1.775237,,,,,,1.709585,,,1.780611,,,,,1.749513,0.559763,1.043878,0.967742,0.277101,1.038564,,,,0.962380,,,,1.015129,1.466239,0.958060,,,1.012920,,,,,,,,,,,,,
C3,0.982987,,,0.306522,0.292876,0.368649,1.025752,0.301791,0.368388,1.014006,0.735230,1.335713,1.533304,1.083359,0.994847,0.981599,1.663250,0.960048,1.712264,0.455974,,,,,1.048166,0.623281,1.020136,0.966993,0.951425,,,,,1.003172,,0.626664,,1.046843,1.013906,,0.626455,1.009981,1.039100,,,,,,,0.988372,,,,,,
Lawf1,0.995329,,,0.956200,1.024402,0.997484,,1.015121,,1.004862,,1.042773,,,,,,,,,,,,,1.028028,,,,,,1.011391,,,1.019871,,,,,,,,,,,,,,,,,,,,,,
Lawf2,0.100000,,,4.455730,9.019393,3.294994,,2.827445,,,,,,,,,0.100000,0.100000,,0.100000,,,,,0.100000,,,,0.211136,0.553476,0.984303,,,0.112502,,5.214400,10.000000,,,,,,,,,,,,,0.517691,,,,0.335348,,
Dm3v,,,,,,,,,,,0.965426,0.974618,,,,,1.036200,0.990580,,,,,,,,,1.040016,,,,,,0.996588,,,,,,,,1.017854,1.028882,,,,,0.973926,,,,,,0.972263,1.023529,0.960462,0.997709
Lai,3.047036,,,1.028258,0.740205,1.291562,,0.996969,,,,,,,,,,,,,,,,,0.992026,,,,,0.972427,,,,1.003152,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,1.012336,,,,,0.975379,1.009735,1.048221,,0.953932,0.995931,,0.955523,0.994160,,,,,,,1.046324,,,,,0.955979,,,,0.978497,,0.956645,1.013457,,0.964755,,,1.014369,,0.991074,,,,1.026307,,,,,,,
Mi13,,,,,,,10.000000,0.100000,0.100000,0.519330,,5.421858,,,,,1.965237,1.510896,1.547334,10.000000,,,,,0.983366,1.013683,0.100000,,,,,,,,,,,,,,0.100000,,,,1.005449,,,,,,,,,0.992747,,
Mi14,,,,,10.000000,,,1.901139,,,,1.004558,,,,,1.491077,3.719411,1.614142,,,,,,1.253822,0.100000,,0.560267,,,,,,,,3.986010,,,,,1.014304,,1.678707,,,,,,,,,2.071968,,1.075000,,
Mi15,,,,,,,,,,,0.983576,,,,,,,,1.019420,,,,,,0.975693,,1.047032,,,1.029830,0.961478,,,,1.042210,,1.021457,0.982331,1.001263,,,0.966333,1.030734,1.027146,,1.000772,,,,,,,,0.975788,,
Mi2,,,,,,,,,0.252465,,,,,,,,1.792464,,0.792187,,,,,,,1.434596,1.875333,0.307436,,,,,,,,,2.593995,,,,10.000000,0.142956,2.003039,,,,,1.633482,,,,,,1.042019,,
Tm16,,,,,,,,,1.049712,,1.019068,1.012075,,,,,0.956198,0.953388,0.972319,0.958261,,,,,,1.002610,,,,0.977786,0.982285,0.988636,,,1.009513,,,,,,1.018559,1.008977,1.022060,,,1.044939,0.986848,0.968462,1.037701,1.005978,0.972482,,,1.013232,,1.044719
Tm20,,,,,,,,,,,0.100000,4.674742,,,,,3.861807,0.100000,,4.090527,,,,,0.960810,2.333675,9.289409,,,0.385705,,,,,,,,,10.000000,0.972641,0.100000,1.012993,0.998478,1.020337,,1.012018,0.814826,0.476919,1.021824,,,0.603217,0.980967,0.100000,0.959046,
Tm21,,,,,,,,,1.626642,,,,,,,,6.495876,,,,,,,,,0.916477,1.029012,,,,,,,,,,1.010834,,10.000000,,,0.477878,,,,,,,,,10.000000,,,0.262795,,
Tm27,,,,,,,,,,,0.211220,1.831130,,,,,,,0.163609,,,,,,,1.784788,,,,,,,,,0.998102,,,,,,,0.996729,0.305678,,,,,,,,1.002936,,,1.760002,,
Tm5a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.041605,,,3.040178,,1.038313,6.899103,,,,,,,1.004528,,
Tm5b,,,,,,,,,,,0.376336,,,,,,1.028034,,,,,,,,,,,,,,,,,,0.965680,,,0.955657,,0.968598,1.003085,,,0.999362,1.039459,1.035657,0.975195,,0.959121,,,0.955698,,1.012415,,
Tm5c,,,,,,,,0.968514,,,0.991661,,,,,,0.956835,,,,,,,,,,0.961533,,,,,,,,,1.006227,1.032637,1.037157,1.013052,,1.013876,1.024837,0.960343,0.955477,1.036419,0.958756,0.978993,0.958729,,,,0.970122,0.983878,0.966203,1.046216,
Tm5f,,,,,,,,,,,0.100000,,,,,,,,1.019437,,,,,,,,,6.312390,,,,,,,1.026482,,,,,,1.040056,,,2.468481,0.599991,,10.000000,0.409466,0.984870,,9.999978,,0.986332,9.999910,,
TmY10,,,,,,,,,,,0.378286,,,,,,,,,0.419477,,,,,,,0.964758,,,,1.048365,1.571102,1.037782,,,,,,0.841853,0.957378,1.463545,,,0.963686,,0.952853,1.001743,0.556573,0.958969,,,,0.807470,,0.890555,0.842964
TmY11,,,,,,,,,,,0.834743,0.951400,,,,,,,,,,,,,,1.026331,0.952073,,,,,,,,1.014170,1.029479,1.030122,,,1.005540,,,,,,1.009481,1.037167,,0.964901,1.026001,1.058474,,0.958847,0.977095,1.049902,1.048381
TmY14,,,,,,,,,,,,,,,0.976450,,1.553669,,,1.592109,,,,,,0.623407,,,,0.988224,,0.397142,,,,0.312624,,,,0.997423,,,,,,,,,,,,,,0.989601,,
TmY15,,,,,,,,,,,0.742609,,0.100000,0.100000,0.957879,0.502240,,,1.304256,3.034048,0.997698,0.100000,1.019084,1.012563,,7.437454,0.452252,0.999164,0.991160,,,,,,,,2.360361,,,0.955507,,,1.045617,,,,,,1.734890,0.963229,,0.832240,,0.100000,,
TmY3,,,,,,,0.100000,,0.625701,2.080606,0.100000,0.100000,,,0.983335,,,,0.100000,,,,,,,0.487004,0.887325,,,,1.007109,,,,,,2.529569,,,,,,1.048524,,,,,0.864003,1.036626,0.247668,1.361491,0.459587,,2.518364,,0.969531
TmY4,,,,,,,,,,,,,,,,,,,0.243868,,,,,,,,,,,,,,0.956012,,,1.603615,,,,,0.943577,,,,,,,,,,1.017992,,0.519880,1.614190,1.020354,0.694431
TmY5a,,,,,,,,,1.337175,4.582384,6.266615,,,,,0.222746,1.109436,4.062441,1.767875,,,,,0.955953,,1.165755,1.025483,1.721500,,,,10.000000,,,1.007350,,,,0.100000,0.955761,,2.118679,1.980053,0.986992,,,1.047621,1.575691,1.009721,1.081014,5.591091,1.665752,,,,
TmY9q,,,,,,,,,,,6.105422,,,,,,,,,,,,,,,,,,,,,,,,,3.587056,,,,,,0.955363,,,,,,,,0.997128,,,1.004178,3.452273,1.165569,0.328280
TmY9q__perp,,,,,,,,,,1.962118,0.147436,,,,,,,,,,,,,,,,,,,,,1.934229,1.009162,,,2.007110,,,0.385024,,,,,,,,,,,,,,0.379403,1.035189,,0.188072
