idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow
0,R1-6,1.000000,1.453007,-16.353391,1.048892,0.164933,24.281679,200.920895,0.000000,0.000000
1,R7,1.000000,6.465286,-20.000000,1.040613,-0.442883,22.982238,192.007846,0.000000,0.000000
2,R8,1.000000,1.772477,-11.121366,0.950151,-0.426002,23.319328,196.662677,0.000000,0.000000
3,L1,1.000000,4.643003,4.792831,2.227400,-0.204894,21.435116,190.110874,0.000000,0.600000
4,L2,1.000000,0.652592,-1.367312,0.736268,-0.840176,22.345788,218.985421,0.000000,0.600000
5,L3,1.000000,2.035693,0.947301,0.712118,-1.565389,24.799076,206.033706,0.000000,0.000000
6,L4,1.000000,1.005345,-0.415108,1.605082,0.697540,21.231906,219.111910,0.000000,1.000000
7,L5,1.000000,5.856520,0.054113,0.406689,-0.001492,25.119006,200.879320,0.000000,1.000000
8,Mi1,1.000000,4.885480,-1.632937,1.232460,-0.550886,26.439352,208.435494,0.000000,0.000000
9,Tm3,1.000000,5.548328,-0.081367,0.307518,-0.448690,19.653832,199.845846,0.000000,0.000000
10,Mi4,1.000000,9.621625,-2.387398,1.205663,1.277173,22.746626,209.660325,0.000000,0.000000
11,Mi9,1.000000,9.572740,-0.080682,2.295700,-0.546095,20.348864,191.808951,0.000000,0.000000
12,T4a,1.000000,4.967087,-0.030527,0.976301,-0.289042,72.895886,196.048249,0.000000,0.000000
13,T4b,1.000000,3.969152,-0.059621,1.030220,-0.376363,76.433689,200.120881,0.000000,0.000000
14,T4c,1.000000,4.296834,-0.079465,0.961196,0.137537,36.854202,195.310181,0.000000,0.000000
15,T4d,1.000000,0.182431,-0.364824,1.016848,0.154130,48.885839,205.138588,0.000000,0.000000
16,Tm1,1.000000,10.000000,0.580336,2.645325,0.782007,39.879152,190.511047,0.000000,0.000000
17,Tm2,1.000000,1.518378,-1.997535,2.318310,0.219512,79.162849,194.639417,0.000000,0.000000
18,Tm4,1.000000,0.136912,-0.987158,1.751964,1.144636,83.724106,205.206176,0.000000,0.000000
19,Tm9,1.000000,0.860936,-2.112375,1.160500,0.699371,26.654452,197.569161,0.000000,0.000000
20,T5a,1.000000,0.946190,-0.648815,1.025133,-0.070774,48.589640,200.630760,0.000000,0.000000
21,T5b,1.000000,7.800762,5.690655,0.976801,-0.434930,36.112696,205.685733,0.000000,0.000000
22,T5c,1.000000,10.000000,4.890213,0.955479,-0.227806,58.749702,195.251610,0.000000,0.000000
23,T5d,1.000000,0.133379,-1.117499,0.981868,0.249070,48.707004,196.458958,0.000000,0.000000
24,T1,1.000000,0.100000,-0.520044,0.950600,0.071937,45.839411,190.609158,0.000000,0.000000
25,T2,1.000000,5.027922,-4.269324,0.985094,-0.145833,53.287412,195.070773,0.000000,0.000000
26,T2a,1.000000,0.220727,-0.740404,1.042570,0.114134,51.243727,209.968726,0.000000,0.000000
27,T3,1.000000,3.972999,-0.691942,0.986578,0.406103,30.233634,192.972075,0.000000,0.000000
28,C2,1.000000,1.061731,-1.463298,1.026149,-0.324028,58.401840,204.787246,0.000000,0.000000
29,C3,1.000000,0.694849,-0.221459,1.025038,0.110997,53.208228,200.734494,0.000000,0.000000
30,Lawf1,1.000000,4.264737,0.403568,0.968214,0.443132,32.468249,201.360306,0.000000,0.000000
31,Lawf2,1.000000,5.674984,-4.817215,1.024972,0.446682,58.097274,196.759909,0.000000,0.000000
