t,ms,cost_t,gt_aff_mean,gt_mean,sel_mean,SSE_t,POWER_t
0,0,,2.2238411265,0.0000000000,-9.2825276908e-08,1246.2583817859,0.0000000000
1,5,,2.2238411265,0.0000000000,-9.0532833283e-08,1246.2583792165,0.0000000000
2,10,23.4667826312,-2.0834953298,-4.5491041035,-8.8297004837e-08,1098.1591291896,4679.6322548643
3,15,50.2034214614,-5.3979275705,-8.0495730034,-8.6116393361e-08,7355.9535434329,14652.2952605733
4,20,61.0494681896,-7.9360461585,-10.7301543327,-8.3989635183e-08,15894.7534881563,26035.8590492248
5,25,66.6285107306,-9.8673470169,-12.7698576968,-8.1915400305e-08,24569.2667846454,36875.0051820655
6,30,69.8932261406,-11.3244695213,-14.3087674224,-7.9892391580e-08,32359.3292666404,46298.2338253253
7,35,71.9437928812,-12.4112089192,-15.4565047084,-7.7919343904e-08,38866.5404959210,54023.4799131335
8,40,73.2807125674,-13.2087869169,-16.2988501761,-7.5995023457e-08,44021.3739928553,60072.2515523765
9,45,74.1641137993,-13.7807590939,-16.9029267334,-7.4118226943e-08,47915.6743158237,64607.6274106108
10,50,74.7426196247,-14.1768554865,-17.3212557270,-7.2287780841e-08,50709.2324570212,67845.1366993047
11,55,75.1073513230,-14.4359862602,-17.5949313216,-7.0502540648e-08,52579.6357853932,70005.9779225499
12,60,75.3172912657,-14.5885939735,-17.7561047944,-6.8761390138e-08,53697.0053794697,71294.3926648252
13,65,75.4122811302,-14.6584944786,-17.8299287637,-6.7063240635e-08,54212.7288736454,71888.4617480923
14,70,75.4201616013,-14.6643176246,-17.8360787587,-6.5407030314e-08,54255.8030737756,71938.0626106625
15,75,75.3609229075,-14.6206347630,-17.7899440099,-6.3791723518e-08,53933.0952735681,71566.3943496731
16,80,75.2492350240,-14.5388411415,-17.7035593722,-6.2216310108e-08,53331.4323139062,70873.0557817634
17,85,75.0960538815,-14.4278464722,-17.5863346533,-6.0679804827e-08,52520.3676447359,69937.5865043736
18,90,74.9096773430,-14.2946153743,-17.4456253912,-5.9181246686e-08,51555.0231833185,68822.9144910405
19,95,74.6964609203,-14.1445903276,-17.2871795483,-5.7719698377e-08,50478.7144076226,67578.4552382643
20,100,74.4613159379,-13.9820226793,-17.1154870968,-5.6294245693e-08,49325.2401849031,66242.7725908738
