idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.000000,2.207845,-20.000000,1.042662,-0.496040,20.243052,198.945964,0.000000,0.000000,20.044743,20.044743
1,R7,1.000000,5.796024,-20.000000,0.982190,-0.024104,20.459410,195.690660,0.000000,0.000000,19.996859,19.996859
2,R8,1.000000,2.177243,-20.000000,1.043067,0.193335,20.765787,203.429926,0.000000,0.000000,20.000891,20.000891
3,L1,1.000000,5.587847,1.085870,1.296898,3.357261,19.178671,173.350840,0.000000,0.600000,-0.044055,-0.044055
4,L2,1.000000,7.855281,1.543327,1.219646,4.097869,19.440924,173.781111,0.000000,0.600000,0.006036,0.006036
5,L3,1.000000,6.928441,0.839322,0.476978,-3.866007,22.513874,200.083089,0.000000,0.000000,-0.016716,-0.016716
6,L4,1.000000,6.616410,0.536694,0.104881,0.536459,21.508764,215.195914,0.000000,1.000000,0.000000,-0.000000
7,L5,1.000000,5.847591,0.090325,0.245323,-0.286505,10.000000,196.667282,0.000000,1.000000,0.000000,0.000000
8,Mi1,1.000000,3.261782,3.098362,0.434506,-3.814955,41.875488,196.524528,0.000000,0.000000,-3.269110,-3.269110
9,Tm3,1.000000,0.925759,1.175185,0.406351,-3.346675,23.028346,196.270996,0.000000,0.000000,0.300250,0.300250
10,Mi4,1.000000,3.199027,1.802099,0.365733,-1.677338,36.296684,203.434337,0.000000,0.000000,-3.063207,-3.063207
11,Mi9,1.000000,5.610977,2.414626,0.418916,2.735516,25.993948,205.506829,0.000000,0.000000,2.636198,2.636198
12,T4a,1.000000,0.413243,-1.181844,0.988057,0.055333,45.412672,197.571016,0.000000,0.000000,-0.256618,-0.256618
13,T4b,1.000000,0.100000,-0.810220,1.025906,-0.200738,48.736449,198.854826,0.000000,0.000000,-0.284493,-0.284493
14,T4c,1.000000,0.100000,-1.099526,0.973473,0.435852,50.588059,193.127437,0.000000,0.000000,-0.230348,-0.230348
15,T4d,1.000000,4.676888,5.246565,0.989332,0.375669,63.991229,204.899539,0.000000,0.000000,0.147624,0.147624
16,Tm1,1.000000,10.000000,-1.038996,0.303878,3.158310,42.602789,198.034541,0.000000,0.000000,2.128141,2.128141
17,Tm2,1.000000,0.100000,-2.594326,0.301846,1.903722,40.966983,195.526713,0.000000,0.000000,1.069017,1.069017
18,Tm4,1.000000,4.472655,0.587197,0.248066,2.524366,45.866546,207.821914,0.000000,0.000000,0.586866,0.586866
19,Tm9,1.000000,1.562548,-2.725623,0.205083,1.728651,49.532814,206.114270,0.000000,0.000000,1.207154,1.207154
