,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,1.291189,1.282438,2.643286,2.486554,,,,,,,,,,,,,,,,,,0.294470,,,,4.863584,0.100000,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,
R7,,,9.238796,4.042184,,6.028636,,,0.100000,,0.100000,2.021545,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,0.100000,1.021687,,,0.100000,0.100000,,1.011411,,0.100000,5.915254,1.041603,10.000000,5.539762,,,,,,,,,
R8,,0.675339,7.511325,7.330753,0.100000,10.000000,,0.100000,0.100000,,0.100000,4.638991,,,,,,,,,,,,,0.100000,,,,0.100000,0.100000,7.721532,1.310864,,,1.006826,,2.304045,0.100000,10.000000,,2.746216,0.100000,,,1.004871,8.896275,,10.000000,,1.455478,,,,,1.043947,
L1,0.100000,0.100000,1.594210,0.100000,1.821702,0.164444,0.100000,7.606184,3.687447,2.180110,0.100000,,,,,,0.100000,0.100000,,,,,,,2.607713,0.100000,4.443466,,7.827194,5.625111,,0.100000,,1.074672,,,,0.100000,10.000000,,,,0.986839,,,,,,,,,0.100000,,,,
L2,9.849834,,0.448933,0.100000,0.100000,1.705858,10.000000,0.100000,0.100000,0.100000,0.450688,2.229240,,,,,1.762190,2.468955,2.696169,,,,,,0.100000,2.080779,0.979200,,2.781459,2.166719,,,,1.302415,,0.967287,1.016810,,0.100000,,0.100000,,,,1.011076,,,,,,,0.743440,,,,
L3,,2.244859,0.100000,5.166533,0.342202,,,,2.965649,,0.100000,2.560850,,,,,0.100000,8.959872,10.000000,5.994528,,,,,0.592165,,,,7.316613,7.333285,0.148167,,0.497436,,1.025619,1.031907,,0.127381,1.855031,0.965268,0.100000,1.048658,0.949341,2.985072,1.025719,2.683554,2.399809,7.161166,,,,,1.007046,,0.604287,1.150899
L4,9.297103,,,0.100000,5.134744,1.763339,0.100000,1.042435,1.844374,,,0.220837,,,,,0.562539,0.747585,0.154237,0.100000,,,,,,3.516268,,,,0.415008,1.041685,0.100000,,,,0.980669,0.985145,,,,,,0.979427,,,,,,,,,0.100000,,,,
L5,,,,0.100000,0.100000,,,6.455134,2.325689,7.992419,9.325340,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,0.100000,0.388889,0.100000,,0.208882,2.901113,0.991464,0.100000,,8.893506,0.964822,1.035399,0.995200,2.716742,4.355124,,0.100000,5.444327,0.100000,,1.035642,,,,1.034012,0.100000,10.000000,5.460103,,7.288347,,
Mi1,,6.168377,4.918589,6.714279,10.000000,,,0.100000,8.456047,0.100000,10.000000,0.100000,2.747502,0.100000,7.317708,0.100000,0.100000,10.000000,0.100000,,,,,,10.000000,0.100000,0.100000,0.100000,4.656263,0.100000,10.000000,0.393905,0.100000,,0.993446,1.007879,1.013265,5.412592,9.374155,,0.100000,4.979124,0.892580,,,8.871220,,0.100000,0.997075,8.945602,6.927766,0.100000,10.000000,3.492316,0.123815,0.100000
Tm3,,,,0.189141,0.100000,,,,0.100000,4.049635,0.100000,0.100000,6.465492,0.960495,6.112644,0.100000,,,0.100000,,,0.977642,,1.036566,,0.100000,0.100000,0.100000,1.013353,4.735021,0.153025,0.100000,,,1.049633,1.048861,0.100000,,,0.951357,,,0.816393,,,,0.100000,,0.976895,10.000000,10.000000,0.100000,,10.000000,,
Mi4,,,,,0.100000,2.354011,,0.100000,1.088590,3.824304,0.100000,0.222714,0.100000,1.021800,0.100000,1.047932,0.728506,0.100000,0.100000,0.934698,,,,,0.116353,,10.000000,,6.465997,5.865138,0.957206,0.100000,2.219365,,1.034031,,0.960759,,0.100000,1.049808,2.750359,,5.323286,2.818620,0.966359,10.000000,10.000000,9.806001,2.186376,,0.100000,10.000000,1.010776,5.663487,,
Mi9,,,,,,0.100000,0.725555,,0.100000,1.276623,7.260829,,0.100000,1.838595,0.100000,0.921045,0.831665,5.881428,2.236007,3.205736,,,,,,7.953942,0.100000,0.100000,0.100000,,1.958946,10.000000,0.992002,,1.930585,,0.997745,5.658243,,1.884288,0.999062,5.764332,5.009148,2.077816,0.991121,,0.998940,,0.904322,1.044291,,0.982790,4.921260,10.000000,5.658360,
T4a,,,,,,,,,,,,8.185628,8.857349,1.009606,0.100000,1.049665,,,,,0.769332,,,,,,,,,0.100000,,,,,,0.996692,,,,,,,0.100000,,,,,,,0.100000,,,,,3.488710,4.710539
T4b,,,,,,,,,2.053000,,0.964268,0.100000,1.028636,0.100000,,0.998256,,,,,,1.039243,,,,,,,,,,,,,,1.027340,,,,,,,1.041424,,,,,,0.978581,0.100000,0.121443,,,,,
T4c,,,,,,,,,,,,10.000000,,,0.100000,,,,,,,,0.100000,1.048689,,1.020574,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.100000,,0.100000,0.112206,,
T4d,,,,,,,,,0.313336,,,,,,1.022464,1.060690,,,,,,,,0.991308,,,,,,,,,,,,,,,,,,,,,,,,,,2.595320,0.100000,,0.956392,1.064339,,
Tm1,,,,,0.100000,,,3.191591,0.591170,0.100000,0.100000,0.900021,,,1.035448,,0.100000,0.100000,0.100000,0.501472,0.100000,0.128257,0.277087,10.000000,0.450927,0.100000,4.973526,3.695774,0.100000,10.000000,,0.100000,0.100000,,0.999057,0.999091,,0.100000,0.123970,0.983005,0.100000,0.235170,1.009778,0.100000,,,0.185800,4.306693,,7.668884,,6.704079,1.585525,0.100000,4.027145,3.499804
Tm2,,,,4.479781,0.100000,,,7.473379,10.000000,0.100000,0.100000,2.891886,1.002386,,0.100000,,0.100000,,0.100000,5.783060,0.100000,0.573068,3.009545,10.000000,0.100000,0.100000,0.100000,0.100000,,0.100000,1.422442,1.883815,0.100000,,,1.044838,,,10.000000,,,0.100000,0.100000,,,,,,1.011456,1.745265,0.694266,0.525067,0.100000,0.964792,0.100000,4.852395
Tm4,,,,,10.000000,,,,0.100000,0.100000,2.421655,,,,,,0.100000,0.100000,0.100000,,2.294618,0.137795,0.100000,10.000000,1.009606,2.260869,9.363845,7.649360,10.000000,0.100000,,2.804127,,,0.995613,1.003060,0.100000,,4.194392,,,2.058777,0.100000,,,,,,0.203268,0.870735,1.720919,0.100000,,6.460845,,0.992668
Tm9,,,,,,2.572311,,,,,0.641281,0.100000,,,,,0.100000,0.100000,0.100000,1.353973,0.100000,6.356684,8.351935,8.034468,,0.100000,0.100000,,,,,,0.100000,,,,,,,,0.100000,5.977071,,,,9.839724,2.823184,,,10.000000,6.766715,,2.853855,,0.105121,1.092345
T5a,,,,,,,,,,,,,0.971384,,,,,0.191223,,,2.705551,0.100000,,,,3.309248,,,,,,,,,,,,,,,,,2.575021,,,,,,,0.576706,,,,1.882283,2.533351,1.019905
T5b,,,,,,,,,,,,,,0.982467,,,,,,,0.100000,5.043888,,,,5.776437,,,,,,,,,,,,,,,,,,,,,,,1.000167,0.138697,9.648782,,,6.726031,,
T5c,,,,,,,,,,,,,,,0.100000,,,,,,,0.966913,8.240159,0.960673,,9.484650,,,,,,,,,,,,,,,,,,,,,,,,0.975887,0.100000,,0.201268,0.541523,,
T5d,,,,,,,,,,,,,,,2.374626,1.024542,,,,,,,,2.334419,,6.471739,,,,,,,,,,,,,,,,,,,,,,,,9.254641,0.100000,,4.540701,9.630129,,
T1,0.100000,10.000000,0.100000,,4.240368,8.876844,,0.305728,,,,0.707706,,,,,0.100000,0.100000,0.100000,,,,,,,,,,,,,,,0.100000,,,,,,,0.312395,,,,,,,,,,,,0.989632,,,
T2,,,,,,,,10.000000,1.380194,0.100000,,0.243021,,,,,0.737245,0.100000,0.100000,,,,,,,6.591392,10.000000,10.000000,,,,10.000000,,,,,1.007789,,,,,6.301853,0.100000,,0.385513,2.980372,,,4.655106,0.100000,0.895078,1.751782,,0.100000,0.968580,2.224884
T2a,,,,,,,,,0.847012,1.555583,,,,,,,0.100000,,0.100000,,,,,,,0.100000,0.100000,0.203316,0.100000,,,10.000000,1.038949,,1.003141,0.982348,,,,,0.100000,10.000000,,0.100000,0.419088,,0.100000,,,10.000000,0.100000,,0.100000,5.707048,0.692770,0.103646
