idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.000000,2.935919,-19.966256,0.988960,0.370485,10.000000,205.105477,0.000000,0.000000,20.075419,20.075412
1,R7,1.000000,8.698571,-19.995860,1.037237,-0.234262,91.461487,195.884904,0.000000,0.000000,20.004124,20.004124
2,R8,1.000000,5.917955,-20.016545,1.000532,-0.367930,10.000000,194.856643,0.000000,0.000000,19.977598,19.977521
3,L1,1.000000,3.762404,6.166133,1.440532,0.131329,10.000000,252.427463,0.000000,0.600000,-0.218363,-0.218761
4,L2,1.000000,3.472956,2.987921,0.504077,0.008343,10.000000,190.260735,0.000000,0.600000,-0.105674,-0.105716
5,L3,1.000000,3.329096,4.861797,0.821977,-1.352080,33.258548,190.827376,0.000000,0.000000,0.479112,0.479051
6,L4,1.000000,9.615578,-3.241441,0.118343,0.141833,10.000000,294.433934,0.000000,1.000000,0.000000,-0.000276
7,L5,1.000000,6.968011,1.522379,1.190481,-1.366082,10.000000,222.163366,0.000000,1.000000,0.000000,0.000676
8,Mi1,1.000000,3.198055,2.790223,1.997511,-6.362176,10.000000,202.606895,0.000000,0.000000,-5.230154,-5.227302
9,Tm3,1.000000,6.029076,-0.719921,1.045521,-2.597189,10.000000,191.613178,0.000000,0.000000,-1.109298,-1.107293
10,Mi4,1.000000,10.000000,1.655615,1.214911,-1.030812,10.000000,193.068676,0.000000,0.000000,-2.039017,-2.031783
11,Mi9,1.000000,4.542132,3.187910,1.485359,1.319389,23.354230,195.675238,0.000000,0.000000,1.039178,1.039722
12,T4a,1.000000,0.679081,-0.578559,1.008942,0.193526,51.884841,193.904438,0.000000,0.000000,-0.042334,-0.041163
13,T4b,1.000000,0.100000,-0.656783,1.022053,0.400409,49.175188,194.485892,0.000000,0.000000,-0.483296,-0.481359
14,T4c,1.000000,10.000000,-0.248063,0.999270,-0.196036,26.560400,201.902640,0.000000,0.000000,-0.199139,-0.198029
15,T4d,1.000000,0.100000,-1.062613,1.011837,0.135661,52.943837,199.190807,0.000000,0.000000,-0.330246,-0.328701
16,Tm1,1.000000,7.200428,-6.101079,1.023158,4.663883,10.000000,201.584807,0.000000,0.000000,3.945699,3.945789
17,Tm2,1.000000,1.002090,-3.565669,0.762524,5.423152,10.000000,209.247152,0.000000,0.000000,4.434028,4.434567
18,Tm4,1.000000,9.280183,-3.634074,1.027044,2.904281,10.000000,197.559852,0.000000,0.000000,1.475520,1.471079
19,Tm9,1.000000,1.343006,-0.902420,1.165188,2.827707,19.447353,196.419928,0.000000,0.000000,1.425769,1.425869
20,T5a,1.000000,10.000000,-1.583090,1.027947,0.202220,10.000000,203.641742,0.000000,0.000000,0.456780,0.446256
21,T5b,1.000000,5.732482,0.944396,0.954076,-0.322912,10.000000,195.444655,0.000000,0.000000,0.828325,0.820187
22,T5c,1.000000,8.194838,6.984657,1.017474,-0.247560,10.000000,197.860223,0.000000,0.000000,1.169692,1.157592
23,T5d,1.000000,1.738179,-1.635970,1.009352,0.325701,44.523996,197.279321,0.000000,0.000000,0.063129,0.062579
24,T1,1.000000,0.321237,-1.303680,1.029869,0.424051,54.923834,195.657941,0.000000,0.000000,-0.044690,-0.043782
25,T2,1.000000,4.525594,-0.354572,0.989842,0.384907,43.288446,208.885095,0.000000,0.000000,0.228166,0.226771
26,T2a,1.000000,8.983730,3.487868,1.043824,-0.415022,63.939087,199.038317,0.000000,0.000000,0.047811,0.043855
27,T3,1.000000,3.894378,3.181600,0.979357,0.116887,78.098522,201.793792,0.000000,0.000000,-0.013794,-0.014082
28,C2,1.000000,6.515080,1.149326,1.035440,-0.399408,10.000000,203.625388,0.000000,0.000000,2.541636,2.543640
29,C3,1.000000,10.000000,6.220259,0.992136,0.130220,10.000000,194.865638,0.000000,0.000000,-8.322990,-8.319839
30,Lawf1,1.000000,10.000000,0.019105,1.015824,0.323819,10.000000,203.637600,0.000000,0.000000,0.817730,0.817757
31,Lawf2,1.000000,10.000000,4.927838,0.984503,-0.266344,100.000000,205.587743,0.000000,0.000000,-0.141830,-0.142028
32,Dm3v,1.000000,9.717954,4.755022,1.040482,0.427178,76.892971,203.046338,0.000000,0.000000,0.490486,0.491889
33,Lai,1.000000,10.000000,-3.798559,0.951619,-0.165894,49.530683,191.498622,0.000000,0.000000,0.622137,0.632995
34,Mi10,1.000000,0.100000,-0.809606,1.025073,0.431449,47.735503,203.663483,0.000000,0.000000,-1.146715,-1.143729
35,Mi13,1.000000,9.914980,2.371550,1.014363,-0.148279,100.000000,193.141276,0.000000,0.000000,-0.272778,-0.284636
36,Mi14,1.000000,4.868541,3.394917,0.966587,-0.273052,10.000000,209.168640,0.000000,0.000000,0.220564,0.224221
37,Mi15,1.000000,8.178635,-0.569194,0.968232,0.485913,10.000000,196.590518,0.000000,0.000000,-1.551711,-1.547515
38,Mi2,1.000000,10.000000,-2.222708,1.048450,0.470369,10.000000,197.310343,0.000000,0.000000,1.273489,1.277921
39,Tm16,1.000000,0.374578,-0.587481,1.024920,0.319906,49.819173,207.049184,0.000000,0.000000,-0.312920,-0.305422
40,Tm20,1.000000,8.216603,3.542988,1.018351,-0.075358,85.853315,208.038954,0.000000,0.000000,0.644593,0.647449
41,Tm21,1.000000,9.174644,-3.372472,1.012776,-0.301480,14.773982,191.397336,0.000000,0.000000,1.683582,1.682697
42,Tm27,1.000000,10.000000,0.548726,0.983781,0.040638,69.745346,209.483172,0.000000,0.000000,-0.093116,-0.089132
43,Tm5a,1.000000,0.100000,-1.701481,1.042854,0.376775,51.220847,202.108448,0.000000,0.000000,0.005210,0.005808
44,Tm5b,1.000000,0.100000,-0.551599,1.003801,-0.205695,52.788355,197.770360,0.000000,0.000000,-0.120695,-0.120905
45,Tm5c,1.000000,0.100000,-3.414534,1.018106,-0.173564,53.072410,201.718888,0.000000,0.000000,0.076451,0.076453
46,Tm5f,1.000000,7.071382,-10.680446,0.973468,-0.349302,10.000000,209.561739,0.000000,0.000000,1.693836,1.690115
47,TmY10,1.000000,0.100000,-1.171914,1.049382,0.473832,49.151382,201.907735,0.000000,0.000000,-0.047777,-0.046043
48,TmY11,1.000000,8.547134,4.944291,1.039101,-0.401344,10.000000,202.644402,0.000000,0.000000,-1.597184,-1.555847
49,TmY14,1.000000,10.000000,-2.979170,0.952169,0.496084,100.000000,195.623286,0.000000,0.000000,2.410856,2.350813
50,TmY15,1.000000,2.753120,-2.572176,0.964289,-0.335910,10.000000,201.974174,0.000000,0.000000,1.002618,1.009103
51,TmY3,1.000000,0.359110,-0.277174,0.961908,-0.499036,50.825923,194.051875,0.000000,0.000000,-1.749728,-1.745343
52,TmY4,1.000000,5.192561,0.665836,0.966682,-0.127109,44.923482,205.295973,0.000000,0.000000,-9.011221,-9.035068
53,TmY5a,1.000000,8.630746,-7.539437,1.046336,-0.276974,50.116198,190.191554,0.000000,0.000000,2.454741,2.428755
54,TmY9q,1.000000,10.000000,-0.803650,0.962911,-0.323524,10.000000,198.788078,0.000000,0.000000,3.029390,3.026907
55,TmY9q__perp,1.000000,0.139049,-3.661538,1.034031,0.479621,46.618796,203.798071,0.000000,0.000000,0.349471,0.349486
