idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset,a_in
0,R1-6,1.666638,2.086105,-19.999137,0.952204,0.083954,10.000000,194.135397,0.000000,0.000000,20.186708,20.186107,1.666638
1,R7,1.666638,5.948804,-20.011893,0.981649,0.297757,96.616211,209.358542,0.000000,0.000000,20.002322,20.002304,1.666638
2,R8,1.666638,3.162015,-20.039965,1.030667,0.402698,10.000000,201.011903,0.000000,0.000000,19.997872,19.994472,1.666638
3,L1,1.666638,3.079059,4.570430,1.082493,0.054071,10.000000,243.015146,0.000000,0.600000,-0.187158,-0.193713,1.666638
4,L2,1.666638,3.599301,4.459030,0.532758,0.014638,10.000000,189.899487,0.000000,0.600000,-0.133205,-0.139073,1.666638
5,L3,1.666638,1.269270,3.536460,0.737304,-1.349790,27.393654,195.612290,0.000000,0.000000,0.091288,0.118044,1.666638
6,L4,1.666638,6.296995,0.055178,0.257140,0.269042,10.000000,257.965259,0.000000,1.000000,0.000000,-0.008866,1.666638
7,L5,1.666638,5.550675,1.163699,0.855906,-1.263663,10.000000,228.338998,0.000000,1.000000,0.000000,0.024964,1.666638
8,Mi1,1.666638,3.718479,5.475913,1.846375,-7.967099,13.276487,192.025763,0.000000,0.000000,-6.553385,-6.464951,1.666638
9,Tm3,1.666638,3.195647,-0.535504,0.961539,-1.632758,10.000000,199.798021,0.000000,0.000000,0.616716,0.796484,1.666638
10,Mi4,1.666638,7.976209,-0.588974,2.394382,0.554473,10.000000,198.438816,0.000000,0.000000,-1.617098,-0.819592,1.666638
11,Mi9,1.666638,4.463394,4.020923,1.557103,2.874590,28.415141,207.165820,0.000000,0.000000,2.288489,2.269580,1.666638
12,T4a,1.666638,3.917663,4.297053,1.044404,-0.320386,40.862593,201.278523,0.000000,0.000000,0.725077,0.722688,1.666638
13,T4b,1.666638,0.100000,-0.430945,1.002951,-0.109424,50.318443,190.851799,0.000000,0.000000,-3.971218,-4.027808,1.666638
14,T4c,1.666638,0.100000,-3.665109,0.951662,-0.246121,48.295434,196.109476,0.000000,0.000000,-2.840605,-2.873291,1.666638
15,T4d,1.666638,1.103130,-1.553305,0.967111,-0.098026,51.614784,200.965016,0.000000,0.000000,-0.316517,-0.322184,1.666638
16,Tm1,1.666638,3.459970,-7.225572,1.680153,6.970183,10.000000,191.640947,0.000000,0.000000,6.316547,6.240169,1.666638
17,Tm2,1.666638,1.175236,0.231095,1.109592,9.798431,10.000000,195.347683,0.000000,0.000000,9.341013,9.311802,1.666638
18,Tm4,1.666638,6.575366,-3.844658,0.861438,0.830859,10.000000,205.077000,0.000000,0.000000,-0.259616,-0.335750,1.666638
19,Tm9,1.666638,6.299754,-3.638005,1.459922,3.335157,30.248116,197.862835,0.000000,0.000000,1.422343,1.402239,1.666638
20,T5a,1.666638,8.585407,-0.984856,1.025192,-0.287758,26.719491,199.336419,0.000000,0.000000,5.715844,5.701934,1.666638
21,T5b,1.666638,5.541468,4.184474,1.014709,0.131288,99.898579,208.663275,0.000000,0.000000,2.047989,2.047509,1.666638
22,T5c,1.666638,0.100000,-1.587848,0.953146,-0.328248,51.862977,197.163777,0.000000,0.000000,0.053995,0.053209,1.666638
23,T5d,1.666638,0.100000,-1.371761,1.012898,0.053573,49.742125,194.025651,0.000000,0.000000,0.044151,0.043388,1.666638
24,T1,1.666638,2.217875,4.631321,1.016804,-0.107724,20.559708,206.926479,0.000000,0.000000,0.046937,0.036916,1.666638
25,T2,1.666638,4.253568,-1.079491,0.973063,-0.180593,78.044139,198.157831,0.000000,0.000000,1.314576,1.480989,1.666638
26,T2a,1.666638,5.240193,1.875371,1.001463,-0.327150,44.586525,197.434881,0.000000,0.000000,-0.048154,-0.044787,1.666638
27,T3,1.666638,3.210289,2.792862,0.982881,-0.397106,37.648646,194.009514,0.000000,0.000000,-0.092516,-0.094204,1.666638
28,C2,1.666638,6.295021,-0.085745,0.997220,-0.459402,10.000000,190.478620,0.000000,0.000000,2.582273,2.641631,1.666638
29,C3,1.666638,4.709773,3.566146,1.008080,0.156000,10.000000,194.923781,0.000000,0.000000,-3.145517,-3.122546,1.666638
30,Lawf1,1.666638,6.075634,0.039335,0.978640,0.296817,10.000000,201.975658,0.000000,0.000000,0.132569,0.175355,1.666638
31,Lawf2,1.666638,0.214190,-3.252513,1.022117,-0.215005,50.752110,203.812938,0.000000,0.000000,0.000541,0.005538,1.666638
32,Dm3v,1.666638,8.281548,-1.694615,0.980258,0.410456,32.511822,194.486682,0.000000,0.000000,2.582957,2.651765,1.666638
33,Lai,1.666638,0.100000,-1.460759,0.986531,-0.328814,49.507484,201.507392,0.000000,0.000000,-1.156148,-1.167222,1.666638
34,Mi10,1.666638,0.100000,-1.722924,0.972012,-0.270144,51.180956,207.490775,0.000000,0.000000,-7.986582,-8.088708,1.666638
35,Mi13,1.666638,10.000000,3.390073,1.037704,0.429103,69.295214,198.996142,0.000000,0.000000,-2.091487,-2.128645,1.666638
36,Mi14,1.666638,3.102965,3.732488,1.025495,0.427609,100.000000,192.132604,0.000000,0.000000,0.016688,0.018603,1.666638
37,Mi15,1.666638,0.679902,-1.097833,1.025763,-0.094933,53.619208,197.520994,0.000000,0.000000,-1.898956,-1.919957,1.666638
38,Mi2,1.666638,9.116798,2.144251,1.045066,0.305428,10.000000,190.957503,0.000000,0.000000,0.469410,0.472236,1.666638
39,Tm16,1.666638,0.100000,-0.697394,0.993510,-0.302482,51.754551,207.339146,0.000000,0.000000,-1.094195,-1.122332,1.666638
40,Tm20,1.666638,6.960911,1.338012,0.972706,0.121799,100.000000,204.581421,0.000000,0.000000,0.025276,0.033328,1.666638
41,Tm21,1.666638,2.402082,-2.130387,1.011669,-0.290506,36.477589,192.865765,0.000000,0.000000,-2.254439,-2.270881,1.666638
42,Tm27,1.666638,3.862833,0.038437,1.027835,0.237353,60.541493,203.297648,0.000000,0.000000,0.812514,0.845879,1.666638
43,Tm5a,1.666638,0.100000,-2.174793,1.020296,0.259525,51.238741,198.813222,0.000000,0.000000,-0.059313,-0.058576,1.666638
44,Tm5b,1.666638,7.748428,3.918818,1.021129,0.348550,10.000000,193.552953,0.000000,0.000000,-0.339770,-0.333343,1.666638
45,Tm5c,1.666638,3.924130,-0.594983,0.981262,0.369304,10.000000,199.563472,0.000000,0.000000,0.849309,0.898616,1.666638
46,Tm5f,1.666638,4.972262,5.233077,1.003935,-0.393291,12.342818,202.716533,0.000000,0.000000,0.108515,0.142507,1.666638
47,TmY10,1.666638,8.140390,2.326216,0.983983,-0.186627,10.000000,196.305998,0.000000,0.000000,-0.288690,-0.385846,1.666638
48,TmY11,1.666638,1.015353,-1.942910,1.012806,0.482356,53.236181,197.306783,0.000000,0.000000,-22.379709,-22.648644,1.666638
49,TmY14,1.666638,8.600161,1.026680,1.028120,-0.174084,100.000000,207.314734,0.000000,0.000000,1.302455,1.337498,1.666638
50,TmY15,1.666638,10.000000,-7.094634,1.016290,-0.402850,34.745220,197.444475,0.000000,0.000000,0.983097,1.295519,1.666638
51,TmY3,1.666638,6.870976,-1.307906,1.024296,-0.431479,47.308468,207.849838,0.000000,0.000000,-1.818753,-1.956935,1.666638
52,TmY4,1.666638,10.000000,-4.938781,0.956771,0.157325,59.815713,208.876236,0.000000,0.000000,3.164568,3.147743,1.666638
53,TmY5a,1.666638,4.633691,2.364999,0.980777,0.247300,44.014626,206.658649,0.000000,0.000000,5.910242,6.102826,1.666638
54,TmY9q,1.666638,5.308073,-0.399923,1.021620,-0.223454,84.220389,196.217356,0.000000,0.000000,2.305706,2.433689,1.666638
55,TmY9q__perp,1.666638,9.951394,-0.062176,1.025882,-0.130591,17.807728,193.220240,0.000000,0.000000,7.619168,7.704897,1.666638
