idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,11.933244,1.771327,-19.402355,0.969167,0.261278,10.000000,199.931781,0.000000,0.000000,19.980176,19.980189
1,R7,11.933244,0.100000,-29.817838,1.032288,0.492829,21.749275,192.261473,0.000000,0.000000,20.013558,20.013557
2,R8,11.933244,5.073551,-29.886321,0.960196,0.295867,100.000000,205.525888,0.000000,0.000000,20.035225,20.035225
3,L1,11.933244,0.461758,10.869890,3.786670,-0.133254,10.000000,181.772542,0.000000,0.600000,-0.825139,-0.824695
4,L2,11.933244,0.124657,10.766416,6.317929,0.122012,10.000000,168.078217,0.000000,0.600000,-1.461014,-1.462080
5,L3,11.933244,0.137660,20.949693,2.894753,-8.447212,66.929203,195.263600,0.000000,0.000000,-0.587209,-0.587116
6,L4,11.933244,0.100000,-1.645263,0.100000,0.063236,10.000000,355.898896,0.000000,1.000000,0.000000,-0.000068
7,L5,11.933244,0.100000,-14.872135,0.528847,-0.123295,23.268906,279.750849,0.000000,1.000000,0.000000,-0.000743
8,Mi1,11.933244,9.991812,5.168912,1.787377,-7.988465,10.000000,206.762936,0.000000,0.000000,-6.849301,-6.853515
9,Tm3,11.933244,0.325732,5.904658,0.690962,-4.212046,10.000000,194.108512,0.000000,0.000000,-4.221573,-4.225246
10,Mi4,11.933244,7.208249,0.015906,0.604997,0.731246,15.319890,194.531361,0.000000,0.000000,0.055210,0.056843
11,Mi9,11.933244,0.100000,-3.372921,3.482863,2.116012,18.645127,200.349292,0.000000,0.000000,2.365736,2.339327
12,T4a,11.933244,0.100000,-6.753465,0.955095,0.197017,10.000000,206.799241,0.000000,0.000000,1.341761,1.340413
13,T4b,11.933244,5.155508,-18.459324,0.981297,0.128687,10.000000,201.649506,0.000000,0.000000,1.473857,1.465007
14,T4c,11.933244,10.000000,-21.498117,0.978091,0.077657,10.000000,190.475675,0.000000,0.000000,1.308162,1.307972
