idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,14.208863,3.309412,-11.699176,0.961006,-0.297775,15.670057,196.652603,0.000000,0.000000,19.914141,19.913844
1,R7,14.208863,5.804233,-9.060283,1.028156,-0.343041,17.259610,202.385171,0.000000,0.000000,18.390475,18.393071
2,R8,14.208863,6.088778,-8.926947,1.023405,0.458790,10.000000,209.285029,0.000000,0.000000,15.999632,16.036645
3,L1,14.208863,9.488638,5.610799,0.603816,-0.397907,10.000000,183.751492,0.000000,0.600000,-1.226485,-1.306736
4,L2,14.208863,8.439683,2.596380,0.803931,-0.647629,13.650113,195.132901,0.000000,0.600000,-2.017150,-2.196732
5,L3,14.208863,5.405868,2.330163,0.561773,-2.837064,19.236934,200.393502,0.000000,0.000000,-0.531033,-0.487188
6,L4,14.208863,4.223175,3.698282,0.745824,1.538707,10.000000,224.563179,0.000000,1.000000,0.000000,-0.236285
7,L5,14.208863,7.806568,4.170945,0.517851,-0.774188,10.000000,195.625465,0.000000,1.000000,0.000000,0.092920
8,Mi1,14.208863,6.094710,4.548545,0.596922,-1.961511,32.762267,202.878401,0.000000,0.000000,-1.462542,-1.348974
9,Tm3,14.208863,6.640680,-0.461653,0.720947,-4.536180,10.000000,192.184345,0.000000,0.000000,-0.163459,0.237078
10,Mi4,14.208863,10.000000,-1.844022,1.097346,0.931456,10.000000,193.317901,0.000000,0.000000,0.134338,-0.226977
11,Mi9,14.208863,9.067716,3.847332,1.319976,0.568488,14.778148,206.918548,0.000000,0.000000,0.386571,0.559370
12,T4a,14.208863,4.577086,-0.376234,1.028958,-0.248822,24.843640,196.989898,0.000000,0.000000,-0.105399,-0.307132
13,T4b,14.208863,4.904775,4.981171,1.044861,-0.007207,13.265312,199.390831,0.000000,0.000000,-0.263635,-0.420593
14,T4c,14.208863,2.635878,2.575690,0.958691,0.322095,10.000000,198.216473,0.000000,0.000000,0.154311,0.023353
