edge_idx,src_node,tar_node,source_cell,target_cell,syn_sign,syn_strength_edge
0,4149,7099,Mi1,T4c,1,1.044800
1,2933,5406,T2,TmY5a,1,0.962827
2,11321,77,Mi1,Tm27,1,0.100000
3,1796,8183,T5a,TmY14,1,1.983542
4,11184,14036,Tm9,T5a,1,0.999316
5,7531,2084,Tm2,T5c,1,1.015512
6,6496,13514,L4,Tm2,1,1.574286
7,5373,7279,Tm2,T5b,1,0.986352
8,3008,13904,Mi13,Tm1,-1,6.914896
9,1379,2971,Tm3,T4a,1,9.640288
10,1555,5767,L5,Mi4,1,2.102018
11,6074,257,Tm9,T5a,1,1.031526
12,9478,758,Mi2,Tm21,-1,0.969130
13,13540,3328,L2,Tm4,1,6.374946
14,2762,7676,Tm1,T2a,1,0.100000
15,5210,7414,Tm1,Mi4,1,4.256717
16,6201,9133,Mi4,TmY5a,-1,1.039477
17,3609,4307,L1,Tm3,-1,5.764182
18,3107,12495,Mi9,T4a,-1,7.248054
19,6271,12942,L5,Tm1,1,0.100000
20,8433,1305,Tm1,T5d,1,0.979938
21,10386,7141,Lawf2,C3,1,0.100000
22,9354,8325,R1-6,L2,-1,2.432888
23,14214,2401,R7,L3,-1,2.151998
24,8530,8421,TmY15,TmY14,-1,0.492652
25,5588,5249,TmY15,T4b,-1,3.633989
26,7159,8102,Tm3,Mi1,1,0.100000
27,714,3595,Tm5c,Mi15,-1,1.111622
28,3449,5198,Tm2,T2,1,0.100000
29,6534,3591,Mi9,T4a,-1,4.651437
30,6959,10664,R7,R8,-1,8.966727
31,2997,1086,L5,TmY3,1,0.965177
32,7893,4230,Tm2,L5,1,0.100000
33,12277,14480,Tm9,T5b,1,0.975874
34,838,3000,Mi9,Mi4,-1,0.261786
35,7518,11500,L2,Tm4,1,8.452956
36,6488,8605,L4,TmY3,1,2.283003
37,1005,5286,C3,Lai,-1,0.994220
38,9452,9411,L4,L2,1,0.100000
39,6025,5812,Tm3,T4a,1,0.100000
40,7838,4758,Mi15,Mi4,1,0.157111
41,14176,6904,Tm4,TmY14,1,1.035165
42,11063,11161,L5,Tm3,1,4.804585
43,7662,7628,T5b,T5b,1,1.008581
44,1976,5345,C3,Tm1,-1,2.424407
45,4327,6205,Mi9,Mi15,-1,0.978454
46,8873,9091,Tm2,Tm4,1,0.100000
47,2747,5557,L4,L2,1,10.000000
48,3866,13339,Tm4,T5d,1,0.983775
49,5637,13070,C2,T1,-1,1.020711
50,549,1280,Tm9,T5c,1,0.986145
51,13021,22,R1-6,L2,-1,2.490430
52,6296,2369,L2,L5,1,0.100000
53,9116,7203,Mi1,T4c,1,3.680978
54,3564,12626,T4a,C3,1,0.100000
55,3096,4316,Mi1,T4c,1,3.232743
56,6217,11735,TmY15,TmY3,-1,0.100000
57,11747,5052,Mi4,Tm20,-1,0.968740
58,14023,10557,L5,C2,1,1.369281
59,1988,12721,Mi1,T4b,1,0.100000
60,6902,7900,Tm2,L5,1,0.100000
61,3238,5479,R1-6,L1,-1,2.347298
62,8854,4703,Tm3,TmY5a,1,6.348237
63,1774,3316,L4,L2,1,4.379777
64,13118,1948,Mi1,Mi2,1,0.969030
65,5466,8907,L5,Tm21,1,1.044280
66,1167,14503,Tm3,T4a,1,0.641663
67,12044,10420,Tm4,TmY15,1,0.496460
68,3396,984,Mi1,C2,1,1.581244
69,8334,11803,Tm2,T5d,1,0.100000
70,7980,9692,Tm20,Mi9,1,0.961520
71,10157,9178,R1-6,L2,-1,3.654700
72,4590,11509,C3,T1,-1,0.990529
73,9249,10592,Mi9,T4c,-1,1.032912
74,11120,9384,Dm3v,TmY4,-1,1.047040
75,7027,5405,TmY10,TmY4,1,1.033795
76,14453,10269,L3,Dm3v,1,0.971453
77,7551,9236,C3,L2,-1,0.100000
78,886,8754,TmY10,TmY11,1,0.303850
79,7670,8755,C3,Mi9,-1,0.981924
80,8993,2487,R1-6,L1,-1,0.751106
81,1979,6685,L4,L2,1,3.263476
82,13914,9349,C2,L5,-1,0.100000
83,11884,562,Tm9,T5d,1,0.964189
84,2164,13066,Tm1,T5b,1,0.978952
85,4068,5369,L5,T2,1,0.100000
86,143,5746,C3,Tm4,-1,4.689425
87,14208,13160,Mi15,Mi2,1,0.966451
88,4819,2264,Tm21,TmY5a,1,0.981268
89,8181,3951,Tm1,T5a,1,1.000015
90,7278,5843,Mi1,Tm27,1,1.031441
91,10168,9084,R1-6,T1,-1,0.997832
92,6166,4467,C3,L2,-1,0.988135
93,12460,5907,Tm9,T5b,1,0.980314
94,6871,6731,L2,L5,1,0.100000
95,3736,9883,L5,C3,1,0.100000
96,9862,12690,L5,Mi1,1,6.448242
97,13140,10094,C2,Tm1,-1,0.102023
98,6347,3210,T2,Tm5c,1,0.926006
99,9667,14460,L2,Tm1,1,5.187312
100,12897,10181,R1-6,Lai,-1,5.582522
101,8563,8906,Tm1,T2a,1,0.971645
102,7438,13388,L4,Tm2,1,2.907190
103,2295,4004,Tm1,T5b,1,1.020034
104,10088,2838,TmY10,Mi4,1,0.100000
105,11990,5681,R1-6,L2,-1,2.174632
106,214,643,Lai,T1,1,0.332986
107,3804,213,Tm1,T3,1,1.049843
108,9716,6651,R1-6,L3,-1,0.883975
109,9884,3153,TmY11,TmY15,1,1.693714
110,9310,4947,Tm9,T5a,1,0.998660
111,8532,12068,Tm4,TmY3,1,1.003063
112,6036,9876,Mi1,T2a,1,3.470763
113,6246,3280,Tm3,T4c,1,0.100000
114,11153,8212,Tm16,Lawf1,1,0.964532
115,2988,2958,L4,L2,1,8.553305
116,11977,5786,Tm1,Tm4,1,4.888574
117,14180,2595,R1-6,L2,-1,2.840830
118,13236,5127,Lai,L3,-1,2.490474
119,5625,6197,L2,Tm4,1,1.016255
120,4976,4822,Mi1,T4a,1,0.100000
121,2306,14352,Mi1,T4a,1,1.174869
122,1591,12563,Tm9,T5c,1,0.971479
123,1167,974,Tm3,TmY3,1,0.495379
124,10413,10619,C3,Lai,-1,1.023863
125,1830,12224,Tm4,T5a,1,3.051576
126,11320,12348,Tm3,T3,1,1.004036
127,12610,9603,T4a,C3,1,0.100000
128,4540,4515,Mi1,T4d,1,1.036899
129,11464,10842,Mi1,T3,1,0.956038
130,6895,3132,L2,T2a,1,0.335663
131,7132,2287,Tm1,T5d,1,0.979013
132,5284,12108,Tm5c,Tm21,-1,1.258326
133,835,1487,L5,Tm3,1,4.008448
134,8080,128,L1,L2,-1,0.971450
135,13047,9753,Lawf2,L5,1,5.289796
136,13994,1039,Mi13,L5,-1,0.108727
137,12004,8591,Mi1,T4a,1,0.144944
138,4253,10392,L4,L2,1,0.277892
139,6358,11075,TmY3,TmY14,1,7.497172
140,3945,12079,Mi9,TmY11,-1,0.978589
141,13652,8280,C3,L2,-1,10.000000
142,7908,2278,T4c,TmY5a,1,1.039831
143,6038,6021,C2,L2,1,0.100000
144,3621,13761,R8,Mi4,-1,0.100000
145,9652,4243,Mi4,T4c,-1,5.922170
146,13479,4316,Mi1,T4c,1,3.131705
147,2076,5793,Lai,R1-6,-1,0.100000
148,3401,7833,R7,R8,-1,4.392425
149,3409,6713,Mi1,L5,1,1.633623
150,12559,13804,Tm1,T3,1,0.994334
151,7832,6307,Tm2,T5c,1,0.974520
152,6152,4547,Mi9,Tm21,-1,2.460650
153,10083,13017,Mi9,T4b,-1,0.162552
154,5746,3290,Tm4,C3,1,0.100000
155,13727,9122,Mi1,TmY3,1,0.643295
156,3164,3978,Tm4,Tm21,1,0.445958
157,2129,856,Tm2,T2,1,1.038512
158,1850,11301,Tm9,T5d,1,0.991256
159,7102,12346,Tm4,TmY15,1,2.405753
160,4436,12057,Tm1,TmY9q__perp,1,1.006849
161,3665,4732,Mi4,Tm9,-1,8.559155
162,9659,14503,Mi9,T4a,-1,3.235291
163,10011,11571,C3,T4a,-1,1.048671
164,12818,5332,Tm3,TmY5a,1,1.024365
165,4434,502,C2,L3,-1,2.437221
166,4768,7227,R7,Tm5b,-1,0.410176
167,4833,11547,Tm3,T3,1,1.049398
168,1458,4219,L3,Mi9,1,4.745101
169,6586,13982,C3,Tm4,-1,2.513244
170,2759,13976,L2,L5,1,4.704224
171,275,361,TmY11,TmY9q__perp,1,1.008443
172,3617,3167,L4,TmY3,1,0.450323
173,9697,12362,Tm20,Tm5f,1,1.015160
