idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,16.163609,4.160369,-16.186680,0.961006,-0.297775,15.040157,196.652603,0.000000,0.000000,20.232150,20.234422
1,R7,16.163609,4.776422,-10.051068,1.028156,-0.343041,10.000000,202.385171,0.000000,0.000000,18.494123,18.468836
2,R8,16.163609,5.356355,-11.874766,1.023405,0.458790,10.000000,209.285029,0.000000,0.000000,16.919075,16.900235
3,L1,16.163609,9.737548,6.636678,0.818629,0.111870,10.000000,218.725419,0.000000,0.600000,-0.161036,-0.871856
4,L2,16.163609,8.607515,4.053886,1.075140,-0.512544,10.000000,243.159381,0.000000,0.600000,-0.765673,-1.747885
5,L3,16.163609,3.227443,4.872925,0.805528,-3.668169,27.017769,200.393502,0.000000,0.000000,5.304160,-2.566952
6,L4,16.163609,5.661513,4.373159,0.738449,0.438119,10.000000,260.774010,0.000000,1.000000,0.000000,-1.003036
7,L5,16.163609,9.596211,2.773105,0.555263,-0.232202,10.000000,166.578932,0.000000,1.000000,0.000000,0.766539
8,Mi1,16.163609,6.415760,5.511295,1.003759,-5.026503,10.000000,202.878401,0.000000,0.000000,-4.879450,-4.540614
9,Tm3,16.163609,4.304796,2.708344,1.196387,-6.812686,10.000000,192.184345,0.000000,0.000000,-6.266813,-3.691329
10,Mi4,16.163609,10.000000,-2.504603,1.340418,1.366144,10.000000,193.317901,0.000000,0.000000,-0.319665,0.793556
11,Mi9,16.163609,9.040656,2.155085,1.952962,1.864058,10.000000,206.918548,0.000000,0.000000,4.084666,1.365020
12,T4a,16.163609,5.249463,1.640012,1.028958,-0.248822,10.000000,196.989898,0.000000,0.000000,-2.471925,-1.578069
13,T4b,16.163609,4.244270,4.457574,1.044861,-0.007207,10.000000,199.390831,0.000000,0.000000,-2.437084,-1.461234
14,T4c,16.163609,2.327947,2.437592,0.958691,0.322095,10.197782,198.216473,0.000000,0.000000,-1.811459,-1.172152
15,T4d,16.163609,4.915947,-3.041399,1.046173,-0.197918,40.486212,201.038881,0.000000,0.000000,-0.515851,-0.459088
16,Tm1,16.163609,3.332335,1.924666,1.402735,2.061306,10.000000,209.511442,0.000000,0.000000,1.022705,0.424762
17,Tm2,16.163609,2.849148,0.082773,1.259048,5.580531,10.000000,208.523850,0.000000,0.000000,4.162740,3.331581
18,Tm4,16.163609,4.283146,-3.539532,1.003702,6.210844,10.000000,190.942608,0.000000,0.000000,4.481880,3.867696
19,Tm9,16.163609,4.743419,-2.207651,0.895444,0.671202,47.184645,208.644351,0.000000,0.000000,-0.416831,-0.053436
20,T5a,16.163609,5.704502,-2.780530,1.039823,-0.414985,32.285036,196.626792,0.000000,0.000000,2.625999,2.581725
21,T5b,16.163609,0.100000,-2.987142,1.028545,-0.224277,47.425915,207.441496,0.000000,0.000000,0.730819,0.708251
22,T5c,16.163609,0.775110,-2.466147,1.032353,-0.009670,61.051966,196.036543,0.000000,0.000000,1.037245,1.006695
23,T5d,16.163609,7.020750,-2.319693,1.034902,-0.096031,65.019737,206.242322,0.000000,0.000000,0.873338,0.950150
