,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,3.520063,1.959578,1.555992,3.271299,,,,,,,,,,,,,,,,,,10.000000,,,,2.705980,3.546208,,,,6.280223,,,,,,,,,,,,,,,,,,,,,,
R7,,,7.742997,6.388914,,3.696083,,,0.100000,,0.100000,6.557836,,,,,,,,,,,,,,,,,,0.100000,1.607875,,,3.017588,10.000000,,,0.100000,1.002638,,1.636477,,1.589092,0.337001,1.716561,0.623138,1.043360,,,,,,,,,
R8,,0.820213,9.866832,9.653621,0.100000,3.589373,,0.100000,0.100000,,0.100000,8.188587,,,,,,,,,,,,,1.023424,,,,0.100000,0.100000,7.509622,9.078388,,,3.752840,,10.000000,0.100000,1.045626,,2.011231,0.969024,,,0.442808,0.100000,,8.143188,,0.969220,,,,,1.027848,
L1,0.334407,0.100000,3.068169,0.100000,0.477612,3.078042,0.100000,7.304202,1.156155,1.446297,0.100000,,,,,,0.100000,0.100000,,,,,,,2.333390,5.230565,1.043238,,7.901663,3.987322,,0.100000,,9.605821,,,,1.018590,0.991677,,,,1.017167,,,,,,,,,0.979527,,,,
L2,10.000000,,9.967632,0.100000,6.983450,3.577099,9.892416,0.100000,0.100000,0.100000,0.805596,0.759192,,,,,2.070979,2.349406,3.103612,,,,,,1.787005,1.145523,0.952439,,9.087972,7.917634,,,,6.677533,,0.100000,10.000000,,0.982970,,0.100000,,,,1.047563,,,,,,,1.030900,,,,
L3,,0.931724,0.100000,2.675541,3.740748,,,,0.102046,,0.100000,0.436830,,,,,2.287827,0.964466,0.389883,1.966020,,,,,0.249025,,,,0.100000,0.100000,0.295408,,1.043084,,0.841625,0.100000,,0.973782,1.049097,0.985678,0.100000,1.030141,0.959012,1.040541,0.985774,3.327145,1.015789,4.010933,,,,,1.025225,,1.005972,0.988411
L4,0.963478,,,1.032967,0.100000,1.102647,1.038854,1.042601,0.975012,,,1.725256,,,,,1.044075,0.100000,1.018533,0.995845,,,,,,0.952405,,,,0.996936,0.955236,1.040610,,,,0.976072,0.983197,,,,,,1.004700,,,,,,,,,0.996389,,,,
L5,,,,4.811326,0.100000,,,0.100000,7.096059,4.041729,7.706762,0.100000,,,,,0.100000,0.176100,0.100000,,,,,,10.000000,0.242223,0.954358,,1.265753,6.452490,0.333371,0.100000,,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,,0.100000,0.100000,0.203722,,1.215317,,,,0.954530,1.039014,9.839228,0.360420,,10.000000,,
Mi1,,10.000000,0.100000,5.343536,8.362604,,,0.100000,9.007021,0.100000,10.000000,0.100000,0.100000,0.258472,0.100000,8.603063,0.100000,3.661857,0.358459,,,,,,0.999043,0.634017,0.100000,0.100000,2.909116,3.390766,0.100000,0.486745,0.100000,,0.100000,0.100000,0.100000,0.123983,0.100000,,0.127151,0.629370,0.100000,,,10.000000,,0.100000,1.049145,0.953926,7.810466,1.024495,7.794122,0.100000,0.100000,0.959642
Tm3,,,,0.100000,6.783587,,,,1.120048,5.778181,1.984935,0.100000,2.373006,0.251480,5.868222,10.000000,,,1.887912,,,0.988686,,0.968193,,1.574183,0.100000,0.100000,1.049206,10.000000,0.100000,2.773239,,,0.100000,0.100000,0.100000,,,0.182628,,,0.131379,,,,2.022181,,1.015112,0.100000,9.032393,0.381499,,3.319979,,
Mi4,,,,,0.100000,2.401636,,0.100000,0.100000,1.182667,2.461824,0.874180,0.978022,1.244705,3.126171,10.000000,2.266090,0.100000,0.100000,7.342264,,,,,3.120027,,0.997414,,0.966951,10.000000,8.707617,5.495035,1.023072,,8.454373,,9.810527,,1.023819,1.870745,1.880985,,1.862098,10.000000,1.509869,0.100000,1.973463,10.000000,1.038255,,0.844337,1.621423,1.039094,0.100000,,
Mi9,,,,,,5.792326,1.906919,,2.572082,0.732374,7.957188,,2.841620,1.552138,6.004866,7.190979,0.100000,1.185347,1.933170,0.100000,,,,,,2.574684,2.317197,0.100000,0.100000,,0.100000,0.100000,0.957529,,0.100000,,0.327692,0.100000,,1.808183,1.036452,1.482678,1.880411,0.100000,1.748236,,1.004194,,1.019818,1.030158,,1.643395,0.961764,0.493806,0.463496,
T4a,,,,,,,,,,,,2.431152,6.308452,1.023377,10.000000,0.987087,,,,,1.031948,,,,,,,,,0.100342,,,,,,0.100000,,,,,,,0.958912,,,,,,,0.100000,,,,,0.987479,1.029961
T4b,,,,,,,,,0.347159,,0.902110,0.551464,0.996973,1.800642,,0.986857,,,,,,0.372647,,,,,,,,,,,,,,0.958074,,,,,,,0.982681,,,,,,1.003997,1.030198,1.830140,,,,,
T4c,,,,,,,,,,,,0.328385,,,3.413595,,,,,,,,1.019547,1.294744,,1.002591,,,,,,,,,,,,,,,,,,,,,,,,0.986423,6.330908,,0.556888,2.182583,,
T4d,,,,,,,,,1.782749,,,,,,0.953545,0.255580,,,,,,,,7.056181,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000,7.031646,,7.644627,10.000000,,
Tm1,,,,,0.100000,,,0.100000,0.216716,2.193827,0.100000,3.403642,,,1.018588,,0.100000,0.100000,0.100000,9.456007,0.225851,1.767014,0.100000,7.256316,1.501584,3.414356,0.100000,8.637649,0.100000,10.000000,,7.367829,0.100000,,10.000000,5.562750,,0.966551,1.037348,0.241668,0.100000,0.794069,0.230808,1.011244,,,0.989529,2.283991,,0.988411,,1.646789,0.100000,0.871780,0.172430,0.228843
Tm2,,,,10.000000,0.100000,,,10.000000,0.100000,0.100000,0.100000,1.011246,1.016729,,3.162666,,0.452130,,0.100000,5.008490,0.263080,0.100000,0.476922,10.000000,1.001766,0.100000,1.043843,0.305600,,0.100000,0.100000,10.000000,0.985273,,,0.100000,,,0.975062,,,1.048143,0.252439,,,,,,0.997593,0.955706,1.770064,0.410838,0.100000,0.100000,1.598110,0.255986
Tm4,,,,,3.688966,,,,1.606146,0.100000,6.022665,,,,,,0.100000,7.159621,10.000000,,0.409645,0.100000,1.986191,0.779439,0.951386,1.007636,1.004167,0.100000,0.100000,9.480848,,0.100000,,,0.814975,4.234476,4.599426,,0.956619,,,0.993249,0.431822,,,,,,1.037353,1.014630,0.100000,0.427694,,0.100000,,0.985937
Tm9,,,,,,1.012207,,,,,0.965967,0.100000,,,,,0.952369,1.049078,0.997766,0.954647,0.973333,0.100000,1.011787,1.027167,,0.970741,0.962640,,,,,,0.992426,,,,,,,,1.029315,1.014947,,,,1.032586,1.032363,,,1.031251,1.040997,,1.005443,,0.971082,0.989989
