idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.772777,2.854041,1.617691,0.981760,0.000000,50.354742,202.754502,0.000000,0.000000,20.247758,20.252780
1,R7,2.772777,0.157201,-1.474399,1.022294,0.000000,50.044398,203.147045,0.000000,0.000000,8.945425,8.883175
2,R8,2.772777,2.526336,1.735333,1.013978,0.000000,54.782970,203.644396,0.000000,0.000000,27.792799,27.972519
3,L1,2.772777,0.961170,-0.489268,0.676607,0.000000,48.233314,190.629914,0.000000,0.600000,-60.983828,-61.052980
4,L2,2.772777,0.956961,-0.178172,0.413855,0.000000,47.248287,208.305660,0.000000,0.600000,-82.087661,-82.611925
5,L3,2.772777,3.444366,2.935054,2.125984,0.000000,50.604928,193.906725,0.000000,0.000000,244.725990,249.871988
6,L4,2.772777,0.434775,-0.539279,0.322950,0.000000,45.983402,192.103239,0.000000,1.000000,0.000000,-0.001461
7,L5,2.772777,0.270354,-0.731935,0.375736,0.000000,51.594757,191.759896,0.000000,1.000000,0.000000,0.001688
8,Mi1,2.772777,0.911009,-0.010463,0.975402,0.000000,51.882334,207.227060,0.000000,0.000000,50.920674,52.028488
9,Tm3,2.772777,0.548286,-0.394444,0.968618,0.000000,49.517147,208.795289,0.000000,0.000000,11.984964,12.252609
10,Mi4,2.772777,0.433072,-1.038368,0.980865,0.000000,51.659561,200.782202,0.000000,0.000000,-0.271681,-0.201706
11,Mi9,2.772777,0.157393,-1.692445,0.980272,0.000000,46.315378,203.099464,0.000000,0.000000,29.946399,30.615357
12,T4a,2.772777,1.284517,0.121274,0.995115,0.000000,48.712713,202.522570,0.000000,0.000000,11.639543,11.902997
13,T4b,2.772777,0.365276,-0.524649,0.984456,0.000000,48.749452,207.195136,0.000000,0.000000,6.176830,6.316724
14,T4c,2.772777,0.273274,-0.732318,0.992230,0.000000,50.425810,204.018078,0.000000,0.000000,6.305390,6.447687
15,T4d,2.772777,0.367919,-0.418573,0.953364,0.000000,48.749544,199.681198,0.000000,0.000000,8.126579,8.312341
16,Tm1,2.772777,0.861553,-0.231163,1.031550,0.000000,50.054676,200.676812,0.000000,0.000000,-4.715986,-4.826492
17,Tm2,2.772777,1.367395,0.028591,1.036168,0.000000,47.790747,193.341282,0.000000,0.000000,0.067428,0.067323
18,Tm4,2.772777,3.078809,2.348794,0.963796,0.000000,48.798588,196.398097,0.000000,0.000000,-2.268247,-2.329684
19,Tm9,2.772777,3.877500,3.250263,0.964248,0.000000,50.333686,195.017478,0.000000,0.000000,242.481859,247.717920
20,T5a,2.772777,3.350215,2.645413,0.981199,0.000000,51.814279,199.869324,0.000000,0.000000,261.253318,266.998818
21,T5b,2.772777,0.215756,-0.547218,0.960651,0.000000,48.747723,203.021247,0.000000,0.000000,16.317973,16.692477
22,T5c,2.772777,0.924873,-0.786432,0.989503,0.000000,50.013239,198.686703,0.000000,0.000000,76.818534,78.515598
23,T5d,2.772777,0.157379,-0.769996,1.041771,0.000000,51.268833,202.146743,0.000000,0.000000,9.305780,9.511258
24,T1,2.772777,1.105217,-0.150938,1.046574,0.000000,49.785741,196.584587,0.000000,0.000000,68.666947,70.128950
25,T2,2.772777,1.211734,-0.109754,1.027212,0.000000,49.961685,201.278297,0.000000,0.000000,3.996826,4.082031
26,T2a,2.772777,1.162556,-0.029307,0.961143,0.000000,48.721375,195.475375,0.000000,0.000000,9.606237,9.820442
27,T3,2.772777,1.768324,0.895808,1.030954,0.000000,52.462782,193.454691,0.000000,0.000000,13.951810,14.251369
28,C2,2.772777,1.423083,0.285556,1.046008,0.000000,52.522557,195.448066,0.000000,0.000000,4.172645,4.261542
29,C3,2.772777,1.801777,0.550727,0.981598,0.000000,48.370126,206.747955,0.000000,0.000000,32.716377,33.433732
30,Lawf1,2.772777,3.950624,3.308950,0.992182,0.000000,52.497375,194.979996,0.000000,0.000000,278.444943,284.012006
31,Lawf2,2.772777,2.681890,1.855721,0.951943,0.000000,48.847231,208.268517,0.000000,0.000000,3.419189,3.476393
32,Dm3v,2.772777,0.718100,-0.716844,0.966900,0.000000,48.857992,207.774730,0.000000,0.000000,24.825119,25.372530
33,Lai,2.772777,3.641003,2.614192,0.971614,0.000000,50.184240,196.813490,0.000000,0.000000,-10.588602,-10.625435
34,Mi10,2.772777,3.695280,2.983859,1.049216,0.000000,50.028680,196.646983,0.000000,0.000000,34.096652,34.774111
35,Mi13,2.772777,0.337063,-1.106813,1.010359,0.000000,50.499926,199.960375,0.000000,0.000000,1.870274,1.901469
36,Mi14,2.772777,3.981557,3.310571,0.970779,0.000000,48.697754,207.436114,0.000000,0.000000,17.179740,17.469485
37,Mi15,2.772777,3.806807,3.149543,1.005228,0.000000,53.845572,203.793329,0.000000,0.000000,0.818065,0.843780
38,Mi2,2.772777,0.157395,-1.065874,0.957326,0.000000,48.273210,205.173872,0.000000,0.000000,4.535482,4.630039
39,Tm16,2.772777,3.968076,3.272385,0.964571,0.000000,54.213459,196.504001,0.000000,0.000000,2.387654,2.429479
40,Tm20,2.772777,0.390902,-0.530610,0.977255,0.000000,47.802300,200.968247,0.000000,0.000000,38.634421,39.536218
41,Tm21,2.772777,1.099175,-0.132881,0.983758,0.000000,50.771607,209.973529,0.000000,0.000000,1.676300,1.710063
42,Tm27,2.772777,3.645470,2.921627,1.001948,0.000000,52.979613,205.989591,0.000000,0.000000,29.793079,30.461303
43,Tm5a,2.772777,1.140431,0.417196,0.982755,0.000000,49.759403,200.033017,0.000000,0.000000,28.867364,29.439836
44,Tm5b,2.772777,2.483585,1.632596,1.044252,0.000000,53.380421,199.280152,0.000000,0.000000,7.849681,8.007652
45,Tm5c,2.772777,0.157391,-1.245135,1.042939,0.000000,47.646967,192.754738,0.000000,0.000000,16.700249,17.102571
46,Tm5f,2.772777,1.646002,0.528628,0.958054,0.000000,52.714702,204.873243,0.000000,0.000000,21.700936,22.174170
47,TmY10,2.772777,1.868806,0.502490,1.048278,0.000000,50.909351,204.664560,0.000000,0.000000,94.128784,96.097186
48,TmY11,2.772777,1.697952,0.341722,0.982317,0.000000,51.556859,202.559837,0.000000,0.000000,16.431302,16.743763
49,TmY14,2.772777,0.155652,-1.516121,0.984004,0.000000,47.881573,199.594223,0.000000,0.000000,9.926777,10.142649
50,TmY15,2.772777,0.157433,-0.924608,1.034237,0.000000,51.372195,200.127894,0.000000,0.000000,3.169260,3.233744
51,TmY3,2.772777,1.076097,-0.202336,1.039283,0.000000,52.488366,209.571026,0.000000,0.000000,4.730149,4.837303
52,TmY4,2.772777,0.236528,-0.449311,1.040906,0.000000,52.193336,190.611990,0.000000,0.000000,2.976489,3.036080
53,TmY5a,2.772777,0.157404,-0.784765,1.022773,0.000000,50.679210,192.285634,0.000000,0.000000,2.289284,2.337281
54,TmY9q,2.772777,0.499727,-0.986809,1.047567,0.000000,51.575929,191.288741,0.000000,0.000000,18.251172,18.654157
55,TmY9q__perp,2.772777,1.165736,-0.297212,1.000633,0.000000,47.996276,206.290735,0.000000,0.000000,27.526111,28.192454
