,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,1.192040,3.773435,0.100000,0.528421,,,,,,,,,,,,,,,,,,1.841638,,,,0.100000,4.187202,,,,2.765084,,,,,,,,,,,,,,,,,,,,,,
R7,,,10.000000,4.890473,,0.100000,,,0.341203,,0.659736,10.000000,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,3.960120,0.100000,,,0.100000,2.164202,,2.229732,,0.317006,0.215880,1.057231,10.000000,0.140374,,,,,,,,,
R8,,0.100000,10.000000,3.579551,0.100000,0.100000,,0.100000,1.164119,,0.100000,5.804899,,,,,,,,,,,,,3.291916,,,,0.100000,0.100000,0.100000,0.100000,,,0.100000,,0.181834,0.100000,1.283584,,2.364450,1.418836,,,1.292410,1.358377,,0.100000,,0.218395,,,,,0.955907,
L1,4.867892,0.100000,8.734309,10.000000,4.748071,0.100000,0.100000,7.325629,1.391457,1.522590,0.100000,,,,,,1.748957,0.100000,,,,,,,0.879448,0.714351,1.575727,,9.404695,1.234012,,0.100000,,0.100000,,,,9.995464,0.767664,,,,1.547868,,,,,,,,,1.382047,,,,
L2,1.640689,,6.793614,0.100000,9.255263,0.444710,10.000000,1.393093,1.728394,1.027567,2.361297,0.100000,,,,,0.867671,0.918866,0.984734,,,,,,0.139576,10.000000,0.985428,,0.100000,2.017406,,,,8.015584,,0.954660,0.744430,,0.974599,,0.159147,,,,0.965740,,,,,,,0.936086,,,,
L3,,0.100000,0.868597,0.801166,0.127281,,,,0.687179,,0.761569,0.438201,,,,,0.901416,0.338030,1.028921,2.875888,,,,,3.349176,,,,0.100000,1.272666,4.141628,,8.032655,,3.373783,0.411486,,0.864127,0.270887,1.164075,0.100000,0.975088,1.069756,1.220739,0.692368,0.827220,3.153740,2.922567,,,,,1.040053,,0.229197,10.000000
L4,10.000000,,,0.100000,0.366634,2.050840,0.100000,0.970694,0.100000,,,0.100000,,,,,0.100000,8.958390,9.324068,6.585887,,,,,,10.000000,,,,0.100000,2.166097,10.000000,,,,1.770836,0.980989,,,,,,1.048593,,,,,,,,,0.100000,,,,
L5,,,,2.784744,8.633385,,,0.245372,0.100000,0.370350,10.000000,1.026268,,,,,0.100000,2.121215,0.100000,,,,,,10.000000,10.000000,0.100000,,1.124953,0.100000,0.100000,0.100000,,0.100000,6.028515,0.978783,10.000000,0.100000,10.000000,,0.271098,10.000000,10.000000,,0.330459,,,,1.000502,0.100000,0.100000,4.678284,,2.158641,,
Mi1,,0.963083,0.172724,2.024704,2.869477,,,0.231353,0.551319,0.631002,1.397649,0.745655,0.100000,0.100000,0.633521,0.100114,0.614124,0.481086,2.559007,,,,,,2.294247,1.303020,1.313070,0.813039,0.100000,0.100000,2.415781,1.364684,2.201511,,1.181394,1.058963,0.100000,1.370525,1.420962,,0.547940,1.198992,1.057772,,,2.088801,,1.421798,1.009222,1.651011,1.626957,1.200984,0.100061,1.977858,1.221024,0.812552
Tm3,,,,1.077035,0.222043,,,,0.496299,0.100000,1.648147,1.343629,0.931053,0.100000,1.362429,0.370710,,,1.338960,,,0.996237,,0.989204,,1.457018,0.100000,0.100000,0.389376,3.180886,1.368215,1.449672,,,1.316729,2.195565,1.576812,,,0.335797,,,0.629082,,,,1.265439,,0.202234,1.317305,1.566753,0.638304,,1.289416,,
Mi4,,,,,2.104248,0.100000,,0.415464,2.872778,2.148281,0.183084,4.836915,1.171805,3.337483,2.013669,1.788866,0.517978,0.100000,0.100000,0.100000,,,,,7.759660,,0.100000,,0.100000,4.602671,0.100000,0.100000,7.164101,,0.341161,,2.845876,,0.269660,0.762983,1.855796,,0.933447,0.714823,1.186375,0.100000,0.226859,0.100000,0.763417,,0.422996,0.590626,0.960200,3.413690,,
Mi9,,,,,,0.100000,0.100000,,0.424561,1.523470,0.100000,,1.830631,2.829951,2.501178,2.109850,1.288779,0.100000,0.508289,1.739372,,,,,,1.481635,1.120660,0.283340,0.582784,,0.100000,0.100000,0.100000,,0.520365,,2.090334,0.719330,,0.777605,1.766081,0.335979,1.237343,1.481364,1.233652,,1.015933,,0.991692,0.959910,,0.909548,2.646941,4.730582,0.367367,
T4a,,,,,,,,,,,,0.544723,0.226497,1.015752,1.156348,0.979130,,,,,0.100000,,,,,,,,,1.578360,,,,,,0.659816,,,,,,,1.034564,,,,,,,0.913734,,,,,0.239449,9.699335
T4b,,,,,,,,,0.407181,,1.257965,0.753619,1.393331,0.100000,,1.027349,,,,,,1.321346,,,,,,,,,,,,,,2.747789,,,,,,,0.537526,,,,,,0.982280,1.199179,1.377785,,,,,
T4c,,,,,,,,,,,,0.655305,,,0.684636,,,,,,,,0.191668,0.985010,,1.103171,,,,,,,,,,,,,,,,,,,,,,,,0.633161,0.757926,,5.025640,1.011440,,
T4d,,,,,,,,,0.463005,,,,,,0.983713,0.100010,,,,,,,,0.453224,,,,,,,,,,,,,,,,,,,,,,,,,,0.725794,0.812480,,3.874972,1.056114,,
Tm1,,,,,0.100000,,,0.100000,0.687663,0.373156,1.059827,1.098206,,,1.028889,,2.150917,5.276192,0.439880,4.228668,0.784183,1.944628,3.316606,0.671399,9.980724,0.530745,1.800032,1.893128,9.150838,1.069148,,6.121642,0.100000,,1.083935,1.647204,,7.303937,0.627701,3.165460,0.613534,1.263079,0.612265,0.453399,,,0.921253,0.100000,,0.100000,,0.666709,3.571500,1.195763,1.124364,1.200064
Tm2,,,,10.000000,0.100000,,,0.880620,10.000000,0.349490,10.000000,0.100000,0.963785,,1.314980,,8.458188,,10.000000,10.000000,1.704558,10.000000,10.000000,0.100000,9.554363,9.550950,10.000000,0.835421,,9.666515,10.000000,0.307531,10.000000,,,1.026586,,,0.100000,,,10.000000,4.071378,,,,,,0.293423,0.100000,0.100000,6.221752,0.100000,2.294333,0.100000,9.639435
Tm4,,,,,0.100000,,,,0.100000,0.100000,7.929946,,,,,,0.736027,6.541642,4.165731,,0.781827,2.218388,3.702188,0.100000,0.748121,0.669981,7.914165,0.215006,10.000000,0.783118,,10.000000,,,4.336510,0.100000,10.000000,,0.328171,,,4.717284,1.342350,,,,,,3.168626,0.100000,0.225505,1.584564,,0.100000,,10.000000
Tm9,,,,,,2.933362,,,,,0.100000,1.210501,,,,,0.661936,0.570754,7.000057,5.225316,0.379073,1.196344,2.361989,0.291200,,2.280916,0.100000,,,,,,1.751071,,,,,,,,0.250735,1.359252,,,,1.439538,2.412962,,,2.169007,0.114452,,0.786002,,0.642077,0.833633
T5a,,,,,,,,,,,,,0.872208,,,,,0.523322,,,0.620924,0.100000,,,,3.197443,,,,,,,,,,,,,,,,,0.888825,,,,,,,0.670223,,,,1.702689,0.363231,0.743573
