,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,0.577003,4.634110,0.100000,10.000000,,,,,,,,,,,,,,,,,,0.100000,,,,10.000000,0.100000,,,,0.581234,,,,,,,,,,,,,,,,,,,,,,
R7,,,6.373477,2.564696,,0.100000,,,1.309627,,3.578795,10.000000,,,,,,,,,,,,,,,,,,10.000000,0.100000,,,10.000000,0.100000,,,0.110245,4.314845,,2.544746,,1.008267,1.394605,0.820752,1.865185,0.211037,,,,,,,,,
R8,,0.100000,3.199858,1.639591,0.100000,0.100000,,0.100000,1.515147,,4.906095,9.499495,,,,,,,,,,,,,0.100000,,,,0.100000,0.100000,0.100000,0.100000,,,0.100000,,7.156638,1.099966,2.169522,,2.139848,1.572500,,,3.267155,3.141639,,10.000000,,1.242558,,,,,0.950022,
L1,0.982942,0.990956,0.969859,1.004606,0.954820,0.987363,0.972842,1.819342,1.768042,1.842236,0.971868,,,,,,1.049382,0.953569,,,,,,,1.001277,1.027277,1.018106,,1.780696,1.823969,,0.984692,,0.987486,,,,1.039368,1.034228,,,,0.997212,,,,,,,,,1.004998,,,,
L2,3.694835,,1.030232,0.179779,0.997552,0.145249,6.202252,0.100000,0.971499,1.029167,1.027279,0.100000,,,,,0.100000,1.241994,0.100000,,,,,,0.183116,0.963766,0.996892,,0.100000,1.852815,,,,10.000000,,0.977885,1.029376,,0.997690,,0.813328,,,,0.957077,,,,,,,0.157238,,,,
L3,,1.368233,0.102839,2.910891,0.612916,,,,0.769354,,1.227667,1.866527,,,,,6.797689,9.978001,1.036661,1.049925,,,,,0.527498,,,,0.100000,0.813575,0.660630,,0.100000,,0.801499,1.000050,,1.598567,2.688284,2.247632,0.100000,1.036666,0.451448,0.704267,2.659345,1.727359,0.609851,2.423559,,,,,1.023185,,0.904315,8.827511
L4,0.961671,,,0.993129,1.018758,0.963976,0.990230,1.034377,1.017880,,,1.029437,,,,,0.985853,1.017795,1.018566,0.978645,,,,,,0.985641,,,,1.037065,1.043299,1.021529,,,,1.007139,1.021976,,,,,,0.986629,,,,,,,,,1.012521,,,,
L5,,,,0.100000,0.175754,,,5.585099,0.180947,0.100371,2.489729,0.100000,,,,,0.961523,0.979760,0.978543,,,,,,0.991452,0.103052,1.001421,,2.504378,7.837183,0.994687,1.027978,,0.100000,1.049118,1.023865,1.040551,3.995592,1.688478,,1.522962,0.206862,0.197116,,0.100000,,,,1.039300,2.295358,1.019326,0.193461,,1.023915,,
Mi1,,0.556460,0.100000,0.618515,4.216329,,,0.100000,0.612557,0.763090,1.549838,1.489442,0.100000,1.356524,1.253241,0.412812,2.077524,1.224714,0.100000,,,,,,3.093616,0.778986,0.385301,0.100000,1.818679,0.624722,4.285554,1.433135,1.719143,,0.602733,0.100000,1.041209,0.762602,3.192486,,0.100039,0.394627,0.606319,,,0.100000,,0.100000,0.991334,1.586482,1.528643,0.565991,0.427270,1.848995,2.328531,0.136917
Tm3,,,,0.107811,0.100000,,,,0.448511,0.939962,2.267380,1.314278,4.168892,1.481618,0.717319,0.263553,,,10.000000,,,0.998938,,1.044558,,0.914004,0.412954,0.603693,1.042276,9.049258,1.222645,4.932099,,,0.637768,1.385872,2.788319,,,8.107276,,,0.710002,,,,0.697023,,3.871840,1.585922,1.467096,0.549381,,1.211738,,
