idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.498780,0.521116,-3.594769,1.019755,0.000000,16.156548,201.943342,0.000000,0.000000,20.031659,20.031659
1,R7,1.498780,0.776362,-2.258535,1.021764,0.000000,14.508872,192.705571,0.000000,0.000000,18.621393,18.621393
2,R8,1.498780,1.050833,-3.901335,0.974141,0.000000,14.195612,209.220742,0.000000,0.000000,18.531158,18.531158
3,L1,1.498780,2.168457,28.931640,0.100000,0.000000,21.915251,194.431976,0.000000,0.600000,-0.255240,-0.255240
4,L2,1.498780,3.463348,29.497438,0.212387,0.000000,38.109377,187.554310,0.000000,0.600000,-2.454206,-2.454206
5,L3,1.498780,2.620115,29.458288,1.553095,0.000000,50.432771,204.888245,0.000000,0.000000,13.025596,13.025596
6,L4,1.498780,0.100000,-1.288444,0.100000,0.000000,10.000000,167.539872,0.000000,1.000000,0.000000,0.000000
7,L5,1.498780,2.652207,2.507891,0.126964,0.000000,28.328332,184.107562,0.000000,1.000000,0.000000,0.000000
8,Mi1,1.498780,1.743889,-1.157865,1.046459,0.000000,48.852344,200.615112,0.000000,0.000000,2.153492,2.153492
9,Tm3,1.498780,0.199566,-0.725688,1.034353,0.000000,53.079335,192.411986,0.000000,0.000000,-12.993752,-12.993752
10,Mi4,1.498780,0.820562,-1.496744,0.967007,0.000000,48.847729,204.968622,0.000000,0.000000,0.624735,0.624735
11,Mi9,1.498780,0.654202,-9.791843,0.956247,0.000000,48.700013,198.886541,0.000000,0.000000,8.985527,8.985527
12,T4a,1.498780,1.110538,-0.519052,1.047179,0.000000,46.924573,190.465124,0.000000,0.000000,0.557435,0.557435
13,T4b,1.498780,1.203088,-3.821088,0.998447,0.000000,46.870444,192.779183,0.000000,0.000000,0.281413,0.281413
14,T4c,1.498780,0.827212,-3.231240,0.960828,0.000000,51.052892,192.476980,0.000000,0.000000,0.329255,0.329255
15,T4d,1.498780,1.029880,0.011570,1.030612,0.000000,52.810462,198.552004,0.000000,0.000000,0.249405,0.249405
16,Tm1,1.498780,1.812844,-0.769704,0.992544,0.000000,51.257821,195.791906,0.000000,0.000000,57.495459,57.495459
17,Tm2,1.498780,2.617583,1.027261,1.026168,0.000000,52.362056,198.988705,0.000000,0.000000,58.927267,58.927267
18,Tm4,1.498780,1.995615,1.676077,1.000388,0.000000,47.909702,200.286227,0.000000,0.000000,34.858567,34.858567
19,Tm9,1.498780,3.420384,2.660097,0.979573,0.000000,52.857388,200.949337,0.000000,0.000000,19.388508,19.388508
20,T5a,1.498780,1.481281,0.472044,0.959239,0.000000,48.036568,195.368077,0.000000,0.000000,19.403677,19.403677
21,T5b,1.498780,2.038349,1.323721,0.952615,0.000000,48.319798,208.180556,0.000000,0.000000,16.476462,16.476462
22,T5c,1.498780,0.100000,-1.766087,0.980480,0.000000,46.559271,200.618876,0.000000,0.000000,1.323167,1.323167
23,T5d,1.498780,0.490041,-5.960316,1.007560,0.000000,44.952415,203.667400,0.000000,0.000000,3.154353,3.154353
24,T1,1.498780,2.322640,1.521481,0.978926,0.000000,52.662160,193.967837,0.000000,0.000000,52.996252,52.996252
25,T2,1.498780,1.251491,0.168651,0.986066,0.000000,47.069084,199.923051,0.000000,0.000000,22.525210,22.525210
26,T2a,1.498780,3.336313,3.885453,1.012107,0.000000,50.090142,209.595394,0.000000,0.000000,36.489030,36.489030
27,T3,1.498780,0.100000,-1.854057,1.002660,0.000000,49.508049,193.452514,0.000000,0.000000,1.132410,1.132410
28,C2,1.498780,4.053941,0.882099,1.005864,0.000000,50.767406,194.138600,0.000000,0.000000,-2.230508,-2.230508
29,C3,1.498780,2.371226,0.987434,0.984298,0.000000,48.083333,207.858636,0.000000,0.000000,-5.161272,-5.161272
30,Lawf1,1.498780,3.515735,4.943955,0.981247,0.000000,51.535347,201.543304,0.000000,0.000000,23.497770,23.497770
31,Lawf2,1.498780,0.160611,-0.410478,0.982829,0.000000,48.402572,193.903754,0.000000,0.000000,1.236325,1.236325
