,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,2.183661,,,1.540439,1.291671,1.328672,3.269557,,,,,,,,,,,,,,,,,,0.100000,,,,0.991966,0.960612,,,,1.849949,,,,,,,,,,,,,,,,,,,,,,
R7,,,2.128451,3.183648,,2.166651,,,1.014001,,1.756944,2.563765,,,,,,,,,,,,,,,,,,1.004279,0.100000,,,1.741440,0.104850,,,0.952645,1.404048,,1.916972,,0.275544,0.100000,0.100000,2.581368,1.243631,,,,,,,,,
R8,,1.707514,1.804703,2.228788,0.876103,1.780424,,0.100000,2.014161,,1.997295,2.459151,,,,,,,,,,,,,0.100000,,,,0.957199,0.993069,0.100000,0.100000,,,0.100000,,0.100000,0.906070,0.100000,,1.683164,2.156007,,,0.100000,1.488091,,0.917915,,2.313860,,,,,0.955039,
L1,1.997759,0.738248,0.215438,3.313919,3.284181,0.100000,0.100000,1.489493,0.504802,1.530853,0.100000,,,,,,1.364034,0.100000,,,,,,,3.201619,0.100000,2.279181,,2.351698,3.218439,,0.918146,,0.321920,,,,1.045410,1.226272,,,,1.041859,,,,,,,,,1.838655,,,,
L2,0.100000,,3.081335,0.100000,0.125497,3.240922,2.093075,0.100000,0.382803,0.468269,0.100000,0.100000,,,,,1.648906,1.964382,2.248199,,,,,,2.616650,1.911772,2.938363,,0.960606,0.966659,,,,0.100000,,0.100000,0.100000,,0.100000,,0.399757,,,,0.997952,,,,,,,2.894267,,,,
L3,,0.428828,0.506071,0.100000,0.135336,,,,0.214288,,0.100000,0.100000,,,,,2.935757,3.038370,0.968453,3.194329,,,,,3.149618,,,,0.996650,1.009063,3.219361,,2.278063,,3.129901,0.100000,,1.027963,0.203256,3.015337,0.396727,0.996499,1.774671,2.225122,2.728737,0.100000,2.816293,3.001430,,,,,0.966278,,0.100000,0.698115
L4,0.174645,,,0.100000,0.100000,3.195593,0.904226,1.015950,1.029250,,,0.100000,,,,,2.065485,2.057956,1.879687,0.760168,,,,,,1.854482,,,,0.955708,3.094706,2.303475,,,,0.100000,0.203157,,,,,,0.691579,,,,,,,,,2.869172,,,,
L5,,,,2.254800,2.016420,,,0.663716,0.100000,0.504150,0.809935,0.100000,,,,,0.100000,0.100000,1.962015,,,,,,3.153785,0.100000,0.834823,,0.947992,2.416121,0.100000,0.100000,,0.134387,2.382528,3.093008,3.074513,1.059800,2.730309,,0.284677,0.100000,1.747533,,2.930865,,,,0.100000,0.968283,0.718337,2.964365,,0.100000,,
Mi1,,1.023509,0.992109,0.100000,0.676960,,,1.205651,0.974355,1.007001,1.016161,0.276457,0.992153,1.031062,0.982814,0.982539,1.285710,1.015922,1.027724,,,,,,0.956332,0.827170,0.971838,0.975409,1.494162,2.534028,0.968298,0.957997,0.990669,,1.005775,1.015630,0.992494,0.970594,1.028674,,1.032581,1.025408,1.008429,,,1.035956,,0.956520,1.023706,0.958664,0.981027,0.955687,0.951807,0.995171,0.960740,1.019547
Tm3,,,,0.505397,0.953101,,,,1.003869,0.950451,0.970516,0.950204,0.677861,1.019936,0.495983,0.995868,,,0.978849,,,0.986850,,1.009190,,1.045639,0.720659,0.572130,0.984971,0.981839,0.971109,0.980925,,,0.991484,1.002159,0.959437,,,0.964551,,,0.987122,,,,1.014212,,1.031199,0.463900,0.867760,0.564174,,0.457834,,
