,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,3.518909,,,1.280859,1.538883,1.437157,4.002386,,,,,,,,,,,,,,,,,,2.051272,,,,1.531792,0.965010,,,,1.011036,,,,,,,,,,,,,,,,,,,,,,
R7,,,4.077070,4.668274,,3.058084,,,0.134918,,1.026293,0.796911,,,,,,,,,,,,,,,,,,1.006649,1.607398,,,1.073284,0.992123,,,0.983246,1.112779,,1.725302,,0.105177,0.799240,1.036824,0.870340,0.959460,,,,,,,,,
R8,,2.688395,4.828117,2.970716,0.741451,2.458816,,0.100000,0.100000,,1.020209,1.028911,,,,,,,,,,,,,0.979661,,,,1.510987,0.986289,0.117872,0.100000,,,0.899038,,0.134744,0.916718,0.100000,,1.603725,1.010434,,,0.961985,1.069107,,0.979571,,0.997006,,,,,1.033400,
L1,0.100000,0.100000,0.100000,0.100000,2.637517,3.483272,0.100000,2.436268,2.692858,4.004362,0.461088,,,,,,0.100000,0.100000,,,,,,,2.142207,0.222417,1.561664,,0.236130,1.799370,,0.100000,,0.801233,,,,0.989511,3.384033,,,,0.100000,,,,,,,,,0.608090,,,,
L2,4.822113,,4.141829,0.100000,5.194337,0.100000,3.220225,0.450331,0.100000,0.398976,0.441421,0.100000,,,,,2.584558,2.649014,0.100000,,,,,,0.100000,2.924031,0.776310,,1.605392,0.990330,,,,1.236086,,0.100000,0.100000,,0.100000,,1.402923,,,,1.029553,,,,,,,0.100000,,,,
L3,,0.969351,1.026599,0.996213,0.950522,,,,1.043108,,1.003256,0.955238,,,,,1.046437,1.013888,1.006429,0.964141,,,,,1.020734,,,,0.996223,1.023908,1.028062,,1.040156,,1.027633,0.969016,,1.048884,0.989125,1.018349,1.015264,0.963812,0.960779,1.037236,0.986469,0.971890,1.011948,0.996694,,,,,0.965604,,1.011715,1.019010
L4,1.741142,,,0.280579,1.085534,1.031127,0.453119,1.018517,1.007777,,,0.990503,,,,,1.564737,1.940087,1.042929,0.975163,,,,,,1.118516,,,,1.019949,0.990973,1.430608,,,,1.032290,0.965361,,,,,,1.033512,,,,,,,,,1.865763,,,,
L5,,,,4.753501,1.189992,,,2.772075,3.208896,4.078428,0.164381,0.100000,,,,,0.100000,0.100000,1.036011,,,,,,1.854570,1.814122,1.513797,,0.100000,0.100000,2.533312,0.157457,,1.103407,1.017685,0.454178,4.246534,1.038116,1.044141,,1.913276,2.399829,2.532586,,1.717068,,,,1.486729,1.530569,0.100000,1.751125,,1.159765,,
Mi1,,2.633563,0.100000,3.307935,1.987157,,,0.100000,2.437691,3.071073,0.100000,0.628859,0.903243,1.865742,2.510301,2.503785,0.100000,0.100000,0.993970,,,,,,1.007603,2.332262,1.303018,3.136528,0.141347,0.310386,2.013307,1.295921,1.018573,,1.584107,0.998113,1.923901,1.236501,0.100000,,1.950671,2.714974,2.348760,,,1.007666,,1.026351,1.038796,1.452459,0.227117,2.189386,1.309236,0.100000,0.986726,1.007852
Tm3,,,,4.760676,0.100000,,,,3.054819,4.206098,1.026465,0.258219,1.554581,0.814052,2.497494,2.631843,,,0.714021,,,0.977744,,1.041995,,1.665795,0.475598,4.071910,0.533312,0.727631,2.493359,0.100000,,,1.641602,0.313418,4.462811,,,0.100000,,,2.330711,,,,1.027817,,1.258063,2.493920,0.141978,1.670254,,0.100000,,
Mi4,,,,,1.581379,0.991145,,1.027057,1.010835,0.107471,1.011989,1.553503,0.998467,1.041351,0.984055,1.028293,0.100000,0.100000,1.014065,0.976850,,,,,0.999955,,1.016049,,1.015225,1.023828,1.020333,0.993546,0.992393,,1.014932,,0.985029,,1.021114,1.615819,1.365697,,0.201096,1.034509,1.041695,0.956286,1.035694,0.843419,1.107476,,0.989514,0.100000,1.003948,1.004251,,
Mi9,,,,,,2.205066,2.228241,,0.567022,1.736669,1.596430,,0.167640,1.285831,0.599653,0.527713,0.192490,0.268159,1.042580,1.389312,,,,,,0.971740,1.047450,0.740619,1.800594,,1.967000,1.036250,0.959716,,0.680785,,2.035047,0.986323,,1.969708,1.379241,0.611956,0.504613,0.963155,1.236256,,1.046889,,0.943202,0.968129,,0.508756,1.034540,1.343901,1.000850,
T4a,,,,,,,,,,,,0.300766,0.683894,1.027273,0.942686,1.004800,,,,,0.101338,,,,,,,,,0.100000,,,,,,1.125941,,,,,,,2.550380,,,,,,,1.812513,,,,,1.012728,1.041331
T4b,,,,,,,,,1.687100,,0.956260,0.100000,2.053513,0.923498,,1.011939,,,,,,1.827438,,,,,,,,,,,,,,1.821857,,,,,,,1.735562,,,,,,0.516281,1.257050,1.370033,,,,,
T4c,,,,,,,,,,,,0.819807,,,2.336751,,,,,,,,2.245438,0.996759,,0.971456,,,,,,,,,,,,,,,,,,,,,,,,2.393706,0.512219,,1.356076,0.170484,,
T4d,,,,,,,,,2.339076,,,,,,1.026247,2.379866,,,,,,,,0.989595,,,,,,,,,,,,,,,,,,,,,,,,,,2.538223,0.100000,,1.216682,0.578458,,
Tm1,,,,,0.100000,,,2.678934,0.100000,0.100000,0.362297,0.100000,,,0.964948,,4.400075,1.737364,0.100362,0.214128,4.365340,4.301181,1.038320,0.100000,0.100000,3.835372,0.139507,0.100000,1.748736,0.452446,,3.231633,0.100000,,0.377168,0.100000,,0.966182,0.100000,0.100000,1.608570,3.251309,3.244203,1.048931,,,0.796892,0.945798,,0.976151,,0.828807,0.527605,0.100000,0.126485,0.108622
Tm2,,,,0.812629,0.100000,,,2.674790,2.002632,0.100000,0.335010,0.100000,1.002052,,1.458402,,1.840810,,0.207019,0.285263,4.368104,4.116996,1.540364,0.100000,1.575426,4.233848,0.279414,0.992217,,0.100000,0.100000,2.013222,0.100000,,,1.033102,,,0.100000,,,3.201875,4.006907,,,,,,1.025692,0.972680,1.617922,1.698588,1.308780,1.431021,0.268061,1.051038
Tm4,,,,,0.981505,,,,0.987802,1.040307,1.009747,,,,,,1.045758,0.962635,1.004155,,0.871473,0.984207,0.931151,0.983154,0.958387,0.961780,1.002351,0.459726,1.004504,0.950378,,0.701726,,,1.001336,1.033896,0.689174,,0.996133,,,1.039255,1.035995,,,,,,0.998046,1.310154,0.955501,0.969327,,1.009610,,1.044440
Tm9,,,,,,0.224923,,,,,0.973609,0.165531,,,,,1.571916,1.383755,0.969249,1.001391,1.494426,1.028829,0.994050,1.025634,,1.045095,1.044375,,,,,,0.998082,,,,,,,,1.473849,0.993472,,,,0.950467,0.969629,,,1.049787,0.977533,,1.020596,,0.911889,1.037773
T5a,,,,,,,,,,,,,0.223907,,,,,4.449722,,,1.149805,0.100000,,,,3.107532,,,,,,,,,,,,,,,,,3.021460,,,,,,,0.100000,,,,1.048694,0.728921,0.895228
T5b,,,,,,,,,,,,,,0.954718,,,,,,,0.100000,3.479622,,,,4.276748,,,,,,,,,,,,,,,,,,,,,,,0.551261,0.100000,0.100000,,,0.980121,,
T5c,,,,,,,,,,,,,,,0.970333,,,,,,,1.002121,2.641050,0.960878,,3.017789,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.948802,,1.279143,1.178451,,
T5d,,,,,,,,,,,,,,,1.018778,1.031868,,,,,,,,1.007061,,1.007259,,,,,,,,,,,,,,,,,,,,,,,,0.100000,1.831061,,0.963407,0.597905,,
T1,0.967545,0.100000,1.942845,,0.176234,1.049721,,2.135898,,,,0.470536,,,,,1.614888,0.100000,0.962855,,,,,,,,,,,,,,,1.041516,,,,,,,0.599637,,,,,,,,,,,,0.978778,,,
T2,,,,,,,,3.518214,2.942119,3.957110,,0.941759,,,,,4.113917,3.979571,0.998610,,,,,,,3.462612,1.024290,3.466622,,,,3.580116,,,,,0.100000,,,,,2.771609,2.626525,,0.807509,0.880464,,,0.957531,0.100000,1.466258,2.903154,,0.100000,0.976145,1.125904
T2a,,,,,,,,,1.264286,0.593281,,,,,,,1.457797,,0.998126,,,,,,,1.160223,1.065924,0.923468,0.978134,,,0.356838,1.012572,,1.258226,0.998267,,,,,0.876406,1.028315,,1.006834,1.039990,,0.801992,,,1.019265,0.949521,,1.324062,0.538707,1.035965,0.958398
T3,,,,,,,,,,3.355885,,,,,,0.972623,1.735886,,,,,,,,,2.943910,0.992023,0.993415,,0.953545,,0.100000,,,,,,,1.005843,,,3.017291,,,,,1.025310,,,,,,,1.065289,,1.018947
C2,1.667037,0.533137,0.355858,0.100000,0.100000,1.096356,0.100000,1.929032,0.238665,,1.044752,,,,,,2.406759,,,1.394331,,,,,0.300563,0.332164,1.039975,0.860266,0.227151,0.975684,,,,0.996532,,,,1.001815,0.191960,0.211306,,,0.997375,,,,,,,,,,,,,
C3,1.021674,,,0.795345,0.757373,1.562772,1.032215,0.680812,0.568403,1.001036,1.039589,1.248045,0.504939,1.129663,0.901528,0.324975,0.724195,0.953660,0.980288,0.973880,,,,,0.961020,0.431377,0.953029,1.036382,0.993256,,,,,0.986817,,0.960613,,1.024411,0.994228,,0.590132,1.061346,1.048315,,,,,,,1.041487,,,,,,
Lawf1,0.100000,,,2.919228,1.880333,1.163040,,0.100000,,3.340082,,1.182948,,,,,,,,,,,,,0.529108,,,,,,1.591871,,,0.954245,,,,,,,,,,,,,,,,,,,,,,
Lawf2,2.708005,,,0.889578,0.100000,0.188150,,3.404604,,,,,,,,,0.100000,0.100000,,0.983547,,,,,1.030096,,,,0.244805,0.316483,0.773600,,,1.027514,,0.950731,0.902481,,,,,,,,,,,,,0.100000,,,,1.047344,,
Dm3v,,,,,,,,,,,1.022242,1.135388,,,,,0.100000,1.035441,,,,,,,,,1.029185,,,,,,0.952908,,,,,,,,0.953956,0.980586,,,,,1.033289,,,,,,1.044700,1.037927,1.048816,1.030958
Lai,1.034075,,,0.959492,1.038299,0.951099,,1.015787,,,,,,,,,,,,,,,,,1.003759,,,,,0.989629,,,,0.970492,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,1.205842,,,,,0.984470,0.660161,1.049647,,0.971078,1.011494,,1.037350,1.000533,,,,,,,1.006910,,,,,1.591715,,,,1.263079,,0.555978,0.990909,,1.008261,,,0.982428,,1.194212,,,,1.424048,,,,,,,
Mi13,,,,,,,1.015834,0.335796,0.439202,0.100000,,1.854960,,,,,0.702609,0.479947,0.996255,0.960735,,,,,0.954985,0.748560,0.988958,,,,,,,,,,,,,,1.210038,,,,1.025079,,,,,,,,,0.978471,,
Mi14,,,,,0.427113,,,4.584078,,,,1.047007,,,,,4.147774,3.416601,1.051721,,,,,,0.988703,0.100000,,0.119622,,,,,,,,0.980222,,,,,0.995689,,0.100000,,,,,,,,,0.493138,,0.988147,,
Mi15,,,,,,,,,,,1.032414,,,,,,,,0.988187,,,,,,0.966446,,0.984264,,,0.998224,1.376966,,,,1.081227,,1.257978,0.994787,1.040914,,,1.110950,1.030071,0.954286,,1.039977,,,,,,,,0.987479,,
