idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.095939,0.718587,-5.623438,1.000837,0.000000,10.000000,196.277150,0.000000,0.000000,19.962627,19.962627
1,R7,1.095939,3.987641,-1.239206,1.022876,0.000000,10.000000,207.510213,0.000000,0.000000,15.496841,15.496841
2,R8,1.095939,3.156310,-2.245845,1.028827,0.000000,10.000000,194.068759,0.000000,0.000000,18.152641,18.152641
3,L1,1.095939,3.882543,7.775612,0.203454,0.000000,15.303438,177.299460,0.000000,0.600000,-1.517961,-1.517961
4,L2,1.095939,3.979549,4.542831,0.115295,0.000000,20.414342,194.914140,0.000000,0.600000,0.913549,0.913549
5,L3,1.095939,2.497587,1.583505,0.163042,0.000000,28.246196,206.270571,0.000000,0.000000,45.431483,45.431483
6,L4,1.095939,1.671720,5.021185,0.100000,0.000000,10.000000,199.969451,0.000000,1.000000,0.000000,0.000000
7,L5,1.095939,3.202568,-9.211752,0.775542,0.000000,10.000000,192.657501,0.000000,1.000000,0.000000,0.000000
8,Mi1,1.095939,4.034001,3.787967,1.044510,0.000000,59.208673,205.482312,0.000000,0.000000,-12.479993,-12.479993
9,Tm3,1.095939,5.197463,5.379644,1.020274,0.000000,58.695457,205.744569,0.000000,0.000000,-12.415455,-12.415455
10,Mi4,1.095939,3.196649,-7.422542,1.018240,0.000000,51.886958,201.373047,0.000000,0.000000,-14.797731,-14.797731
11,Mi9,1.095939,4.717328,-14.736043,1.036055,0.000000,10.000000,204.400947,0.000000,0.000000,13.848038,13.848038
12,T4a,1.095939,4.366534,0.024650,0.953527,0.000000,55.385721,201.259937,0.000000,0.000000,-0.230510,-0.230510
13,T4b,1.095939,0.578002,-0.902027,0.986607,0.000000,53.844680,197.691479,0.000000,0.000000,-0.907669,-0.907669
14,T4c,1.095939,8.046785,-7.487262,1.004040,0.000000,43.053771,203.276913,0.000000,0.000000,-2.489952,-2.489952
15,T4d,1.095939,1.236791,0.338178,1.019628,0.000000,52.553379,196.936853,0.000000,0.000000,-1.141334,-1.141334
16,Tm1,1.095939,0.437457,5.063980,0.956137,0.000000,70.795969,200.354939,0.000000,0.000000,13.701828,13.701828
17,Tm2,1.095939,2.790732,1.291085,0.964242,0.000000,66.967480,206.462326,0.000000,0.000000,10.365675,10.365675
18,Tm4,1.095939,0.100000,-3.703948,1.012144,0.000000,42.979609,202.099840,0.000000,0.000000,-0.560330,-0.560330
19,Tm9,1.095939,2.682309,2.919551,1.026802,0.000000,58.271283,205.141786,0.000000,0.000000,20.050140,20.050140
20,T5a,1.095939,3.102547,-1.137319,1.040225,0.000000,40.795833,202.254526,0.000000,0.000000,5.480077,5.480077
21,T5b,1.095939,4.747149,2.296170,1.042971,0.000000,51.011748,207.449174,0.000000,0.000000,11.443845,11.443845
22,T5c,1.095939,0.964496,0.478770,1.046904,0.000000,54.509760,202.810403,0.000000,0.000000,7.124085,7.124085
23,T5d,1.095939,0.664325,-5.045966,0.955148,0.000000,46.730703,205.188777,0.000000,0.000000,0.994501,0.994501
24,T1,1.095939,0.118349,-1.361080,1.009937,0.000000,10.000000,205.365520,0.000000,0.000000,-15.998597,-15.998597
25,T2,1.095939,3.281432,3.007941,1.035025,0.000000,44.346637,206.328961,0.000000,0.000000,9.964892,9.964892
26,T2a,1.095939,4.139351,4.420440,0.979845,0.000000,51.538565,193.558900,0.000000,0.000000,-0.986480,-0.986480
27,T3,1.095939,3.590721,2.566764,1.043872,0.000000,53.465033,197.083579,0.000000,0.000000,0.240993,0.240993
28,C2,1.095939,0.860731,-1.998384,1.013160,0.000000,41.506421,209.670832,0.000000,0.000000,-0.002214,-0.002214
29,C3,1.095939,4.059539,-2.510090,0.966959,0.000000,66.331331,191.297135,0.000000,0.000000,0.376529,0.376529
30,Lawf1,1.095939,6.749886,12.530977,0.973958,0.000000,35.367136,208.499486,0.000000,0.000000,56.363121,56.363121
31,Lawf2,1.095939,2.771988,5.754616,0.968895,0.000000,59.351752,198.027406,0.000000,0.000000,10.431550,10.431550
32,Dm3v,1.095939,3.694403,4.523544,1.026226,0.000000,44.117931,206.360663,0.000000,0.000000,12.547265,12.547265
33,Lai,1.095939,9.660713,21.855596,0.953993,0.000000,10.000000,205.234076,0.000000,0.000000,13.878582,13.878582
34,Mi10,1.095939,3.975691,0.417729,0.971027,0.000000,30.205043,199.581417,0.000000,0.000000,-2.631432,-2.631432
35,Mi13,1.095939,1.540359,5.033613,0.950138,0.000000,38.360659,195.463359,0.000000,0.000000,2.589395,2.589395
36,Mi14,1.095939,4.888367,-1.481415,0.998423,0.000000,47.306889,201.664150,0.000000,0.000000,-0.134975,-0.134975
37,Mi15,1.095939,1.500604,0.453559,1.003131,0.000000,47.905322,196.449630,0.000000,0.000000,-10.060579,-10.060579
38,Mi2,1.095939,8.471736,2.011247,0.982609,0.000000,42.558633,192.537847,0.000000,0.000000,0.741820,0.741820
39,Tm16,1.095939,6.487416,41.688311,1.046510,0.000000,10.129768,208.283251,0.000000,0.000000,1.045376,1.045376
40,Tm20,1.095939,2.962711,-0.365792,0.981210,0.000000,20.614866,209.547992,0.000000,0.000000,0.271826,0.271826
41,Tm21,1.095939,1.666284,1.286646,1.008901,0.000000,47.857066,193.215203,0.000000,0.000000,-5.888122,-5.888122
42,Tm27,1.095939,1.054664,-0.162109,1.042742,0.000000,39.985401,206.866766,0.000000,0.000000,-0.081417,-0.081417
43,Tm5a,1.095939,4.137462,3.596849,0.992303,0.000000,47.220916,197.748694,0.000000,0.000000,-3.215375,-3.215375
44,Tm5b,1.095939,0.100001,-0.229355,1.028896,0.000000,54.640004,205.610486,0.000000,0.000000,-14.260438,-14.260438
45,Tm5c,1.095939,7.969636,13.988426,1.008519,0.000000,57.182160,206.017578,0.000000,0.000000,44.333990,44.333990
46,Tm5f,1.095939,4.500218,3.059403,1.022355,0.000000,49.620219,202.534414,0.000000,0.000000,1.863218,1.863218
47,TmY10,1.095939,4.825500,3.577444,0.975643,0.000000,51.646824,190.685263,0.000000,0.000000,9.434567,9.434567
48,TmY11,1.095939,7.592250,10.723124,0.978319,0.000000,47.407471,191.383552,0.000000,0.000000,15.526731,15.526731
49,TmY14,1.095939,3.433587,-3.804921,0.996439,0.000000,46.396956,192.857297,0.000000,0.000000,1.155694,1.155694
50,TmY15,1.095939,0.701679,-1.329790,1.049924,0.000000,50.204260,208.912326,0.000000,0.000000,23.037498,23.037498
51,TmY3,1.095939,2.757371,2.897701,1.011980,0.000000,45.580564,200.350578,0.000000,0.000000,-3.665275,-3.665275
52,TmY4,1.095939,0.407796,-1.276825,1.043169,0.000000,53.139808,198.546412,0.000000,0.000000,-6.059109,-6.059109
53,TmY5a,1.095939,1.623413,-3.326516,0.972351,0.000000,49.895565,198.175285,0.000000,0.000000,3.634254,3.634254
54,TmY9q,1.095939,8.044108,-3.824501,0.964131,0.000000,44.057313,196.321351,0.000000,0.000000,10.346678,10.346678
55,TmY9q__perp,1.095939,10.000000,2.066847,1.011368,0.000000,86.636474,209.923577,0.000000,0.000000,18.628422,18.628422
