idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.326548,1.310166,3.621327,0.956932,0.000000,32.865507,201.084837,0.000000,0.793978,4.146933,4.146933
1,R7,2.326548,5.027763,-0.938189,1.021030,0.000000,33.950393,203.201809,0.000000,0.246748,11.041351,11.041351
2,R8,2.326548,5.509659,1.828358,0.978992,0.000000,30.949388,203.997998,0.000000,0.562536,7.504782,7.504782
3,L1,2.326548,2.781585,5.351521,0.135090,0.000000,33.379422,204.665015,0.000000,0.280020,21.121959,21.121959
4,L2,2.326548,2.284316,5.657074,0.533346,0.000000,30.707279,199.872488,0.000000,1.000000,0.000000,-0.000000
5,L3,2.326548,3.413303,0.924423,0.377444,0.000000,40.361806,212.119960,0.000000,0.597501,-2.388032,-2.388032
6,L4,2.326548,8.686680,-1.674122,0.133270,0.000000,28.172286,200.880749,0.000000,1.000000,0.000000,-0.000000
7,L5,2.326548,5.581950,6.182267,0.124624,0.000000,32.091743,199.455649,0.000000,1.000000,0.000000,0.000000
8,Mi1,2.326548,5.042937,6.814286,0.963870,0.000000,34.587999,190.232508,0.000000,1.000000,0.000000,0.000000
9,Tm3,2.326548,0.956116,1.819471,1.041157,0.000000,37.354534,203.632487,0.000000,1.000000,0.000000,0.000000
10,Mi4,2.326548,0.100000,-1.230326,1.043628,0.000000,40.360115,206.210059,0.000000,0.000000,-7.783172,-7.783172
11,Mi9,2.326548,7.202505,3.101336,1.042731,0.000000,30.314757,204.837095,0.000000,0.828066,-0.881987,-0.881987
12,T4a,2.326548,0.100000,-1.203105,0.998023,0.000000,41.850654,206.662610,0.000000,0.957231,0.003968,0.003968
13,T4b,2.326548,0.111436,2.268790,0.964467,0.000000,43.413292,187.948325,0.000000,1.000000,0.000000,0.000000
14,T4c,2.326548,0.100000,1.771259,0.959126,0.000000,43.106373,200.882022,0.000000,1.000000,0.000000,0.000000
15,T4d,2.326548,1.068439,-1.975333,0.983160,0.000000,40.644288,204.892298,0.000000,1.000000,0.000000,0.000000
16,Tm1,2.326548,2.299272,-3.349967,1.046177,0.000000,39.762139,191.171313,0.000000,1.000000,0.000000,-0.000000
17,Tm2,2.326548,2.380469,-4.287599,1.000913,0.000000,38.905783,203.033905,0.000000,1.000000,0.000000,0.000000
18,Tm4,2.326548,4.840401,3.066329,1.002337,0.000000,35.668126,202.121849,0.000000,0.733569,2.570728,2.570728
19,Tm9,2.326548,4.549497,3.641539,1.009780,0.000000,39.377860,200.817622,0.000000,0.000000,0.368868,0.368868
20,T5a,2.326548,2.694015,-1.350006,1.044912,0.000000,38.635295,197.989275,0.000000,0.923924,0.014141,0.014141
21,T5b,2.326548,3.413167,-1.502155,0.964787,0.000000,36.661159,198.031491,0.000000,1.000000,0.000000,0.000000
22,T5c,2.326548,0.100000,-1.357945,0.951041,0.000000,41.362289,198.625565,0.000000,1.000000,0.000000,-0.000000
23,T5d,2.326548,3.170354,2.288016,1.036136,0.000000,37.025048,208.624718,0.000000,1.000000,0.000000,-0.000000
24,T1,2.326548,0.106776,-0.373696,0.970555,0.000000,42.375091,206.170505,0.000000,0.000000,-4.900101,-4.900101
25,T2,2.326548,0.100000,-1.587297,1.011132,0.000000,41.087471,196.312444,0.000000,1.000000,0.000000,0.000000
26,T2a,2.326548,1.722125,3.085810,1.045598,0.000000,41.223883,195.784060,0.000000,0.126798,0.178020,0.178020
27,T3,2.326548,0.100000,1.290212,1.009742,0.000000,41.138571,189.283057,0.000000,1.000000,0.000000,0.000000
28,C2,2.326548,1.304911,-0.791055,0.971936,0.000000,37.473071,188.518504,0.000000,0.948677,0.563805,0.563805
29,C3,2.326548,3.409897,3.083239,1.035421,0.000000,35.747306,207.591855,0.000000,1.000000,0.000000,0.000000
30,Lawf1,2.326548,5.634196,0.905735,1.047942,0.000000,33.229626,192.057225,0.000000,1.000000,0.000000,-0.000000
31,Lawf2,2.326548,1.250522,3.376321,0.993485,0.000000,38.387391,203.441318,0.000000,0.818609,0.126198,0.126198
32,Dm3v,2.326548,10.000000,6.222948,0.955514,0.000000,32.831716,196.016081,0.000000,0.000000,1.967363,1.967363
33,Lai,2.326548,0.955635,-0.384417,1.041652,0.000000,40.302432,194.619806,0.000000,0.000000,-7.869925,-7.869925
34,Mi10,2.326548,5.075410,2.175214,0.963049,0.000000,31.932767,196.494733,0.000000,0.936910,-1.007709,-1.007709
35,Mi13,2.326548,2.644407,0.330924,1.011437,0.000000,36.841116,206.174455,0.000000,1.000000,0.000000,0.000000
36,Mi14,2.326548,5.213147,3.408611,0.979810,0.000000,37.994094,195.732591,0.000000,0.024726,16.448582,16.448582
37,Mi15,2.326548,0.372589,-0.366560,1.049908,0.000000,41.391802,194.749132,0.000000,0.000000,-4.744529,-4.744529
38,Mi2,2.326548,6.603698,0.975060,1.034223,0.000000,34.469081,207.631351,0.000000,0.829517,2.248353,2.248353
