,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,6.800308,,,0.692269,1.647116,1.701364,5.404204,,,,,,,,,,,,,,,,,,2.159544,,,,2.489089,1.099971,,,,0.954374,,,,,,,,,,,,,,,,,,,,,,
R7,,,2.979933,4.250800,,2.447677,,,3.610055,,1.022291,8.127282,,,,,,,,,,,,,,,,,,0.100000,0.100000,,,0.999201,0.100000,,,1.780273,0.100000,,0.679273,,0.100000,1.007949,1.585785,0.100000,1.025708,,,,,,,,,
R8,,1.770321,2.951813,1.212553,0.100000,1.967096,,0.100000,4.184205,,2.217521,8.286097,,,,,,,,,,,,,2.032174,,,,0.100000,0.100000,0.100000,3.510691,,,0.100000,,0.100000,1.672810,0.100000,,2.794585,1.666577,,,1.632626,2.651938,,2.055225,,0.991986,,,,,1.041315,
L1,0.100000,0.100000,1.094827,0.100000,2.944671,7.800270,0.100000,2.618458,3.221011,2.321393,0.976956,,,,,,0.100000,2.518055,,,,,,,3.060983,1.037765,4.115234,,0.100000,2.761068,,0.595703,,0.985761,,,,1.039094,6.415934,,,,6.138334,,,,,,,,,0.984148,,,,
L2,8.814498,,1.822142,0.910546,3.508356,0.100000,3.720272,0.174050,2.253063,2.560831,0.967917,5.449638,,,,,1.658503,1.243268,4.188727,,,,,,0.124466,0.977555,2.073737,,2.208543,2.048234,,,,1.037812,,0.100000,0.100000,,0.100000,,5.868336,,,,1.048672,,,,,,,0.100000,,,,
L3,,4.506650,4.590475,0.100000,0.100000,,,,0.209105,,0.100000,3.891823,,,,,10.000000,8.988472,0.100000,3.434850,,,,,0.100000,,,,0.100000,1.270244,0.100000,,5.022639,,0.377335,0.100000,,1.001535,2.002918,0.197218,3.387247,1.001551,0.100000,0.370180,0.952088,6.571377,2.211153,1.629606,,,,,0.974172,,0.312341,1.359991
L4,5.621769,,,0.100000,8.883938,1.356479,0.100000,0.981590,1.041581,,,0.100000,,,,,3.134823,8.454649,0.100000,0.323953,,,,,,0.964820,,,,0.100000,0.391306,1.943149,,,,0.435955,0.967664,,,,,,0.967872,,,,,,,,,0.494666,,,,
L5,,,,6.690985,8.766652,,,0.324018,0.100000,0.465092,0.100000,1.370657,,,,,0.100000,0.100000,0.100000,,,,,,0.100000,0.242057,2.014708,,3.712207,4.018895,0.100000,0.452244,,1.033693,0.100000,0.916530,0.100000,0.983639,8.024249,,0.388272,0.100000,2.852616,,0.996912,,,,1.015920,0.964381,1.019462,0.235340,,2.135125,,
Mi1,,0.143504,2.996934,5.543389,5.796522,,,0.147534,0.100000,0.268075,0.100000,0.210440,0.100000,0.100000,0.100000,1.004035,0.160030,0.105648,0.100000,,,,,,0.100000,0.100000,0.100000,0.414092,2.103582,2.691072,5.470840,0.100000,5.242373,,5.458456,0.100000,1.499375,0.538856,6.171027,,1.136130,0.100000,2.402753,,,5.350877,,3.376278,0.970629,0.965799,0.100000,0.100000,0.455674,6.308377,0.419688,0.100000
Tm3,,,,0.135210,0.100000,,,,0.100000,0.100000,0.973247,0.132576,0.170418,0.100000,0.100000,0.100000,,,2.658983,,,1.002079,,0.984939,,1.657401,0.111025,0.412825,2.978434,4.842110,5.847800,0.838331,,,6.542209,2.021202,2.203662,,,1.004679,,,2.390090,,,,1.894223,,0.996375,1.005520,0.472158,0.989078,,0.100000,,
