,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,9.180172,,,0.997427,1.628653,1.013811,1.927550,,,,,,,,,,,,,,,,,,2.378847,,,,1.515244,0.100000,,,,0.959589,,,,,,,,,,,,,,,,,,,,,,
R7,,,4.624636,3.506819,,0.971654,,,1.872230,,0.929306,0.100000,,,,,,,,,,,,,,,,,,0.100000,0.998766,,,1.042417,1.048887,,,1.038245,4.143459,,0.100000,,0.683306,6.976492,8.119633,0.100000,1.670551,,,,,,,,,
R8,,1.748501,0.100000,2.818663,0.100000,1.013330,,0.100000,3.301646,,2.516175,0.100000,,,,,,,,,,,,,2.809501,,,,1.548431,0.100000,0.956362,4.464573,,,0.961454,,3.252950,1.008046,0.100000,,0.100000,5.710818,,,0.100000,3.959246,,0.997763,,0.364519,,,,,0.977779,
L1,0.100000,0.100000,0.100000,0.100000,1.687728,0.995893,0.100000,2.839891,0.739524,0.961476,0.437612,,,,,,0.100000,2.469873,,,,,,,2.395486,0.100000,7.173495,,1.761495,6.763753,,0.100000,,1.019709,,,,1.010847,0.100000,,,,0.960021,,,,,,,,,0.100000,,,,
L2,10.000000,,4.582147,0.100000,0.133580,1.042532,3.393032,0.100000,0.148782,0.100000,0.546756,5.375552,,,,,1.577240,1.785477,2.350214,,,,,,0.101116,0.828427,0.100000,,0.447275,1.681684,,,,1.045654,,0.100000,0.100000,,1.056659,,6.382108,,,,4.002693,,,,,,,8.683602,,,,
L3,,0.969789,1.021282,0.981571,0.980023,,,,1.042594,,0.977387,0.431307,,,,,0.978801,1.029379,0.964535,0.974097,,,,,0.963263,,,,0.987709,1.509119,1.024951,,0.955044,,1.008774,0.998259,,0.973119,0.985999,1.026044,0.512923,0.981422,1.026939,0.963217,1.023934,1.006644,0.985386,0.915737,,,,,0.964243,,0.994060,0.986124
L4,6.043507,,,0.100000,0.100000,1.009436,0.100000,0.105551,7.707441,,,3.614899,,,,,1.096401,1.886740,2.019476,1.712931,,,,,,2.221460,,,,4.116218,0.953067,3.662771,,,,0.100000,2.447821,,,,,,1.823016,,,,,,,,,0.100000,,,,
L5,,,,4.464116,8.242993,,,1.542759,2.794841,0.632669,0.128109,8.386854,,,,,0.100000,0.100000,4.738531,,,,,,0.100000,0.100000,0.165729,,0.298547,1.704259,1.040487,0.100000,,0.996471,1.018944,0.100000,0.100000,1.027092,3.465781,,0.853479,10.000000,0.100000,,1.255634,,,,4.551890,0.100000,3.434249,2.007193,,6.284550,,
Mi1,,9.258290,0.100000,5.198249,9.456116,,,0.100000,0.146425,0.100000,0.334534,0.100000,0.147403,0.100000,0.100000,0.246662,0.100000,0.100000,0.100000,,,,,,0.100000,0.100000,0.206181,0.198989,0.306493,2.640794,1.002183,1.588161,2.669446,,0.967190,0.100000,0.100000,1.015605,3.507074,,0.100000,10.000000,0.100000,,,6.097634,,1.042617,1.014537,0.992644,0.778913,3.832942,0.100000,0.940425,0.990520,0.100000
Tm3,,,,3.249590,0.100000,,,,0.138275,0.100000,0.985437,1.070760,2.608335,0.100000,0.100000,0.380245,,,3.275009,,,1.013478,,0.973750,,1.212853,1.123091,1.017365,1.249665,9.443289,0.596728,0.565350,,,1.012907,0.154631,0.100000,,,1.038554,,,0.157314,,,,6.071911,,0.100000,2.627771,0.996788,6.449217,,0.136925,,
