idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.803436,0.864174,-0.305295,0.998278,0.000000,20.141687,192.892821,0.000000,0.059819,18.845106,18.845106
1,R7,1.803436,4.609886,-0.912245,1.040854,0.000000,12.440950,189.214024,0.000000,0.239808,9.153317,9.153317
2,R8,1.803436,2.875820,4.411037,1.045438,0.000000,23.922930,188.543258,0.000000,0.251287,13.328991,13.328991
3,L1,1.803436,2.598119,5.039516,0.188862,0.000000,26.464259,191.736346,0.000000,1.000000,0.000000,0.000000
4,L2,1.803436,3.255493,6.364826,0.275437,0.000000,17.773044,206.852278,0.000000,0.554997,-2.066775,-2.066775
5,L3,1.803436,0.100000,-1.271292,1.005388,0.000000,41.873911,189.160208,0.000000,0.000000,-8.671808,-8.671808
6,L4,1.803436,3.649115,-3.535386,0.143438,0.000000,10.000000,186.393157,0.000000,1.000000,0.000000,0.000000
7,L5,1.803436,3.367895,5.799001,0.185411,0.000000,14.749312,183.883396,0.000000,1.000000,0.000000,0.000000
8,Mi1,1.803436,3.179306,2.268415,0.970811,0.000000,20.702972,186.055811,0.000000,1.000000,0.000000,-0.000000
9,Tm3,1.803436,2.026588,3.773938,0.985216,0.000000,38.548541,206.062915,0.000000,0.485228,0.652651,0.652651
10,Mi4,1.803436,5.825376,0.488803,1.049857,0.000000,33.401961,192.130402,0.000000,0.317768,-13.618188,-13.618188
11,Mi9,1.803436,8.550784,7.375858,1.038963,0.000000,10.000000,173.367009,0.000000,0.949269,0.417604,0.417604
12,T4a,1.803436,2.129997,-1.202827,1.029257,0.000000,35.445351,196.446512,0.000000,0.771003,-0.964645,-0.964645
13,T4b,1.803436,0.648471,-1.433025,1.010840,0.000000,38.442111,201.229990,0.000000,0.904976,-0.198701,-0.198701
14,T4c,1.803436,2.919850,2.530258,0.975590,0.000000,42.211823,205.015390,0.000000,0.893141,-0.019814,-0.019814
15,T4d,1.803436,0.100000,-0.510279,1.039280,0.000000,38.574101,191.565122,0.000000,0.999999,-0.000001,-0.000001
16,Tm1,1.803436,1.790231,0.890048,0.998512,0.000000,41.819166,202.625299,0.000000,0.810865,-2.302120,-2.302120
17,Tm2,1.803436,1.878248,2.968127,0.991202,0.000000,42.870706,188.931749,0.000000,1.000000,0.000000,0.000000
18,Tm4,1.803436,6.054862,12.206957,0.956719,0.000000,10.937605,185.427391,0.000000,0.198131,-1.652359,-1.652359
19,Tm9,1.803436,0.397605,-1.133268,1.013369,0.000000,40.697471,195.651453,0.000000,0.892550,0.022444,0.022444
20,T5a,1.803436,7.227786,5.459256,1.015291,0.000000,38.668793,232.581453,0.000000,0.992429,0.102887,0.102887
21,T5b,1.803436,0.419311,0.235134,0.994571,0.000000,36.192150,193.303900,0.000000,0.895469,0.001403,0.001403
22,T5c,1.803436,3.786021,-3.393678,0.959466,0.000000,33.859224,186.122360,0.000000,1.000000,0.000000,0.000000
23,T5d,1.803436,2.807666,-3.319771,0.966431,0.000000,34.443042,204.654743,0.000000,1.000000,0.000000,0.000000
24,T1,1.803436,4.225666,0.849611,0.977000,0.000000,62.075973,201.137938,0.000000,0.000000,-1.766596,-1.766596
25,T2,1.803436,0.161223,0.901510,0.978397,0.000000,30.935421,198.671368,0.000000,1.000000,0.000000,-0.000000
26,T2a,1.803436,5.042124,1.239791,0.975458,0.000000,23.304416,184.846299,0.000000,0.987065,0.063201,0.063201
27,T3,1.803436,0.100000,-1.505011,1.018848,0.000000,42.266154,201.000036,0.000000,1.000000,0.000000,0.000000
28,C2,1.803436,0.234057,-1.007002,0.984833,0.000000,41.889654,189.963040,0.000000,0.898656,0.005445,0.005445
