,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,1.784483,,,1.480726,1.378717,1.624800,3.853202,,,,,,,,,,,,,,,,,,0.989398,,,,1.023890,0.100000,,,,0.970979,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.121671,3.899601,,2.583275,,,0.100000,,0.100000,3.359055,,,,,,,,,,,,,,,,,,0.100000,0.996509,,,1.018486,1.008839,,,0.100000,0.981478,,0.473400,,0.990874,0.100000,1.017226,1.045196,0.379706,,,,,,,,,
R8,,0.408789,3.147331,2.361856,0.899890,2.415807,,0.100000,0.100000,,0.100000,3.994451,,,,,,,,,,,,,1.020473,,,,1.000201,0.100000,1.964044,0.973793,,,1.560383,,1.007529,0.100000,1.008558,,1.549826,1.025380,,,0.973434,0.970232,,0.100000,,0.964020,,,,,1.033905,
L1,0.988372,1.002540,0.968454,0.990076,1.583631,0.975196,1.048022,1.531852,0.430593,0.439197,0.972867,,,,,,0.988312,0.950713,,,,,,,1.023886,1.026154,1.016711,,0.998588,0.472878,,1.021298,,1.046791,,,,0.984084,1.012850,,,,0.968920,,,,,,,,,0.960880,,,,
L2,0.962532,,1.023053,0.425291,0.995915,1.041086,1.559211,0.457809,0.980326,1.041223,1.846321,0.964703,,,,,0.100000,0.141869,0.192111,,,,,,0.955139,1.037182,1.031244,,1.044443,2.012793,,,,0.981613,,1.034352,1.032919,,0.956153,,0.976235,,,,1.021917,,,,,,,1.951422,,,,
L3,,1.049312,1.011528,0.962015,0.957908,,,,1.846817,,0.981661,0.140852,,,,,0.955462,0.987747,1.048723,0.189132,,,,,1.021109,,,,0.994223,1.863854,0.170926,,0.994792,,1.037521,0.991817,,0.978510,1.022885,0.995664,1.003719,0.954205,0.962016,0.984160,1.024676,0.983037,0.982367,1.883138,,,,,0.999695,,1.042670,1.038941
L4,1.955815,,,0.100000,0.100000,0.157132,0.384967,0.966366,1.867633,,,0.114346,,,,,0.100000,0.150745,0.108490,0.100000,,,,,,0.954200,,,,1.948312,0.114198,0.440263,,,,1.033158,1.005157,,,,,,1.047454,,,,,,,,,1.907900,,,,
L5,,,,0.968109,0.972417,,,0.992406,0.966188,1.039494,1.019311,1.031053,,,,,1.042329,0.993525,1.044294,,,,,,0.966792,0.950766,0.954937,,0.995239,1.002930,0.987418,1.016102,,0.955774,0.981117,0.968358,1.034321,0.968187,0.991465,,1.049317,1.014517,0.975782,,0.992177,,,,0.986533,1.048658,1.037956,1.003587,,1.024967,,
Mi1,,1.034086,0.953900,0.983108,1.032838,,,0.998066,0.993131,0.953559,1.029589,0.959566,1.027614,0.963158,1.018915,1.018910,0.974803,1.025852,0.994638,,,,,,0.961227,1.048291,0.971109,1.018674,1.010128,1.038355,0.966168,0.969956,1.009687,,0.967076,0.987556,0.997581,0.977244,0.957679,,0.957524,0.995504,1.036445,,,1.008130,,0.985494,1.009838,1.000530,1.021157,1.040895,1.001912,1.028678,1.015798,0.975467
Tm3,,,,0.541174,0.999426,,,,1.334114,1.388981,0.917342,0.883023,0.957128,0.855849,1.026033,1.036637,,,0.860533,,,1.040200,,0.964021,,1.026450,1.380730,1.372916,0.975786,1.419276,0.971402,1.273671,,,0.985380,0.990870,1.449220,,,1.028317,,,0.986353,,,,0.950985,,1.397044,0.823623,1.018914,0.791125,,0.618237,,
Mi4,,,,,2.150824,1.701180,,3.388857,0.100000,0.100000,0.100000,3.942234,1.030062,0.999720,0.954885,2.219325,4.026808,3.982056,1.034365,4.014444,,,,,0.964912,,1.116505,,1.046088,0.111656,1.916106,0.903756,0.100000,,1.511423,,0.748009,,1.042649,1.028299,1.725395,,1.043571,0.100000,0.974997,0.981308,0.100000,0.100000,0.100000,,1.919223,0.303305,0.975913,0.155487,,
