idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.945125,1.191074,2.246851,1.006925,0.000000,31.365355,183.798927,0.000000,0.755145,4.917687,4.917687
1,R7,2.945125,4.977970,2.364823,1.023798,0.000000,31.714168,191.502885,0.000000,0.133355,11.332663,11.332663
2,R8,2.945125,3.723818,3.503692,1.024063,0.000000,30.879947,200.603760,0.000000,0.288647,10.477874,10.477874
3,L1,2.945125,3.573696,4.818708,0.180046,0.000000,32.724238,203.404237,0.000000,0.451575,1.941918,1.941918
4,L2,2.945125,2.113270,3.718568,0.447796,0.000000,28.906311,201.078662,0.000000,1.000000,0.000000,0.000000
5,L3,2.945125,2.351160,2.129027,0.422638,0.000000,36.609014,204.105259,0.000000,0.925999,-0.434017,-0.434017
6,L4,2.945125,0.100000,0.161816,0.201644,0.000000,30.007929,182.857209,0.000000,1.000000,0.000000,0.000000
7,L5,2.945125,4.538316,5.861436,0.255497,0.000000,33.410605,197.080997,0.000000,1.000000,0.000000,-0.000000
8,Mi1,2.945125,3.715337,-3.530519,0.684633,0.000000,33.426835,193.142416,0.000000,0.882631,-5.883497,-5.883497
9,Tm3,2.945125,2.032426,7.466599,0.308050,0.000000,31.022190,198.323382,0.000000,0.843660,-3.401118,-3.401118
10,Mi4,2.945125,1.820595,2.149844,0.771156,0.000000,33.467484,203.050372,0.000000,0.844103,2.588278,2.588278
11,Mi9,2.945125,3.238397,1.503135,0.517061,0.000000,31.834224,199.118928,0.000000,0.410808,-3.005241,-3.005241
12,T4a,2.945125,0.176974,-1.876757,0.996801,0.000000,42.024367,193.116294,0.000000,0.000000,-1.836335,-1.836335
13,T4b,2.945125,0.474129,-1.010750,0.975171,0.000000,36.522311,208.931561,0.000000,1.000000,0.000000,-0.000000
14,T4c,2.945125,5.760357,-2.538949,1.013748,0.000000,38.153296,193.241227,0.000000,0.704174,-0.488233,-0.488233
15,T4d,2.945125,5.803158,2.996346,1.022009,0.000000,31.777377,191.864097,0.000000,1.000000,0.000000,-0.000000
16,Tm1,2.945125,1.174341,4.723141,0.454247,0.000000,30.026395,202.733638,0.000000,1.000000,0.000000,0.000000
17,Tm2,2.945125,0.100000,-1.611369,0.362754,0.000000,28.048087,180.031276,0.000000,1.000000,0.000000,0.000000
18,Tm4,2.945125,4.865055,3.281388,0.293203,0.000000,30.021052,180.708806,0.000000,1.000000,0.000000,0.000000
19,Tm9,2.945125,1.044179,-1.872437,0.180817,0.000000,34.294639,198.662451,0.000000,0.452294,0.004661,0.004661
20,T5a,2.945125,0.100000,-0.785812,0.992961,0.000000,42.423903,193.445959,0.000000,1.000000,0.000000,-0.000000
21,T5b,2.945125,6.405017,6.898515,0.952549,0.000000,46.653209,193.715268,0.000000,0.000000,6.166115,6.166115
22,T5c,2.945125,0.100000,-1.464309,1.008831,0.000000,40.400786,207.214300,0.000000,1.000000,0.000000,-0.000000
23,T5d,2.945125,0.371319,-1.373365,1.011476,0.000000,39.509832,206.191215,0.000000,0.858489,-0.015872,-0.015872
24,T1,2.945125,0.533182,-0.454715,1.022553,0.000000,40.676341,200.697129,0.000000,0.000000,-0.595748,-0.595748
