idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.035558,1.829038,-1.166417,0.987120,0.000000,24.370766,196.375129,0.000000,0.000000,20.010655,20.010655
1,R7,2.035558,6.061626,0.988230,1.031808,0.000000,23.327130,190.451403,0.000000,0.000000,19.680289,19.680289
2,R8,2.035558,4.866602,3.484828,0.964720,0.000000,21.920707,209.443166,0.000000,0.000000,11.639662,11.639662
3,L1,2.035558,1.478133,18.270288,0.523835,0.000000,23.306863,190.901820,0.000000,0.600000,3.387915,3.387916
4,L2,2.035558,2.592396,21.380030,1.003586,0.000000,21.865763,198.134065,0.000000,0.600000,-11.321015,-11.321015
5,L3,2.035558,2.412491,19.817342,1.718436,0.000000,28.575355,204.753157,0.000000,0.000000,-30.865738,-30.865738
6,L4,2.035558,0.100000,17.939125,0.277577,0.000000,19.016351,186.017736,0.000000,1.000000,0.000000,0.000000
7,L5,2.035558,3.624093,21.786091,0.440904,0.000000,22.744111,184.142367,0.000000,1.000000,0.000000,0.000001
8,Mi1,2.035558,2.361451,21.356627,0.695148,0.000000,25.040694,207.264850,0.000000,0.000000,12.749616,12.747840
9,Tm3,2.035558,2.456131,21.938386,0.917620,0.000000,26.597673,196.035018,0.000000,0.000000,46.176182,46.176182
10,Mi4,2.035558,2.078736,26.428835,1.245865,0.000000,28.999642,191.686675,0.000000,0.000000,98.846981,98.846969
11,Mi9,2.035558,3.085168,20.075875,0.901021,0.000000,33.291650,207.942916,0.000000,0.000000,-106.710842,-106.710837
12,T4a,2.035558,2.385192,28.681113,1.025121,0.000000,44.535779,200.277873,0.000000,0.000000,33.124712,33.124671
13,T4b,2.035558,1.441772,19.004963,0.998113,0.000000,52.241154,208.486300,0.000000,0.000000,-8.587710,-8.588954
14,T4c,2.035558,0.140388,17.953051,1.021843,0.000000,40.599190,200.376705,0.000000,0.000000,-7.790938,-7.791853
15,T4d,2.035558,4.679322,29.898131,1.037989,0.000000,55.838723,194.170973,0.000000,0.000000,39.405840,39.405660
16,Tm1,2.035558,0.100000,18.418916,2.379892,0.000000,27.521329,197.996310,0.000000,0.000000,-151.913956,-151.928576
17,Tm2,2.035558,0.455015,18.342748,2.617416,0.000000,22.721659,205.634834,0.000000,0.000000,-71.082001,-71.082002
18,Tm4,2.035558,4.105400,25.561187,3.038202,0.000000,23.829766,208.028142,0.000000,0.000000,-121.961660,-121.961656
19,Tm9,2.035558,0.100000,16.894943,0.303824,0.000000,29.172320,203.053827,0.000000,0.000000,-42.266248,-42.266242
20,T5a,2.035558,4.082296,22.786682,0.969243,0.000000,29.216011,197.211521,0.000000,0.000000,5.187894,5.187879
21,T5b,2.035558,0.299812,19.123527,1.007957,0.000000,38.687083,204.968693,0.000000,0.000000,0.109829,0.109829
22,T5c,2.035558,9.859061,30.912852,1.042801,0.000000,21.787703,207.823156,0.000000,0.000000,12.330032,12.330032
23,T5d,2.035558,8.820683,30.044725,0.965377,0.000000,22.948818,206.924057,0.000000,0.000000,1.360154,1.360133
24,T1,2.035558,0.267007,18.978649,0.999781,0.000000,39.933074,199.929869,0.000000,0.000000,-155.886004,-155.885999
25,T2,2.035558,1.806762,21.594452,1.036340,0.000000,43.957045,196.297004,0.000000,0.000000,42.337441,42.337442
26,T2a,2.035558,1.294913,20.122965,1.044639,0.000000,45.283730,190.216591,0.000000,0.000000,-3577100686.921189,-3294.397232
27,T3,2.035558,1.515876,21.331061,1.005154,0.000000,45.345900,190.989517,0.000000,0.000000,40.706869,40.706869
28,C2,2.035558,2.414382,21.623423,1.040766,0.000000,47.214294,193.479473,0.000000,0.000000,14.424438,14.424438
29,C3,2.035558,3.588660,28.882993,1.002311,0.000000,31.463035,199.803562,0.000000,0.000000,52.078025,52.078023
30,Lawf1,2.035558,0.215031,18.883837,1.028994,0.000000,38.529323,200.575889,0.000000,0.000000,0.406116,0.406116
31,Lawf2,2.035558,2.474627,25.529090,0.960834,0.000000,42.693427,204.301303,0.000000,0.000000,16.745056,16.724440
32,Dm3v,2.035558,8.984277,33.557932,1.022473,0.000000,27.314821,208.481469,0.000000,0.000000,6.550597,6.555023
33,Lai,2.035558,0.651740,20.475840,1.038510,0.000000,37.404674,205.030690,0.000000,0.000000,-30.234115,-30.234113
34,Mi10,2.035558,0.387042,19.164053,1.003095,0.000000,41.172120,208.816585,0.000000,0.000000,0.275221,0.275221
35,Mi13,2.035558,9.000083,34.672233,1.043570,0.000000,48.844452,207.038373,0.000000,0.000000,10.092785,10.092786
36,Mi14,2.035558,2.531623,28.802701,1.001084,0.000000,42.811613,195.135777,0.000000,0.000000,42.279721,42.279721
37,Mi15,2.035558,2.123707,26.292988,0.964567,0.000000,43.410334,207.508881,0.000000,0.000000,3.915054,3.915054
38,Mi2,2.035558,4.929152,29.029651,0.952814,0.000000,51.480324,208.017879,0.000000,0.000000,10.897226,10.897226
39,Tm16,2.035558,0.100000,18.422057,1.043504,0.000000,39.490632,193.788443,0.000000,0.000000,-793197.483951,-4642.067930
40,Tm20,2.035558,0.100000,17.843494,0.980638,0.000000,36.929878,191.723361,0.000000,0.000000,-65.621905,-65.621903
41,Tm21,2.035558,0.496939,20.232681,0.982628,0.000000,44.401544,196.189763,0.000000,0.000000,-281093347.324526,-1223.720176
42,Tm27,2.035558,1.664607,21.701055,0.997550,0.000000,39.462809,194.548691,0.000000,0.000000,19.791134,19.787727
43,Tm5a,2.035558,4.299930,22.847236,1.015250,0.000000,37.147679,193.703765,0.000000,0.000000,0.714881,0.714881
44,Tm5b,2.035558,0.694369,19.619500,1.021890,0.000000,47.799714,191.033961,0.000000,0.000000,-2.782470,-2.782469
45,Tm5c,2.035558,0.262205,15.890764,0.953707,0.000000,37.879387,197.690714,0.000000,0.000000,-8.997277,-8.997277
46,Tm5f,2.035558,5.978094,25.356686,0.991043,0.000000,44.671512,195.323800,0.000000,0.000000,6.423947,6.423947
