,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,0.834780,,,1.740349,1.527609,1.766787,1.737494,,,,,,,,,,,,,,,,,,1.280627,,,,0.844856,0.100000,,,,0.469123,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.642733,2.100819,,1.961870,,,0.100000,,0.100000,2.087907,,,,,,,,,,,,,,,,,,0.100000,1.828372,,,0.494752,1.721442,,,0.100000,1.880790,,1.994079,,0.100000,1.825471,1.163359,2.027987,0.100000,,,,,,,,,
R8,,0.100000,1.753336,1.875811,1.570416,2.007631,,0.100000,0.100000,,0.100000,2.145650,,,,,,,,,,,,,1.287454,,,,0.499871,0.100000,1.634066,0.100000,,,2.035315,,0.211375,0.100000,0.291951,,2.038921,0.100000,,,1.497758,2.104222,,0.100000,,1.203792,,,,,1.015402,
L1,0.927199,1.170113,0.931885,0.244189,0.833680,0.685013,0.100000,1.734702,1.699762,1.585270,2.069696,,,,,,0.290421,0.694383,,,,,,,1.075509,1.738116,1.686133,,1.005983,1.079152,,1.108377,,1.428158,,,,2.099670,0.429097,,,,1.710772,,,,,,,,,1.683437,,,,
L2,1.037962,,2.090909,1.269145,0.818379,1.345784,1.963506,0.302935,0.100000,0.100000,0.100000,1.869956,,,,,1.428437,1.201830,1.422796,,,,,,1.002994,0.315523,1.826887,,1.154562,0.896203,,,,0.651791,,1.209523,1.064029,,1.814091,,1.831524,,,,0.567449,,,,,,,0.688976,,,,
L3,,1.959226,1.957953,1.288388,1.046524,,,,0.321304,,0.100000,1.770501,,,,,1.240580,2.018206,1.690051,2.019770,,,,,0.940972,,,,0.953984,0.929863,1.262180,,1.023492,,1.748593,1.487453,,1.006045,1.838981,1.423629,1.741157,0.956932,0.319366,0.757762,1.357046,1.918697,1.551926,0.100000,,,,,0.982781,,0.501189,1.313112
L4,1.110395,,,1.032041,1.016508,1.458033,1.962895,1.069168,0.353382,,,1.359393,,,,,1.024453,0.796561,1.056451,1.669694,,,,,,0.648819,,,,0.958697,1.342892,1.066412,,,,1.866423,1.183440,,,,,,0.100000,,,,,,,,,0.292694,,,,
L5,,,,0.521675,0.138431,,,1.423026,1.918502,1.926845,1.920987,0.127409,,,,,0.116437,0.519358,0.120904,,,,,,0.656503,1.887438,1.578789,,1.703191,1.836741,0.814484,1.885294,,1.078199,0.766903,0.929601,1.897429,2.002386,0.956314,,0.119341,1.182285,1.911415,,0.295515,,,,0.100000,0.142519,0.889114,1.189888,,1.790127,,
Mi1,,0.890258,1.253486,1.169062,0.715815,,,1.140871,1.673785,1.681752,1.906978,0.100000,1.059070,0.302324,0.100000,1.217289,0.353601,1.925048,0.620066,,,,,,0.365363,1.640041,1.650101,1.609434,1.383998,1.573127,0.632592,0.641176,1.459156,,0.166865,1.234062,1.323830,1.619986,0.904045,,0.422116,0.951616,1.623881,,,0.101843,,1.592742,0.970231,0.581651,0.370917,0.941153,0.151377,0.690472,1.624796,1.740375
Tm3,,,,0.628490,0.617749,,,,1.945842,1.861915,1.044948,0.100000,0.861890,0.138838,0.100000,0.875548,,,0.186607,,,1.031500,,0.965825,,1.869535,1.894107,1.838908,1.578959,1.841406,0.625191,1.870859,,,0.162283,1.188716,1.886615,,,0.100000,,,1.894370,,,,0.336595,,1.842108,0.227652,0.133140,1.310291,,1.701286,,
Mi4,,,,,0.887009,0.599001,,1.986427,1.243351,1.320285,1.153085,0.788281,0.390056,1.119328,0.873850,1.098353,0.937598,0.944836,0.376078,0.670364,,,,,0.848049,,0.124289,,0.793603,0.401487,0.799434,1.110072,0.979416,,0.746278,,1.231642,,0.930484,0.936329,0.843851,,1.731124,1.178563,1.575802,0.653912,1.922787,1.325238,1.062152,,0.419600,1.746940,1.012575,0.919758,,
Mi9,,,,,,0.519232,0.364104,,1.321355,1.442066,1.704321,,0.341578,1.043022,0.917877,1.263707,0.902576,1.201092,0.897867,0.100000,,,,,,1.238440,1.243298,1.243098,0.922817,,0.586129,1.047465,1.405642,,0.638629,,1.034289,1.422371,,0.946270,0.326013,1.099049,1.752666,0.692140,1.633510,,0.961498,,1.042359,1.023409,,1.771430,1.347248,0.229325,0.647963,
T4a,,,,,,,,,,,,0.254542,0.961228,1.018066,0.993980,0.992018,,,,,0.609475,,,,,,,,,1.612473,,,,,,1.008320,,,,,,,0.822896,,,,,,,0.372473,,,,,1.179175,1.885987
T4b,,,,,,,,,1.628377,,1.643651,0.172525,0.949764,0.204809,,1.000163,,,,,,0.971705,,,,,,,,,,,,,,1.195868,,,,,,,1.822708,,,,,,1.455710,0.335490,0.624628,,,,,
T4c,,,,,,,,,,,,0.145453,,,0.131919,,,,,,,,0.528062,1.371683,,0.952908,,,,,,,,,,,,,,,,,,,,,,,,0.540156,0.502610,,0.433480,1.566732,,
T4d,,,,,,,,,1.859140,,,,,,1.000363,1.484665,,,,,,,,0.852433,,,,,,,,,,,,,,,,,,,,,,,,,,0.847308,0.511835,,0.197713,1.843949,,
Tm1,,,,,1.008229,,,0.479527,0.550862,0.341997,0.100000,1.560959,,,0.978717,,0.838412,0.663765,1.103458,1.927319,0.228755,0.712760,1.040372,1.560406,0.868418,0.147392,0.578415,0.732143,0.797494,0.970773,,0.862819,1.071857,,1.241951,1.838614,,1.649512,1.405457,0.786052,1.363818,0.115114,0.114284,1.131375,,,0.950967,0.262823,,0.802862,,0.989994,0.740609,1.844782,0.920841,0.216235
Tm2,,,,1.565408,0.976879,,,0.492618,0.668892,0.100000,0.208429,1.533835,0.413662,,1.190182,,1.113889,,1.064602,1.761929,0.153591,0.750082,1.001265,1.817529,0.881088,0.649897,0.545450,0.739461,,1.015153,1.265954,0.827901,0.999458,,,1.538611,,,1.318188,,,0.703773,0.280870,,,,,,1.804630,0.844574,1.639917,0.233224,1.453748,1.902422,1.795676,0.440798
Tm4,,,,,1.109130,,,,0.462116,0.736338,0.145962,,,,,,1.159153,0.901124,0.997508,,0.156403,0.678969,0.970682,1.330689,0.700194,0.929851,0.687901,0.734134,1.133184,1.045921,,0.798728,,,1.335881,1.799196,0.938409,,1.075323,,,0.599788,0.119224,,,,,,0.673031,0.872675,1.694644,0.187419,,1.185801,,0.505793
