idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.427151,1.373017,0.852778,1.031983,0.000000,15.475117,204.676524,0.000000,0.000000,19.907634,19.907634
1,R7,2.427151,4.580516,1.472016,1.018156,0.000000,15.792312,200.436176,0.000000,0.000000,19.609753,19.609753
2,R8,2.427151,2.832352,2.121403,1.007779,0.000000,13.211865,195.588635,0.000000,0.000000,19.788225,19.788225
3,L1,2.427151,1.295523,19.390706,0.627087,0.000000,33.498601,190.634489,0.000000,0.600000,-9.579503,-9.579502
4,L2,2.427151,1.138391,19.454580,1.736715,0.000000,38.429925,198.910758,0.000000,0.600000,-30.352600,-30.352582
5,L3,2.427151,1.331717,18.663398,1.897733,0.000000,34.775192,195.059334,0.000000,0.000000,-41.745611,-41.745581
6,L4,2.427151,0.100353,18.091602,0.662444,0.000000,36.175001,195.969067,0.000000,1.000000,0.000000,-0.000000
7,L5,2.427151,2.979941,21.228175,1.007254,0.000000,33.250557,204.264494,0.000000,1.000000,0.000000,-0.000001
8,Mi1,2.427151,2.450679,21.383534,1.289703,0.000000,39.330645,203.577529,0.000000,0.000000,18.815234,18.815264
9,Tm3,2.427151,2.467333,21.519333,1.941644,0.000000,39.960133,190.480304,0.000000,0.000000,62.650732,62.650743
10,Mi4,2.427151,1.829334,23.792423,1.250784,0.000000,40.221893,209.864500,0.000000,0.000000,84.331906,84.336039
11,Mi9,2.427151,3.272983,21.027114,0.945991,0.000000,38.276948,206.152932,0.000000,0.000000,-82.397750,-82.407242
12,T4a,2.427151,2.138515,21.508789,0.964264,0.000000,41.507985,201.852659,0.000000,0.000000,39.220321,39.220234
13,T4b,2.427151,0.695078,17.671285,1.019585,0.000000,40.574976,209.942092,0.000000,0.000000,-12.467032,-12.467450
14,T4c,2.427151,0.629805,14.010376,1.004190,0.000000,41.686244,206.056998,0.000000,0.000000,-4.084325,-4.085279
15,T4d,2.427151,1.605270,20.747083,1.019661,0.000000,40.880332,204.024640,0.000000,0.000000,19.264801,19.264647
16,Tm1,2.427151,0.104168,18.419155,1.327968,0.000000,37.971053,201.626937,0.000000,0.000000,-51.541001,-51.541298
17,Tm2,2.427151,0.101128,18.366731,1.274017,0.000000,35.581916,208.710953,0.000000,0.000000,-7.833327,-7.833435
18,Tm4,2.427151,1.353255,20.585890,1.478962,0.000000,37.962760,190.222657,0.000000,0.000000,-52.348186,-52.348183
19,Tm9,2.427151,0.849556,20.406154,0.807106,0.000000,39.015532,204.052448,0.000000,0.000000,-22.465352,-22.466003
20,T5a,2.427151,0.142632,19.070049,1.035915,0.000000,40.227941,190.492398,0.000000,0.000000,-0.306637,-0.306638
21,T5b,2.427151,0.100112,18.672405,0.998753,0.000000,37.673782,194.373079,0.000000,0.000000,-0.130181,-0.130181
22,T5c,2.427151,2.273791,20.866583,1.014037,0.000000,29.360410,192.932768,0.000000,0.000000,2.242818,2.242764
23,T5d,2.427151,0.574332,19.082360,0.957940,0.000000,34.974876,191.745400,0.000000,0.000000,0.085294,0.085294
24,T1,2.427151,0.102421,17.872285,1.014165,0.000000,40.519274,209.410131,0.000000,0.000000,-109.794114,-109.794098
25,T2,2.427151,1.617067,21.690222,0.952677,0.000000,43.437655,206.408540,0.000000,0.000000,56.422808,56.423718
26,T2a,2.427151,1.420233,20.462593,1.041191,0.000000,43.237502,203.339329,0.000000,0.000000,26.732209,26.732143
27,T3,2.427151,1.683300,21.676643,1.015234,0.000000,43.259153,206.564586,0.000000,0.000000,59.441689,59.441705
