,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,4.672909,,,1.115458,1.982557,3.170143,7.241825,,,,,,,,,,,,,,,,,,1.121239,,,,3.392835,0.100000,,,,1.774799,,,,,,,,,,,,,,,,,,,,,,
R7,,,1.004846,3.415688,,4.358520,,,0.747942,,0.100000,5.787150,,,,,,,,,,,,,,,,,,0.100000,0.500399,,,3.709934,0.978914,,,0.100000,0.216126,,3.881791,,0.738871,2.861237,1.829499,4.686269,0.100000,,,,,,,,,
R8,,1.736654,4.584385,2.385185,0.100000,4.037891,,0.100000,0.702398,,0.100000,8.959672,,,,,,,,,,,,,1.346346,,,,2.048577,0.100000,0.946826,9.060694,,,0.100000,,0.100000,0.100000,0.100000,,4.197889,2.857326,,,1.408600,4.685610,,1.787751,,4.132677,,,,,1.005092,
L1,0.793280,0.100000,0.100000,0.100000,1.749637,0.854735,0.100000,6.713528,1.428189,1.304852,4.659919,,,,,,2.946210,6.573750,,,,,,,1.845390,2.308522,1.088426,,0.838946,0.639933,,0.100000,,3.244957,,,,0.874902,0.384590,,,,8.834510,,,,,,,,,1.206302,,,,
L2,10.000000,,6.135132,0.100000,0.100000,0.205986,3.244810,0.100000,0.100000,0.100000,0.100000,3.011794,,,,,0.936258,0.554803,2.589894,,,,,,0.251038,0.116274,1.559083,,8.289411,6.371981,,,,1.793058,,7.072146,5.101697,,8.373536,,2.218406,,,,0.100000,,,,,,,1.582952,,,,
L3,,2.335933,0.100000,0.100000,0.225496,,,,0.581380,,0.100000,1.753562,,,,,0.444900,9.487784,8.449451,3.748172,,,,,0.100000,,,,1.113609,2.743692,0.108046,,10.000000,,0.481564,2.577499,,1.578882,1.612380,0.499219,0.748784,1.025230,1.575804,1.493775,1.493430,2.357750,1.830947,1.831195,,,,,1.000208,,0.780203,2.428296
L4,1.253297,,,0.126525,0.900994,0.198364,0.100000,10.000000,2.897548,,,0.168999,,,,,0.275309,0.100000,0.100000,0.146635,,,,,,1.864501,,,,4.597229,0.102819,2.196293,,,,3.711531,1.818731,,,,,,1.923436,,,,,,,,,1.093293,,,,
L5,,,,1.527063,10.000000,,,1.417752,3.514511,3.446108,5.182726,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,1.081652,3.173763,1.635041,,1.927252,10.000000,0.809392,7.239145,,3.413292,1.131296,3.171144,6.804015,5.071967,1.816280,,0.100073,0.845760,3.169675,,0.100000,,,,0.100000,0.100000,7.974090,2.071374,,1.643795,,
Mi1,,1.097096,0.630597,2.283495,10.000000,,,0.100000,2.810795,2.122038,3.231024,0.748000,2.256738,6.030553,5.767541,3.625635,0.100000,0.788044,0.100000,,,,,,0.100000,2.211800,1.885112,2.166768,1.596253,2.977887,0.493923,1.554399,10.000000,,1.112712,7.465074,2.035456,2.560088,1.227234,,0.100000,0.415000,2.557123,,,0.100000,,4.026378,0.995442,0.724642,0.820443,1.326570,7.102113,1.188674,2.828821,3.724548
Tm3,,,,0.949127,9.052535,,,,2.570527,2.626026,0.100000,0.862818,1.834628,5.307153,4.820215,3.439742,,,0.100000,,,0.954485,,1.022496,,2.439658,2.440702,2.397151,0.735501,6.196549,0.100163,2.349866,,,0.317817,2.527619,2.881388,,,0.100000,,,2.632107,,,,2.223493,,2.696635,0.100000,0.731930,1.674497,,2.177045,,
