idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.417642,1.341129,0.884245,1.049855,0.000000,23.480114,199.846084,0.000000,0.000000,20.083985,20.083982
1,R7,2.417642,5.266388,0.571313,1.019900,0.000000,23.004256,203.489295,0.000000,0.000000,12.010808,12.010808
2,R8,2.417642,3.505588,2.700967,1.041076,0.000000,22.967020,190.284652,0.000000,0.000000,18.728145,18.728145
3,L1,2.417642,1.148181,19.183555,0.423271,0.000000,23.373233,183.963135,0.000000,0.600000,1.941856,1.941612
4,L2,2.417642,2.125849,21.917611,1.014678,0.000000,23.804596,181.489783,0.000000,0.600000,-13.588404,-13.588582
5,L3,2.417642,1.336989,18.307439,1.798739,0.000000,29.136914,196.576102,0.000000,0.000000,-35.422293,-35.422291
6,L4,2.417642,0.100000,18.204833,0.190033,0.000000,19.972954,189.379563,0.000000,1.000000,0.000000,-0.000045
7,L5,2.417642,3.610325,22.416814,0.535954,0.000000,33.428744,191.659714,0.000000,1.000000,0.000000,-0.000720
8,Mi1,2.417642,2.335584,22.054839,0.715082,0.000000,37.605049,201.864675,0.000000,0.000000,28.037369,28.036308
9,Tm3,2.417642,2.371225,21.846719,0.756542,0.000000,38.592065,191.694567,0.000000,0.000000,77.743828,77.743129
10,Mi4,2.417642,2.394218,23.526007,1.071631,0.000000,39.515338,204.123710,0.000000,0.000000,6.544760,6.543548
11,Mi9,2.417642,5.194864,23.035249,1.124014,0.000000,37.874515,202.812473,0.000000,0.000000,47.860089,47.860919
12,T4a,2.417642,2.433079,24.352154,0.960748,0.000000,43.883441,205.041813,0.000000,0.000000,54.245483,54.245438
13,T4b,2.417642,5.731115,25.484773,0.975272,0.000000,34.408589,192.546221,0.000000,0.000000,561.481223,561.519169
14,T4c,2.417642,5.564696,27.106314,0.972990,0.000000,29.119201,199.659011,0.000000,0.000000,466.969971,466.970605
15,T4d,2.417642,3.858006,25.379990,0.971625,0.000000,51.896310,199.412071,0.000000,0.000000,71.508808,71.508731
16,Tm1,2.417642,0.198586,18.104365,1.363185,0.000000,38.614918,195.652051,0.000000,0.000000,-218.987516,-218.990823
17,Tm2,2.417642,0.126757,17.626825,0.718123,0.000000,20.123130,190.361642,0.000000,0.000000,-125.665573,-125.673793
18,Tm4,2.417642,1.872158,20.671598,1.899724,0.000000,38.300708,193.748729,0.000000,0.000000,-143.317238,-143.317849
19,Tm9,2.417642,0.129544,17.964206,0.267849,0.000000,37.009734,191.620523,0.000000,0.000000,-35.818826,-35.818689
20,T5a,2.417642,0.660236,19.504190,1.041201,0.000000,41.535520,199.906574,0.000000,0.000000,-2.607052,-2.607052
21,T5b,2.417642,0.716620,19.668754,1.042710,0.000000,36.049007,193.043699,0.000000,0.000000,4.901810,4.901810
22,T5c,2.417642,4.018362,23.044884,1.000659,0.000000,29.202599,209.302601,0.000000,0.000000,2.561846,2.561847
23,T5d,2.417642,0.457342,18.962797,1.039043,0.000000,33.154346,209.216102,0.000000,0.000000,0.380075,0.380075
24,T1,2.417642,0.100000,18.710009,1.010828,0.000000,41.481995,192.582042,0.000000,0.000000,-202.270787,-202.270251
25,T2,2.417642,1.597761,21.332239,1.035538,0.000000,42.611692,195.967556,0.000000,0.000000,64.492509,64.491664
26,T2a,2.417642,1.408464,21.466615,0.992904,0.000000,44.249599,195.245446,0.000000,0.000000,-188866.230888,-2119.519697
27,T3,2.417642,1.449843,21.833133,0.976719,0.000000,44.814155,200.718531,0.000000,0.000000,64.883481,64.883436
28,C2,2.417642,2.237321,20.952201,1.010539,0.000000,44.533839,204.744492,0.000000,0.000000,18.126450,18.126261
29,C3,2.417642,3.532533,25.024731,0.955062,0.000000,41.610737,200.142732,0.000000,0.000000,66.369023,66.368342
30,Lawf1,2.417642,0.103066,17.954578,0.991882,0.000000,37.965300,196.977682,0.000000,0.000000,-58.709094,-58.709222
31,Lawf2,2.417642,2.176959,22.577201,1.003315,0.000000,43.384642,195.088702,0.000000,0.000000,12.043493,12.043493
32,Dm3v,2.417642,10.000000,39.865677,0.996970,0.000000,31.141033,208.883776,0.000000,0.000000,7.000145,7.000153
33,Lai,2.417642,0.410600,19.894215,0.985326,0.000000,39.772788,193.728284,0.000000,0.000000,-64.198653,-64.198507
34,Mi10,2.417642,0.106473,17.802882,1.016259,0.000000,39.442681,195.092418,0.000000,0.000000,-261.102198,-261.102830
35,Mi13,2.417642,3.219489,23.087257,0.965182,0.000000,42.985396,194.527015,0.000000,0.000000,37.791471,37.800319
36,Mi14,2.417642,2.216374,27.242895,0.972468,0.000000,40.011176,208.646659,0.000000,0.000000,62.994737,62.994642
37,Mi15,2.417642,2.309522,24.064308,1.023443,0.000000,43.526749,199.791190,0.000000,0.000000,-1.191339,-1.191513
38,Mi2,2.417642,2.407559,21.997950,1.019916,0.000000,39.553807,201.070303,0.000000,0.000000,9.785091,9.785087
39,Tm16,2.417642,0.100000,18.437591,1.041161,0.000000,41.379694,193.119238,0.000000,0.000000,-238.626387,-242.855173
