idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.433071,1.628527,-1.140940,0.955932,0.000000,24.121792,205.869097,0.000000,0.000000,19.846702,19.846702
1,R7,1.433071,4.110086,2.529181,1.042992,0.000000,25.093157,190.025194,0.000000,0.000000,19.797228,19.797228
2,R8,1.433071,2.007481,-0.888890,1.046486,0.000000,20.285786,207.092972,0.000000,0.000000,18.822507,18.822507
3,L1,1.433071,0.799619,19.379664,1.012943,0.000000,22.373444,188.350658,0.000000,0.600000,-10.066700,-10.066700
4,L2,1.433071,0.214646,18.421841,2.550390,0.000000,25.395312,198.911391,0.000000,0.600000,-157.735758,-157.735758
5,L3,1.433071,1.691015,22.726598,0.365105,0.000000,33.471071,209.187446,0.000000,0.000000,-10.567877,-10.567877
6,L4,1.433071,0.104025,19.005686,0.180970,0.000000,24.348962,187.582766,0.000000,1.000000,0.000000,0.000000
7,L5,1.433071,3.772720,22.402671,0.959100,0.000000,28.724018,195.664966,0.000000,1.000000,0.000000,0.000000
8,Mi1,1.433071,2.364443,22.337603,0.321418,0.000000,39.010811,202.464391,0.000000,0.000000,22.662200,22.662200
9,Tm3,1.433071,2.314801,21.611439,0.657858,0.000000,39.396884,202.163726,0.000000,0.000000,48.188213,48.188213
10,Mi4,1.433071,3.733894,27.139900,1.167374,0.000000,38.625833,209.871544,0.000000,0.000000,75.697337,75.697337
11,Mi9,1.433071,5.730527,24.346647,0.715031,0.000000,38.366526,208.519133,0.000000,0.000000,-142.370175,-142.370175
12,T4a,1.433071,2.584099,28.761877,1.049285,0.000000,40.414391,198.637756,0.000000,0.000000,31.429028,31.429028
13,T4b,1.433071,0.128622,18.573792,0.951440,0.000000,40.843254,196.666869,0.000000,0.000000,-15.139499,-15.139499
14,T4c,1.433071,0.671947,17.853777,0.985384,0.000000,40.880594,194.549043,0.000000,0.000000,-11.753361,-11.753361
15,T4d,1.433071,5.322637,27.187910,0.965656,0.000000,41.418340,201.025036,0.000000,0.000000,47.104372,47.104372
16,Tm1,1.433071,2.415954,20.619281,1.555192,0.000000,38.198492,204.733024,0.000000,0.000000,-114.928595,-114.928595
17,Tm2,1.433071,1.064844,19.554387,1.813525,0.000000,41.830136,205.926173,0.000000,0.000000,-24.120899,-24.120899
18,Tm4,1.433071,3.297488,22.179866,1.639870,0.000000,39.704076,203.491095,0.000000,0.000000,-105.544624,-105.544624
19,Tm9,1.433071,0.100000,17.757732,0.564071,0.000000,34.295937,191.176032,0.000000,0.000000,-102.899364,-102.899364
20,T5a,1.433071,3.785724,23.486413,0.956209,0.000000,38.892336,190.095891,0.000000,0.000000,2.856855,2.856855
21,T5b,1.433071,3.278777,22.216444,0.994295,0.000000,42.084137,190.496761,0.000000,0.000000,1.905119,1.905119
22,T5c,1.433071,6.728313,27.664487,0.971817,0.000000,49.077709,198.769853,0.000000,0.000000,4.622710,4.622710
23,T5d,1.433071,8.724772,29.287457,1.032319,0.000000,39.769038,203.717256,0.000000,0.000000,3.728242,3.728242
24,T1,1.433071,0.100000,18.027160,0.966280,0.000000,39.307724,205.724989,0.000000,0.000000,-111.628973,-111.628973
25,T2,1.433071,2.314462,21.451221,1.034538,0.000000,39.679440,209.276235,0.000000,0.000000,35.056694,35.056694
26,T2a,1.433071,1.919964,20.609230,0.991774,0.000000,40.563825,200.629637,0.000000,0.000000,14.415752,14.415752
27,T3,1.433071,2.319671,22.280239,0.974772,0.000000,41.864149,198.109716,0.000000,0.000000,31.263580,31.263580
28,C2,1.433071,4.178040,23.344462,0.980201,0.000000,34.831670,209.454705,0.000000,0.000000,26.483829,26.483829
29,C3,1.433071,4.347008,28.023912,0.977634,0.000000,38.217173,193.426217,0.000000,0.000000,41.275407,41.275407
30,Lawf1,1.433071,0.317230,19.301827,0.998848,0.000000,39.826851,198.348032,0.000000,0.000000,0.893051,0.893051
31,Lawf2,1.433071,2.917965,24.569890,1.014722,0.000000,41.432894,197.352847,0.000000,0.000000,9.148101,9.148101
32,Dm3v,1.433071,6.792965,27.468208,0.985804,0.000000,49.738572,198.368553,0.000000,0.000000,4.084132,4.084132
33,Lai,1.433071,1.122013,21.222289,0.962528,0.000000,48.810687,197.720350,0.000000,0.000000,18.847514,18.847514
34,Mi10,1.433071,0.532439,20.178356,1.049712,0.000000,41.525835,193.422395,0.000000,0.000000,0.713098,0.713098
35,Mi13,1.433071,6.759844,30.162136,0.987761,0.000000,41.842359,200.454292,0.000000,0.000000,6.715030,6.715030
36,Mi14,1.433071,3.378345,26.393136,0.991111,0.000000,39.870254,203.347397,0.000000,0.000000,28.757854,28.757854
37,Mi15,1.433071,3.737667,27.409410,0.994105,0.000000,43.787193,195.237634,0.000000,0.000000,5.608971,5.608971
38,Mi2,1.433071,5.399128,28.130701,1.017851,0.000000,42.642146,199.369005,0.000000,0.000000,21.189196,21.189196
39,Tm16,1.433071,0.100000,18.233420,1.032038,0.000000,40.733824,205.377957,0.000000,0.000000,-156.318578,-156.318578
40,Tm20,1.433071,0.302112,18.963873,1.038202,0.000000,39.497607,196.269686,0.000000,0.000000,-22.144554,-22.144554
41,Tm21,1.433071,2.338362,21.377417,0.982927,0.000000,39.120459,201.036607,0.000000,0.000000,12.405378,12.405378
42,Tm27,1.433071,2.451741,23.334644,0.955968,0.000000,39.774701,193.593403,0.000000,0.000000,21.142236,21.142236
43,Tm5a,1.433071,5.257762,25.011962,1.034313,0.000000,43.459419,197.115034,0.000000,0.000000,0.906171,0.906171
44,Tm5b,1.433071,3.374948,26.692627,1.021671,0.000000,44.034250,195.436890,0.000000,0.000000,4.516619,4.516619
45,Tm5c,1.433071,0.145013,15.508310,0.968849,0.000000,44.479606,198.692548,0.000000,0.000000,-2.394511,-2.394511
46,Tm5f,1.433071,4.407242,24.702983,1.035641,0.000000,42.993718,208.462132,0.000000,0.000000,6.467368,6.467368
47,TmY10,1.433071,4.685527,25.867597,0.992126,0.000000,44.331953,195.915481,0.000000,0.000000,-6.027555,-6.027555
48,TmY11,1.433071,2.448764,22.528863,0.984611,0.000000,39.069095,208.413866,0.000000,0.000000,-18.123481,-18.123481
49,TmY14,1.433071,0.100000,11.106316,0.971486,0.000000,38.405545,205.812894,0.000000,0.000000,-0.806478,-0.806478
50,TmY15,1.433071,0.100000,15.984223,0.975152,0.000000,38.721560,196.244609,0.000000,0.000000,-12.056827,-12.056827
51,TmY3,1.433071,2.199532,21.540661,1.049018,0.000000,40.464624,197.597547,0.000000,0.000000,31.159569,31.159569
52,TmY4,1.433071,8.931730,32.612978,1.023213,0.000000,39.304469,194.185895,0.000000,0.000000,125.284090,127.927318
53,TmY5a,1.433071,4.605726,25.541215,0.954695,0.000000,40.529782,202.089313,0.000000,0.000000,105.091063,105.352428
54,TmY9q,1.433071,4.007164,27.796984,0.984745,0.000000,43.752408,192.004648,0.000000,0.000000,16.619687,16.619687
