,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,7.431854,,,3.640615,6.357141,0.100000,0.100000,,,,,,,,,,,,,,,,,,2.289416,,,,10.000000,0.100000,,,,2.064465,,,,,,,,,,,,,,,,,,,,,,
R7,,,0.100000,10.000000,,0.458378,,,0.487956,,0.100000,8.926236,,,,,,,,,,,,,,,,,,0.100000,10.000000,,,2.254679,0.100000,,,0.100000,0.100000,,3.077353,,0.654332,0.805059,1.002735,8.321985,0.100000,,,,,,,,,
R8,,1.177859,10.000000,9.905646,7.397711,0.403899,,0.100000,0.100000,,0.100000,10.000000,,,,,,,,,,,,,2.026599,,,,4.216657,0.100000,0.924851,0.100000,,,0.772731,,0.100000,0.100000,0.100000,,0.100000,6.611551,,,1.031782,9.936026,,0.100000,,3.700073,,,,,1.018735,
L1,0.100004,0.100000,0.100000,3.050941,4.907733,10.000000,0.100000,1.728917,0.100000,0.100000,0.100000,,,,,,3.314198,10.000000,,,,,,,2.192157,0.100000,0.457550,,10.000000,0.100000,,0.100000,,0.498787,,,,0.100000,0.100000,,,,0.433991,,,,,,,,,0.100000,,,,
L2,2.944337,,0.112208,0.215530,0.100000,0.100000,4.029426,0.100000,3.181624,2.901914,4.476071,0.100000,,,,,0.130589,0.100000,0.100000,,,,,,0.100000,2.466859,0.157021,,2.926166,3.666558,,,,3.348390,,3.125875,2.709628,,3.615190,,0.101372,,,,1.029466,,,,,,,3.468544,,,,
L3,,0.100000,1.672713,0.100000,0.866649,,,,8.792397,,10.000000,0.100000,,,,,0.100000,0.100000,0.100000,0.100000,,,,,0.100000,,,,4.458739,10.000000,5.089795,,10.000000,,1.683530,10.000000,,0.738671,10.000000,0.100000,0.919548,0.984457,9.023469,5.157711,1.331144,0.727518,5.812904,7.773479,,,,,0.979208,,9.309833,10.000000
L4,0.100000,,,0.100000,0.100000,1.937177,3.356450,0.100000,6.644885,,,0.100000,,,,,0.100000,0.100000,0.100000,0.100000,,,,,,2.541674,,,,10.000000,3.800611,5.885862,,,,3.914140,4.840961,,,,,,7.501825,,,,,,,,,2.440159,,,,
L5,,,,0.100000,0.100000,,,3.187857,3.417339,3.534554,10.000000,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,2.946782,2.581078,3.018501,,2.078740,10.000000,0.100000,10.000000,,0.827140,7.343723,4.265565,9.949413,10.000000,7.812061,,3.833508,2.247240,2.892355,,3.087285,,,,0.831168,0.100000,1.858014,2.499038,,0.912919,,
Mi1,,0.838684,0.100000,0.100000,3.664277,,,0.471219,2.322604,2.387791,3.763579,0.100000,4.069776,0.171289,0.151529,10.000000,0.100000,0.100000,0.100000,,,,,,0.100000,2.149298,1.751636,2.228718,3.873079,4.109854,8.997224,3.923046,9.346126,,3.740125,8.193931,7.131222,2.639248,4.494536,,0.100278,2.165852,1.614421,,,0.100000,,9.224394,0.979911,0.100000,0.100000,2.085408,10.000000,8.944061,1.934627,7.561097
Tm3,,,,0.100000,0.100000,,,,2.216426,2.313239,0.100000,0.100000,2.943337,0.174918,0.167461,10.000000,,,0.100000,,,0.993916,,1.049962,,2.164227,1.991786,2.132695,0.100000,10.000000,1.515429,1.416962,,,2.785863,6.649321,3.415686,,,0.100000,,,2.075379,,,,6.711886,,2.200063,0.100000,0.100000,2.118036,,4.027528,,
