idx,cell,a_in,a_out,bias_out,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.121867,1.132259,-2.304867,1.006905,0.000000,10.000000,200.886284,0.000000,0.000000,19.888952,19.888952
1,R7,1.121867,2.386538,0.953646,0.979204,0.000000,17.725416,191.849967,0.000000,0.000000,19.104753,19.104753
2,R8,1.121867,1.808475,-1.680445,0.969891,0.000000,10.000000,209.501181,0.000000,0.000000,19.623217,19.623217
3,L1,1.121867,0.221762,44.436055,1.698285,0.000000,22.196455,199.411345,0.000000,0.600000,-55.649819,-55.649819
4,L2,1.121867,0.100000,47.612316,2.976479,0.000000,36.219372,190.519693,0.000000,0.600000,-590.359355,-590.359355
5,L3,1.121867,3.081870,52.645554,0.100000,0.000000,38.596318,208.473731,0.000000,0.000000,-1.145574,-1.145574
6,L4,1.121867,0.143120,48.189209,1.107434,0.000000,38.583469,204.031778,0.000000,1.000000,0.000000,-0.000000
7,L5,1.121867,5.703116,54.667750,0.245192,0.000000,40.142029,193.976597,0.000000,1.000000,0.000000,0.000000
8,Mi1,1.121867,2.835122,53.804402,0.316847,0.000000,42.929554,196.955203,0.000000,0.000000,99.822147,99.822147
9,Tm3,1.121867,2.197335,52.741540,0.641460,0.000000,38.807385,198.993616,0.000000,0.000000,170.168695,170.168695
10,Mi4,1.121867,4.634234,55.000000,5.286656,0.000000,42.009013,195.520965,0.000000,0.000000,270.229121,270.229121
11,Mi9,1.121867,3.499678,52.988408,1.530656,0.000000,39.987651,195.889616,0.000000,0.000000,-1108.755885,-1108.755885
12,T4a,1.121867,7.578406,54.926161,0.966514,0.000000,46.515217,200.566698,0.000000,0.000000,505.693738,505.693738
13,T4b,1.121867,0.248416,48.719370,1.033894,0.000000,39.522190,190.711863,0.000000,0.000000,-65.431644,-65.431644
14,T4c,1.121867,0.100000,47.895398,1.022774,0.000000,39.473075,196.773654,0.000000,0.000000,-58.073438,-58.073438
15,T4d,1.121867,10.000000,55.000000,0.993649,0.000000,43.179220,197.807225,0.000000,0.000000,344.727253,344.727253
16,Tm1,1.121867,4.364894,49.447745,4.082674,0.000000,42.620666,205.708867,0.000000,0.000000,-1218.930287,-1218.930287
17,Tm2,1.121867,0.130167,51.472909,3.360471,0.000000,42.190810,202.563633,0.000000,0.000000,-98.473615,-98.473615
18,Tm4,1.121867,4.707526,55.000000,3.845988,0.000000,38.425053,207.283084,0.000000,0.000000,-1588.468962,-1588.468962
19,Tm9,1.121867,0.860386,50.326152,2.070495,0.000000,40.521423,207.531645,0.000000,0.000000,-349.030486,-349.030486
20,T5a,1.121867,4.610868,54.207126,0.950229,0.000000,41.525860,202.940112,0.000000,0.000000,6.481427,6.481427
21,T5b,1.121867,2.366464,55.000000,1.008608,0.000000,44.860871,206.992944,0.000000,0.000000,8.868823,8.868823
22,T5c,1.121867,3.451941,52.141642,1.042369,0.000000,39.711279,201.356079,0.000000,0.000000,2.111491,2.111491
23,T5d,1.121867,10.000000,55.000000,0.980880,0.000000,41.676095,197.113821,0.000000,0.000000,12.108959,12.108959
24,T1,1.121867,0.100000,48.971377,0.991158,0.000000,42.432356,201.758313,0.000000,0.000000,-535.360053,-535.360053
25,T2,1.121867,2.228550,53.108075,1.033316,0.000000,40.552472,206.933452,0.000000,0.000000,77.247423,77.247423
