,R1-6,R7,R8,L1,L2,L3,L4,L5,Mi1,Tm3,Mi4,Mi9,T4a,T4b,T4c,T4d,Tm1,Tm2,Tm4,Tm9,T5a,T5b,T5c,T5d,T1,T2,T2a,T3,C2,C3,Lawf1,Lawf2,Dm3v,Lai,Mi10,Mi13,Mi14,Mi15,Mi2,Tm16,Tm20,Tm21,Tm27,Tm5a,Tm5b,Tm5c,Tm5f,TmY10,TmY11,TmY14,TmY15,TmY3,TmY4,TmY5a,TmY9q,TmY9q__perp
R1-6,10.000000,,,2.782313,1.772678,1.114990,0.100000,,,,,,,,,,,,,,,,,,8.706991,,,,6.888516,3.223371,,,,0.254749,,,,,,,,,,,,,,,,,,,,,,
R7,,,6.570289,9.644970,,1.811156,,,0.100000,,0.100000,1.914306,,,,,,,,,,,,,,,,,,0.100000,3.407892,,,10.000000,0.100000,,,3.227474,0.100000,,1.582069,,2.606375,0.101782,0.802467,9.527384,10.000000,,,,,,,,,
R8,,2.360090,0.954995,10.000000,0.100000,2.389537,,2.089522,0.100000,,0.100000,2.034389,,,,,,,,,,,,,0.100000,,,,0.100000,0.558451,4.227946,10.000000,,,0.100000,,0.100000,5.034116,4.321049,,8.616217,10.000000,,,3.809318,0.100000,,6.101394,,0.100000,,,,,1.028568,
L1,0.100000,0.100000,0.100000,0.100000,0.100000,5.484144,0.100000,6.265728,1.979084,3.220242,0.100000,,,,,,0.100000,0.100000,,,,,,,10.000000,4.313800,0.100000,,0.974788,0.100000,,0.100000,,5.838730,,,,0.100000,10.000000,,,,0.100000,,,,,,,,,0.100000,,,,
L2,10.000000,,0.100000,1.440480,1.052736,0.100000,4.270233,0.878795,2.158736,0.100000,0.100000,1.609018,,,,,0.750177,0.189697,0.501963,,,,,,0.115519,1.813306,3.771588,,10.000000,3.587578,,,,4.136080,,1.388879,8.563144,,0.100000,,1.268640,,,,5.423279,,,,,,,0.100000,,,,
L3,,10.000000,0.100000,0.100000,2.274506,,,,0.100000,,0.100000,0.823264,,,,,0.100000,2.559494,9.360569,3.284889,,,,,0.100000,,,,0.100000,10.000000,0.100000,,8.165566,,10.000000,5.976561,,10.000000,10.000000,0.100000,0.100000,0.968114,0.158910,9.431828,4.866031,0.100000,10.000000,0.100000,,,,,0.973678,,0.100000,0.100000
L4,7.524344,,,0.100000,0.100000,0.100000,0.100000,0.100000,10.000000,,,4.317472,,,,,2.575238,0.100000,0.100000,0.100000,,,,,,0.100000,,,,10.000000,10.000000,0.100000,,,,3.532153,10.000000,,,,,,7.807655,,,,,,,,,2.391942,,,,
L5,,,,6.198104,8.469366,,,0.100000,0.100000,0.100000,0.100000,0.100000,,,,,0.100000,0.100000,0.100000,,,,,,5.116317,0.100000,0.100000,,3.171758,0.100000,0.100000,1.553406,,5.743565,10.000000,0.100000,0.100000,0.100000,0.100000,,7.808943,3.480575,4.485878,,0.108414,,,,1.639325,9.611022,0.100000,5.543663,,8.669123,,
Mi1,,10.000000,0.100000,6.158248,1.753403,,,3.010713,0.100000,0.100000,1.618693,0.100000,1.855333,4.549933,5.702516,3.693698,0.100000,0.100000,0.100000,,,,,,0.951235,1.976528,3.066384,0.100000,0.100000,0.100000,5.551267,5.076547,0.100000,,0.796290,0.100000,0.100000,0.100000,0.100000,,8.675645,6.041239,8.896902,,,10.000000,,2.907640,1.017207,10.000000,0.241519,10.000000,5.739283,1.865056,0.207740,0.100000
Tm3,,,,4.276569,0.100000,,,,0.100000,2.526233,0.100000,0.100000,2.635170,2.702159,0.239255,4.051123,,,0.100000,,,1.037116,,1.017304,,0.783819,6.403092,2.485036,5.014157,10.000000,1.365587,0.771895,,,1.885505,0.100000,0.100000,,,9.952666,,,0.279626,,,,0.100000,,9.032946,5.101038,1.194670,0.252855,,1.360699,,
Mi4,,,,,8.026916,1.350677,,10.000000,10.000000,8.383100,10.000000,0.892780,7.558001,0.100000,0.742812,8.788423,0.100000,4.565666,9.587238,0.100000,,,,,0.109173,,0.100000,,1.656854,0.100000,10.000000,4.873926,1.215007,,0.100000,,10.000000,,9.975424,1.732515,3.560166,,0.100000,0.158990,1.013833,10.000000,0.115228,0.100000,1.348042,,10.000000,1.085242,1.022420,0.100000,,
Mi9,,,,,,0.100000,0.100000,,7.579171,0.100000,3.477520,,0.231763,6.131285,3.462771,0.100000,0.455499,5.805563,1.959418,0.100000,,,,,,0.300478,4.456870,0.100000,0.100000,,4.971594,1.707883,0.100000,,1.820384,,0.100000,1.394060,,0.179399,6.117525,1.447897,3.341680,0.100000,1.072542,,0.960727,,0.708391,1.016024,,7.673452,1.265503,1.931633,1.073175,
T4a,,,,,,,,,,,,1.666988,4.627514,1.011278,7.582548,0.990248,,,,,0.206807,,,,,,,,,0.124070,,,,,,0.100000,,,,,,,0.100000,,,,,,,0.100000,,,,,1.364870,0.100000
T4b,,,,,,,,,4.394233,,1.662590,0.100000,9.649835,8.784606,,0.982005,,,,,,6.507304,,,,,,,,,,,,,,1.299836,,,,,,,0.100000,,,,,,4.112318,0.605810,7.474418,,,,,
T4c,,,,,,,,,,,,0.123726,,,1.210162,,,,,,,,0.100000,0.100000,,10.000000,,,,,,,,,,,,,,,,,,,,,,,,0.100000,2.538388,,0.240107,0.351085,,
T4d,,,,,,,,,8.740068,,,,,,1.043537,6.868448,,,,,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,,,,,0.100378,0.981595,,1.815167,2.368399,,
Tm1,,,,,0.100000,,,4.300890,5.194784,0.100000,1.020064,0.482637,,,0.956995,,0.858627,0.100000,0.100000,3.996333,0.407733,3.845246,0.100000,0.100000,1.403066,0.111072,9.995822,1.218465,0.100000,0.525619,,0.468647,3.359866,,10.000000,7.897439,,3.479188,0.100000,1.339832,0.100000,0.100000,0.100000,10.000000,,,10.000000,10.000000,,10.000000,,0.702060,2.360578,5.741692,2.765630,4.296687
Tm2,,,,0.557449,0.100000,,,4.171317,0.100000,0.768629,4.274331,0.133941,0.100000,,0.100000,,1.091758,,0.100000,0.100000,0.748516,7.111911,0.100000,0.100000,4.761824,5.850455,10.000000,1.903014,,1.614574,0.100000,10.000000,10.000000,,,0.100000,,,0.100000,,,0.100000,2.681761,,,,,,4.631977,4.846802,6.102643,7.176761,5.853132,10.000000,0.100000,6.197564
Tm4,,,,,10.000000,,,,8.150574,0.100000,7.120445,,,,,,0.956289,10.000000,0.100000,,0.100000,6.991192,0.291248,0.100000,0.100000,6.834825,0.606392,0.253567,0.952585,8.456681,,0.100000,,,9.980694,5.111782,5.605998,,0.100000,,,0.962170,10.000000,,,,,,0.100000,0.593469,0.100000,0.100000,,0.518572,,5.453395
Tm9,,,,,,0.100000,,,,,10.000000,1.913883,,,,,0.567738,0.100000,0.100000,4.623702,0.134807,3.680517,1.159311,0.801047,,3.524533,7.744535,,,,,,3.153597,,,,,,,,0.100000,0.100000,,,,2.821817,9.216547,,,0.100000,8.273193,,6.336257,,3.128558,0.848807
T5a,,,,,,,,,,,,,0.658220,,,,,2.179355,,,0.134358,7.005754,,,,3.697691,,,,,,,,,,,,,,,,,3.212762,,,,,,,1.447398,,,,3.002330,3.279100,0.831063
T5b,,,,,,,,,,,,,,5.390452,,,,,,,10.000000,0.100000,,,,10.000000,,,,,,,,,,,,,,,,,,,,,,,0.100000,2.571441,1.217884,,,0.100000,,
T5c,,,,,,,,,,,,,,,4.737178,,,,,,,0.965734,0.100000,0.100000,,0.383206,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.422471,,2.408450,0.100000,,
T5d,,,,,,,,,,,,,,,2.675183,1.032581,,,,,,,,4.566917,,4.431460,,,,,,,,,,,,,,,,,,,,,,,,0.100000,0.100000,,1.348777,0.393663,,
T1,10.000000,0.100000,10.000000,,1.698101,7.388919,,3.912881,,,,0.683833,,,,,4.683568,0.100000,2.433556,,,,,,,,,,,,,,,2.491785,,,,,,,7.595573,,,,,,,,,,,,1.031891,,,
T2,,,,,,,,2.055952,1.944504,1.978821,,2.301800,,,,,0.100000,4.568663,0.100000,,,,,,,3.110391,10.000000,5.909509,,,,0.112165,,,,,9.255663,,,,,10.000000,0.102540,,10.000000,3.922006,,,3.046119,4.674415,0.159200,1.073390,,6.130319,0.999677,0.100000
T2a,,,,,,,,,2.486726,1.177107,,,,,,,2.780568,,0.100000,,,,,,,9.878467,7.092291,8.400679,0.100000,,,10.000000,1.215264,,10.000000,0.100000,,,,,0.931366,8.920628,,10.000000,10.000000,,9.989024,,,0.702588,1.925549,,1.329235,1.870033,0.100000,0.100000
T3,,,,,,,,,,0.100000,,,,,,0.957642,4.344064,,,,,,,,,1.937726,10.000000,0.296842,,7.663969,,2.698714,,,,,,,9.830152,,,1.797366,,,,,0.103541,,,,,,,1.960711,,0.100000
C2,9.760692,2.045231,0.100000,1.950601,0.100000,1.086827,3.439212,3.662424,0.100000,,2.536821,,,,,,0.366833,,,4.362749,,,,,0.904446,0.100000,8.637949,0.103637,10.000000,9.339274,,,,1.682362,,,,0.728904,3.402984,2.661978,,,0.472034,,,,,,,,,,,,,
C3,10.000000,,,0.335346,0.100000,0.100000,0.100000,2.216989,5.036107,0.374097,10.000000,0.313351,0.100000,0.100000,0.100000,0.120305,0.100000,0.590826,3.115975,1.759070,,,,,4.058508,4.001803,10.000000,0.612797,0.100000,,,,,0.641347,,0.641217,,7.614188,0.100000,,1.675186,6.906447,1.978490,,,,,,,9.036555,,,,,,
Lawf1,0.100000,,,0.130341,0.100000,1.645831,,10.000000,,0.669396,,0.100000,,,,,,,,,,,,,1.155022,,,,,,0.100000,,,0.100000,,,,,,,,,,,,,,,,,,,,,,
Lawf2,4.220874,,,1.616160,6.362085,5.565440,,5.688840,,,,,,,,,3.859362,0.973188,,7.999511,,,,,0.514367,,,,1.792868,0.285317,1.255000,,,1.514263,,0.100000,0.100000,,,,,,,,,,,,,0.100000,,,,0.100000,,
Dm3v,,,,,,,,,,,3.604865,10.000000,,,,,0.840055,10.000000,,,,,,,,,10.000000,,,,,,9.288118,,,,,,,,0.100000,10.000000,,,,,0.106904,,,,,,4.746612,0.100000,1.499052,0.100311
Lai,5.683924,,,0.100000,3.282216,1.916619,,0.854756,,,,,,,,,,,,,,,,,1.681814,,,,,9.238757,,,,0.100000,,,,,,,,,,,,,,,,,,,,,,
Mi10,,,,,,3.495434,,,,,0.100000,1.212034,0.100000,,4.674480,1.038475,,4.310549,0.100000,,,,,,,0.100000,,,,,2.416922,,,,4.698838,,1.818703,9.957927,,6.984029,,,0.100000,,3.234625,,,,8.730523,,,,,,,
Mi13,,,,,,,0.100000,5.675292,4.766517,0.100000,,0.212551,,,,,2.111310,4.089761,3.872797,7.474506,,,,,10.000000,7.418050,0.100000,,,,,,,,,,,,,,0.100000,,,,5.870710,,,,,,,,,1.001884,,
Mi14,,,,,1.135327,,,0.100000,,,,0.100000,,,,,1.425384,4.430522,3.490286,,,,,,0.513936,0.100000,,0.101272,,,,,,,,10.000000,,,,,1.006023,,0.388998,,,,,,,,,0.274077,,10.000000,,
Mi15,,,,,,,,,,,0.100000,,,,,,,,10.000000,,,,,,0.100000,,3.220155,,,6.542237,1.883288,,,,0.100000,,0.100000,9.676692,0.100000,,,0.100000,0.998837,3.480722,,0.100000,,,,,,,,0.100000,,
