idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,2.433649,1.687606,-30.270949,1.038790,0.000000,14.444076,197.320769,-50.000000,0.000000,-29.953128,-29.952907
1,R7,2.433649,5.356014,-30.000000,1.013639,0.000000,35.958422,199.760358,-50.000000,0.000000,-30.010200,-30.010287
2,R8,2.433649,3.167107,-30.070828,0.968859,0.000000,11.934084,207.169176,-50.000000,0.000000,-29.997295,-29.996787
3,L1,2.433649,4.341471,-50.664357,1.676938,0.000000,19.437326,196.097968,-50.000000,0.600000,-49.996288,-49.992458
4,L2,2.433649,2.012629,-54.046427,0.745346,0.000000,10.000000,181.201919,-50.000000,0.600000,-50.916688,-50.898571
5,L3,2.433649,1.361683,-52.487329,0.256764,0.000000,14.636634,201.951591,-50.000000,0.000000,-45.636048,-49.048048
6,L4,2.433649,2.947989,-48.718055,0.231782,0.000000,10.000000,177.920012,-50.000000,1.000000,-50.000000,-49.986218
7,L5,2.433649,1.679040,-50.745348,0.413803,0.000000,33.572049,193.751273,-50.000000,1.000000,-50.000000,-49.999322
8,Mi1,2.433649,1.380512,-58.807241,0.196989,0.000000,15.505387,199.103782,-50.000000,0.000000,-49.346993,-49.373164
9,Tm3,2.433649,3.363941,-46.739543,0.167185,0.000000,11.458436,209.162131,-50.000000,0.000000,-48.406976,-48.347225
10,Mi4,2.433649,2.611302,-46.131841,0.724247,0.000000,10.000000,195.145267,-50.000000,0.000000,-50.751200,-47.435257
11,Mi9,2.433649,3.892148,-47.442371,0.609767,0.000000,10.000000,206.503377,-50.000000,0.000000,-41.959352,-44.301998
12,T4a,2.433649,2.833825,-51.700341,0.983191,0.000000,25.404284,196.694945,-50.000000,0.000000,-50.190966,-49.591298
13,T4b,2.433649,2.035711,-50.114767,0.982326,0.000000,10.000000,191.810043,-50.000000,0.000000,-52.010296,-51.169944
14,T4c,2.433649,0.179999,-48.635611,0.963364,0.000000,37.890224,208.717117,-50.000000,0.000000,-50.519726,-50.371070
15,T4d,2.433649,1.112259,-49.565962,1.033870,0.000000,43.676172,206.362070,-50.000000,0.000000,-51.069859,-50.749152
16,Tm1,2.433649,1.203187,-52.809251,0.677156,0.000000,15.706669,207.494940,-50.000000,0.000000,-44.463814,-44.137881
17,Tm2,2.433649,7.745538,-51.368243,0.996346,0.000000,60.439248,194.362046,-50.000000,0.000000,-51.667184,-51.579113
18,Tm4,2.433649,1.881537,-49.892225,0.264204,0.000000,10.000000,197.423036,-50.000000,0.000000,-48.543652,-48.453431
19,Tm9,2.433649,0.629268,-48.754551,0.221835,0.000000,18.279027,204.596892,-50.000000,0.000000,-48.757826,-48.020588
20,T5a,2.433649,0.100000,-49.405740,1.030917,0.000000,40.125333,198.460709,-50.000000,0.000000,-49.851617,-49.861772
21,T5b,2.433649,3.699094,-51.883246,1.024801,0.000000,54.314810,197.541876,-50.000000,0.000000,-47.518005,-47.700664
22,T5c,2.433649,3.920983,-51.133321,0.953717,0.000000,47.335653,203.254608,-50.000000,0.000000,-45.394402,-45.477206
23,T5d,2.433649,3.042934,-53.016711,1.046479,0.000000,10.000000,194.723747,-50.000000,0.000000,-49.157524,-49.115587
24,T1,2.433649,0.916631,-48.083575,1.042453,0.000000,46.669919,202.735856,-50.000000,0.000000,-54.712887,-56.005047
25,T2,2.433649,2.886058,-54.689754,0.994584,0.000000,47.878289,196.567432,-50.000000,0.000000,-46.632998,-47.776680
26,T2a,2.433649,3.206886,-54.662102,1.018788,0.000000,54.089652,200.673626,-50.000000,0.000000,-50.812374,-50.801722
27,T3,2.433649,1.343723,-51.000439,1.014472,0.000000,39.309431,191.233192,-50.000000,0.000000,-38.592644,-39.154196
28,C2,2.433649,1.318565,-51.238766,1.027293,0.000000,21.297429,206.764065,-50.000000,0.000000,-50.817970,-50.821283
29,C3,2.433649,2.747220,-53.191382,1.008035,0.000000,10.000000,193.298089,-50.000000,0.000000,-50.360526,-50.342391
30,Lawf1,2.433649,4.768549,-49.582479,1.037500,0.000000,10.000000,206.861802,-50.000000,0.000000,-45.044863,-48.460914
31,Lawf2,2.433649,2.888500,-51.644893,1.029410,0.000000,46.021530,191.538468,-50.000000,0.000000,-46.112394,-46.139917
32,Dm3v,2.433649,7.105130,-50.903476,0.992064,0.000000,10.065084,205.573069,-50.000000,0.000000,-39.255212,-39.549387
33,Lai,2.433649,0.344551,-49.443262,1.038577,0.000000,39.792492,205.601438,-50.000000,0.000000,-51.452808,-51.421495
34,Mi10,2.433649,5.284530,-53.552762,1.044968,0.000000,10.000000,207.343530,-50.000000,0.000000,-52.972388,-52.267328
35,Mi13,2.433649,2.864998,-51.501461,1.013837,0.000000,23.982435,203.159945,-50.000000,0.000000,-48.854632,-48.849267
36,Mi14,2.433649,2.648019,-51.051208,0.950552,0.000000,42.524272,195.969488,-50.000000,0.000000,-46.399307,-46.458164
37,Mi15,2.433649,10.000000,-50.470702,1.006083,0.000000,18.344161,202.002444,-50.000000,0.000000,-50.162904,-50.164989
38,Mi2,2.433649,4.029968,-51.257282,1.004987,0.000000,10.158295,192.501180,-50.000000,0.000000,-46.579668,-46.559297
