idx,cell,a_in,a_out,v_th,a_gt,bias_gt,tau_lp,tau_hp,v_rest,a_slow,v_pre,v_onset
0,R1-6,1.891131,1.273542,-30.302501,1.038999,0.000000,14.947542,191.305583,-50.000000,0.000000,-29.970906,-29.970919
1,R7,1.891131,3.358397,-30.000000,1.002966,0.000000,21.665226,206.352330,-50.000000,0.000000,-30.000272,-30.000272
2,R8,1.891131,3.307670,-30.025118,0.982932,0.000000,12.294128,198.687246,-50.000000,0.000000,-29.998667,-29.998667
3,L1,1.891131,3.531474,-50.977423,1.714248,0.000000,10.000000,207.910105,-50.000000,0.600000,-49.063114,-49.060046
4,L2,1.891131,1.369188,-52.037286,1.238543,0.000000,11.362706,197.812708,-50.000000,0.600000,-50.315305,-50.315830
5,L3,1.891131,0.378476,-54.757172,0.781863,0.000000,12.074228,203.685580,-50.000000,0.000000,-49.151035,-49.151033
6,L4,1.891131,0.343744,-49.311481,0.124561,0.000000,10.000000,187.273160,-50.000000,1.000000,-50.000000,-50.000102
7,L5,1.891131,3.438757,-52.911711,0.576548,0.000000,24.430429,181.008349,-50.000000,1.000000,-50.000000,-49.997214
8,Mi1,1.891131,3.321369,-45.351627,1.265061,0.000000,22.571893,197.977964,-50.000000,0.000000,-50.364190,-50.360447
9,Tm3,1.891131,3.602836,-45.409783,0.405815,0.000000,11.378055,193.902678,-50.000000,0.000000,-47.309809,-47.309809
10,Mi4,1.891131,3.057342,-51.602675,0.684136,0.000000,17.335737,199.849258,-50.000000,0.000000,-51.754795,-51.754795
11,Mi9,1.891131,1.803479,-52.668709,0.605866,0.000000,10.000000,207.515576,-50.000000,0.000000,-48.237532,-48.237518
12,T4a,1.891131,0.101920,-48.793894,0.972706,0.000000,44.122443,204.079999,-50.000000,0.000000,-50.530159,-50.530097
13,T4b,1.891131,4.681189,-48.491989,1.028789,0.000000,37.775737,209.168136,-50.000000,0.000000,-50.478772,-50.478695
14,T4c,1.891131,0.100000,-48.665926,0.958960,0.000000,41.792662,191.019372,-50.000000,0.000000,-50.533054,-50.533012
15,T4d,1.891131,10.000000,-48.646369,1.037732,0.000000,12.107673,194.281603,-50.000000,0.000000,-49.920243,-49.912537
16,Tm1,1.891131,5.175197,-46.791502,0.419967,0.000000,10.000000,209.406248,-50.000000,0.000000,-49.077245,-49.077865
17,Tm2,1.891131,0.206806,-47.727150,0.266324,0.000000,10.000000,194.386446,-50.000000,0.000000,-49.327497,-49.327497
18,Tm4,1.891131,1.770370,-47.860690,0.224757,0.000000,10.000000,207.440993,-50.000000,0.000000,-49.387929,-49.387929
19,Tm9,1.891131,0.100000,-47.021990,0.250180,0.000000,10.000000,205.217853,-50.000000,0.000000,-49.468622,-49.468622
20,T5a,1.891131,0.987479,-49.431599,0.962528,0.000000,39.292746,193.062012,-50.000000,0.000000,-50.000427,-50.000427
21,T5b,1.891131,10.000000,-49.875499,1.006989,0.000000,33.685303,191.117214,-50.000000,0.000000,-50.000642,-50.000642
22,T5c,1.891131,0.434889,-49.495206,0.953858,0.000000,40.531175,206.704942,-50.000000,0.000000,-50.001899,-50.001899
23,T5d,1.891131,0.100000,-48.859431,1.025397,0.000000,30.572456,194.893374,-50.000000,0.000000,-50.005561,-50.005561
24,T1,1.891131,5.881506,-48.262852,0.999837,0.000000,43.855978,207.264905,-50.000000,0.000000,-49.783422,-49.783449
25,T2,1.891131,2.855822,-48.896396,1.039015,0.000000,39.461643,193.298867,-50.000000,0.000000,-50.200372,-50.200367
26,T2a,1.891131,2.618593,-52.301473,1.026952,0.000000,47.861405,190.212386,-50.000000,0.000000,-50.406771,-50.406771
27,T3,1.891131,3.473944,-58.429744,1.003911,0.000000,46.077333,204.467845,-50.000000,0.000000,-50.068919,-50.068863
28,C2,1.891131,0.100000,-48.379281,0.990756,0.000000,42.036578,204.983242,-50.000000,0.000000,-51.418407,-51.418385
29,C3,1.891131,3.634352,-53.240731,1.027009,0.000000,10.000000,199.584749,-50.000000,0.000000,-52.956078,-52.954508
30,Lawf1,1.891131,9.426144,-50.407674,1.020529,0.000000,10.000000,196.360249,-50.000000,0.000000,-50.039892,-50.039892
31,Lawf2,1.891131,6.051624,-50.030977,0.980461,0.000000,18.185839,208.565340,-50.000000,0.000000,-49.847822,-49.847822
32,Dm3v,1.891131,4.611626,-53.506347,0.991826,0.000000,63.008037,208.499530,-50.000000,0.000000,-49.976232,-49.976232
33,Lai,1.891131,0.100000,-48.513321,1.005915,0.000000,40.339989,208.819503,-50.000000,0.000000,-50.691552,-50.691757
34,Mi10,1.891131,0.100000,-49.396892,0.984354,0.000000,41.076465,199.593059,-50.000000,0.000000,-51.815965,-51.815965
35,Mi13,1.891131,3.848005,-51.830067,1.010812,0.000000,41.648446,198.283514,-50.000000,0.000000,-50.006112,-50.006112
36,Mi14,1.891131,1.261089,-51.259844,1.018401,0.000000,56.421046,193.804017,-50.000000,0.000000,-49.949218,-49.949218
37,Mi15,1.891131,0.100000,-48.099791,0.989741,0.000000,39.164897,202.034477,-50.000000,0.000000,-51.364147,-51.364147
38,Mi2,1.891131,1.998354,-51.353368,0.986506,0.000000,50.925474,195.326805,-50.000000,0.000000,-49.725049,-49.725049
39,Tm16,1.891131,0.100000,-48.618534,0.997802,0.000000,40.667578,196.046294,-50.000000,0.000000,-50.318115,-50.318115
40,Tm20,1.891131,4.487362,-53.863585,1.042170,0.000000,17.184044,204.905401,-50.000000,0.000000,-49.710928,-49.710928
41,Tm21,1.891131,5.575226,-53.148569,0.983888,0.000000,20.689190,205.249598,-50.000000,0.000000,-50.152679,-50.152679
42,Tm27,1.891131,9.737864,-49.500397,0.960720,0.000000,45.247656,200.782170,-50.000000,0.000000,-49.162979,-49.162956
43,Tm5a,1.891131,0.100000,-48.031375,0.984292,0.000000,40.739623,206.785917,-50.000000,0.000000,-50.635390,-50.635390
44,Tm5b,1.891131,2.873229,-54.515739,0.957211,0.000000,39.536913,198.036824,-50.000000,0.000000,-49.090591,-49.090591
45,Tm5c,1.891131,4.846061,-53.735100,1.044235,0.000000,48.804395,205.045124,-50.000000,0.000000,-48.755722,-48.755722
46,Tm5f,1.891131,5.599673,-54.563544,1.012323,0.000000,64.819650,198.635971,-50.000000,0.000000,-46.579641,-46.579641
47,TmY10,1.891131,3.063293,-50.189190,0.985337,0.000000,33.543673,198.939680,-50.000000,0.000000,-49.470690,-49.470690
48,TmY11,1.891131,0.977135,-49.399449,1.037685,0.000000,39.202800,200.876185,-50.000000,0.000000,-52.077238,-52.077238
49,TmY14,1.891131,6.259764,-46.929611,0.966139,0.000000,31.275981,205.282993,-50.000000,0.000000,-49.681104,-49.681085
50,TmY15,1.891131,2.681774,-49.264593,1.004735,0.000000,73.950909,195.195247,-50.000000,0.000000,-49.901689,-49.901689
51,TmY3,1.891131,0.100000,-49.252876,0.991398,0.000000,40.300071,208.476491,-50.000000,0.000000,-51.691275,-51.691269
52,TmY4,1.891131,2.342717,-47.138014,1.020395,0.000000,18.295938,202.422675,-50.000000,0.000000,-52.247439,-52.247439
53,TmY5a,1.891131,1.725817,-51.513935,1.043819,0.000000,29.560613,207.337369,-50.000000,0.000000,-48.056733,-48.056716
54,TmY9q,1.891131,0.100000,-49.067917,1.029283,0.000000,41.432588,197.375776,-50.000000,0.000000,-49.989375,-49.989375
55,TmY9q__perp,1.891131,0.100000,-48.952618,1.002340,0.000000,41.717402,197.386814,-50.000000,0.000000,-49.982388,-49.982388
